#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7
#d 0.5
#V -150
#
#Time	Temp	Current
# s	K	pA	
0.000000	2.803000	-1102.332000
0.999430	2.757000	-1108.446000
1.999859	2.757000	-1108.104000
2.999289	2.757000	-1092.378000
3.999718	2.792000	-1284.334000
4.999279	2.792000	-1092.977000
6.000636	2.792000	-1076.231000
7.000659	2.792000	-1093.957000
8.001090	2.755000	-1090.598000
9.000519	2.755000	-1073.781000
10.001946	2.755000	-1089.587000
11.001378	2.803000	-1084.281000
12.001807	2.803000	-1077.134000
13.001237	2.780000	-1091.927000
14.001667	2.780000	-1166.884000
15.003096	2.780000	-1068.394000
16.002526	2.756000	-1114.499000
17.003953	2.756000	-1078.104000
18.003384	2.809000	-1074.950000
19.003813	2.809000	-1089.491000
20.003243	2.769000	-1069.391000
21.003671	2.769000	-1282.979000
22.005101	2.769000	-1296.382000
23.004530	2.764000	-1067.146000
24.004961	2.764000	-1060.770000
25.004390	2.809000	-1076.040000
26.004819	2.809000	-1057.549000
27.004250	2.809000	-1070.114000
28.004678	2.761000	-1075.546000
29.005109	2.761000	-1061.520000
30.004538	2.778000	-1069.644000
31.005967	2.778000	-1068.922000
32.005397	2.802000	-1054.706000
33.005826	2.802000	-1072.795000
34.005256	2.802000	-1073.934000
35.005684	2.756000	-1053.414000
36.007113	2.756000	-1067.130000
37.006543	2.793000	-1065.009000
38.007972	2.793000	-1059.805000
39.007401	2.793000	-1080.414000
40.007860	2.790000	-1063.804000
41.007261	2.790000	-1048.919000
42.007690	2.754000	-1068.069000
43.009119	2.754000	-1058.899000
44.008549	2.804000	-1050.755000
45.009978	2.804000	-1067.470000
46.009408	2.804000	-1058.323000
47.009835	2.778000	-1063.030000
48.009266	2.778000	-1066.283000
49.009696	2.756000	-1055.758000
50.011162	2.756000	-1060.528000
51.010611	2.756000	-1065.390000
52.012026	2.809000	-1049.485000
53.011281	2.809000	-1053.195000
54.011707	2.768000	-1068.619000
55.013106	2.768000	-1069.962000
56.012539	2.764000	-1057.270000
57.013995	2.764000	-1060.923000
58.013426	2.764000	-1053.290000
59.013824	2.808000	-1060.639000
60.013253	2.808000	-1066.868000
61.013683	2.761000	-1054.134000
62.015141	2.761000	-1065.757000
63.014541	2.761000	-1069.658000
64.016000	2.778000	-1056.882000
65.015522	2.778000	-1115.319000
66.016978	2.802000	-1118.647000
67.016398	2.802000	-1058.408000
68.016809	2.756000	-1063.236000
69.016239	2.756000	-1067.787000
70.017155	2.756000	-1051.678000
71.016596	2.793000	-1066.671000
72.017520	2.793000	-1060.021000
73.018918	2.790000	-1053.519000
