#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
150.000000	-437.907900	1.058466
149.800000	-425.419000	1.116619
149.600000	-412.635100	1.143134
149.400000	-401.496100	1.019621
149.200000	-390.120600	1.219100
149.000000	-379.057500	1.176463
148.800000	-366.324800	0.970029
148.600000	-355.402300	1.238956
148.400000	-344.032400	1.003332
148.200000	-329.832800	0.953353
148.000000	-319.504700	1.175122
147.800000	-309.167200	0.921727
147.600000	-299.112100	1.162678
147.400000	-290.552200	1.132404
147.200000	-282.269500	0.909630
147.000000	-274.549200	1.090285
146.800000	-265.141700	1.084607
146.600000	-257.675200	0.982166
146.400000	-249.042700	1.030648
146.200000	-239.653200	1.185731
146.000000	-233.145500	1.072259
145.800000	-225.107300	0.905558
145.600000	-217.326300	1.210547
145.400000	-210.559500	1.224307
145.200000	-203.110800	0.940168
145.000000	-197.412900	1.127191
144.800000	-190.882400	1.202199
144.600000	-186.045300	0.986309
144.400000	-179.851000	1.207846
144.200000	-172.563700	1.081313
144.000000	-167.691200	0.960009
143.800000	-161.780800	1.152661
143.600000	-153.344800	1.066405
143.400000	-146.973500	1.032129
143.200000	-140.492100	1.041608
143.000000	-133.270600	1.247964
142.800000	-121.567000	1.154256
142.600000	-117.517400	0.998361
142.400000	-113.413000	1.245589
142.200000	-109.097400	1.177092
142.000000	-105.342600	0.951444
141.800000	-101.473900	1.066127
141.600000	-97.802750	1.170129
141.400000	-94.554710	0.999325
141.200000	-91.261270	1.010904
141.000000	-88.651820	1.047221
140.800000	-85.400450	0.945604
140.600000	-81.851470	1.150343
140.400000	-79.219940	1.099892
140.200000	-76.560310	0.926201
140.000000	-74.049160	1.190773
139.800000	-70.526450	1.080944
139.600000	-67.409000	0.995056
139.400000	-65.085710	1.248206
139.200000	-62.541410	1.044713
139.000000	-60.331170	1.032016
138.800000	-58.167680	1.172491
138.600000	-56.045550	1.081083
138.400000	-53.838930	0.937039
138.200000	-51.912960	1.149775
138.000000	-50.325560	1.145878
137.800000	-48.412480	1.020034
137.600000	-46.387830	1.199050
137.400000	-44.626450	0.992709
137.200000	-41.958020	0.963825
137.000000	-40.512760	1.177294
136.800000	-38.952020	0.978902
136.600000	-37.633520	0.956811
136.400000	-36.200890	1.188974
136.200000	-34.670460	0.972004
136.000000	-33.497950	1.154534
135.800000	-31.832960	1.105929
135.600000	-30.231810	1.035058
135.400000	-29.032450	1.154176
135.200000	-27.616990	1.169201
135.000000	-26.704690	0.997291
134.800000	-25.259440	1.237448
134.600000	-24.427390	1.106000
134.400000	-23.336100	0.952350
134.200000	-22.484420	1.062655
134.000000	-21.569940	1.117516
133.800000	-20.608830	0.935901
133.600000	-20.047380	1.122372
133.400000	-19.229880	1.138383
133.200000	-18.427020	1.015689
133.000000	-17.806030	1.017886
132.800000	-16.674520	1.216492
132.600000	-16.095850	0.984613
132.400000	-15.356790	0.950131
132.200000	-14.698440	1.208539
132.000000	-14.039500	1.073735
