#lab INRiM
#hv keithley6487
#s CNTArO2Etching_AsGrown_N1new_b
#t variable
#d 1.0
#V -350
#
#Time	Temp	Current
# s	K	pA	
0.000000	83.130000	-142.174100
3.000587	83.124000	-109.410100
6.001710	83.110000	-119.409100
9.001885	83.103000	-108.096100
12.002804	83.096000	-99.347450
15.002614	83.089000	-90.568860
18.002391	83.083000	-96.207560
21.002876	83.076000	-98.896200
24.002928	83.069000	-103.920500
27.002162	83.055000	-113.258300
30.002807	83.050000	-109.145300
33.002128	83.043000	-104.147700
36.002237	83.035000	-100.010100
39.002319	83.029000	-102.823700
42.004055	83.022000	-111.572200
45.003686	83.009000	-107.275300
48.004685	83.004000	-100.272300
51.004742	82.995000	-93.728000
54.004178	82.990000	-93.495940
57.004811	82.982000	-104.881700
60.004946	82.974000	-99.141050
63.004836	82.968000	-98.051750
66.005043	82.954000	-93.692890
69.005887	82.948000	-99.882680
72.005668	82.941000	-99.649930
75.005847	82.934000	-100.898900
78.005087	82.928000	-106.559800
81.007009	82.922000	-99.593350
84.006183	82.908000	-105.599400
87.006336	82.902000	-108.753300
90.006204	82.895000	-113.978700
93.007938	82.887000	-105.076900
96.007505	82.881000	-103.107900
99.008618	82.874000	-106.082400
102.008179	82.867000	-99.286360
105.008296	82.853000	-99.719040
108.008658	82.847000	-103.909500
111.008694	82.841000	-96.562560
114.008655	82.833000	-94.118060
117.008743	82.827000	-82.406620
120.008388	82.821000	-86.151110
123.008942	82.806000	-118.174800
126.008164	82.800000	-108.076500
129.009975	82.793000	-116.086800
132.010928	82.786000	-115.297500
135.012070	82.781000	-97.914380
138.012493	82.772000	-87.602890
141.012711	82.766000	-98.902490
144.013941	82.751000	-95.729940
147.013477	82.745000	-103.977600
150.013949	82.738000	-115.931600
153.013239	82.732000	-104.524000
156.013129	82.725000	-95.654690
159.013796	82.720000	-105.456400
162.014619	82.704000	-106.592600
165.014084	82.698000	-98.360570
168.015067	82.691000	-106.884900
171.014947	82.684000	-109.023000
174.014279	82.679000	-106.064000
177.014480	82.671000	-116.091600
180.014937	82.664000	-111.368900
183.014570	82.651000	-106.740900
186.014177	82.643000	-102.929900
189.014654	82.638000	-91.774250
192.014952	82.629000	-91.130890
195.014479	82.625000	-89.332610
198.015067	82.617000	-91.818000
201.014741	82.603000	-89.504060
204.014409	82.597000	-100.537300
207.015967	82.589000	-96.208400
210.015153	82.583000	-90.919020
213.016017	82.576000	-96.521750
216.015431	82.568000	-91.972170
