#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
240.000000	-288.742400	0.339550
239.800000	-281.249700	0.346131
239.600000	-276.325100	0.342786
239.400000	-271.222000	0.274918
239.200000	-269.411200	0.327987
239.000000	-267.767500	0.349266
238.800000	-265.970700	0.394121
238.600000	-264.969600	0.364423
238.400000	-263.105500	0.406613
238.200000	-256.439800	0.456813
238.000000	-254.417700	0.475975
237.800000	-253.136600	0.516045
237.600000	-247.353000	0.423225
237.400000	-243.518300	0.399862
237.200000	-235.895400	0.391099
237.000000	-231.538200	0.381477
236.800000	-226.666200	0.356929
236.600000	-204.199700	0.348305
236.400000	-200.068900	0.302438
236.200000	-197.874600	0.353375
236.000000	-188.966000	0.264368
235.800000	-180.688500	0.434116
235.600000	-175.706000	0.501820
235.400000	-171.434400	0.443682
235.200000	-170.468200	0.428394
235.000000	-166.985600	0.381097
234.800000	-165.511900	0.358936
234.600000	-165.115600	0.265690
234.400000	-164.450800	0.218810
234.200000	-161.284500	0.246910
234.000000	-160.176900	0.269295
233.800000	-157.046100	0.242940
233.600000	-142.620700	0.284228
233.400000	-135.493000	0.251003
233.200000	-132.310700	0.550963
233.000000	-131.698600	0.749529
232.800000	-130.029900	0.721979
232.600000	-127.901300	0.687979
232.400000	-127.358500	0.551347
232.200000	-124.968900	0.461881
232.000000	-119.562100	0.474447
231.800000	-118.268400	0.572488
231.600000	-113.998900	0.621718
231.400000	-111.430900	0.553812
231.200000	-111.091800	0.528475
231.000000	-109.024200	0.162729
230.800000	-107.719800	0.153689
230.600000	-105.018100	0.612009
230.400000	-80.689400	0.746824
230.200000	-76.771090	0.757352
230.000000	-74.045460	0.778501
229.800000	-70.237290	0.800482
229.600000	-69.298400	0.685173
229.400000	-68.529270	0.698868
229.200000	-64.453990	0.613117
229.000000	-61.621100	0.567318
228.800000	-55.683420	0.605630
228.600000	-52.303060	0.519883
228.400000	-49.681390	0.417627
228.200000	-44.547740	0.470966
228.000000	-43.210710	0.402624
227.800000	-42.571010	0.246715
227.600000	-40.338870	0.295168
227.400000	-39.938570	0.383915
227.200000	-39.546330	0.376842
227.000000	-38.455460	0.382502
226.800000	-38.298940	0.378717
226.600000	-37.709610	0.353386
226.400000	-35.038240	0.269508
226.200000	-34.883690	0.273567
226.000000	-34.594730	0.254999
225.800000	-34.381330	0.489768
225.600000	-34.276010	0.476448
225.400000	-33.838390	0.442501
225.200000	-33.425970	0.484305
225.000000	-33.396320	0.392778
224.800000	-33.148780	0.304677
224.600000	-32.093390	0.321344
224.400000	-30.886950	0.265700
224.200000	-28.945680	0.235239
224.000000	-28.693490	0.247530
223.800000	-28.076470	0.260989
223.600000	-27.994230	0.197944
223.400000	-27.981380	0.187499
223.200000	-27.532020	0.144893
223.000000	-27.437300	0.165146
222.800000	-27.317890	0.142046
222.600000	-26.925500	0.156348
222.400000	-26.774450	0.136742
222.200000	-26.704600	0.134631
222.000000	-25.672010	0.163076
221.800000	-25.482950	0.144929
221.600000	-25.312520	0.135075
221.400000	-24.478990	0.229270
221.200000	-23.780830	0.349238
221.000000	-20.560320	0.404316
220.800000	-19.800370	0.409232
220.600000	-19.170500	0.498995
220.400000	-17.037570	0.429271
220.200000	-16.269100	0.364980
220.000000	-15.957880	0.427782
219.800000	-15.519100	0.455447
219.600000	-15.132080	0.430454
219.400000	-15.053880	0.430042
219.200000	-14.064710	0.495111
219.000000	-13.592430	0.468507
218.800000	-12.244170	0.425325
218.600000	-11.898710	0.388178
218.400000	-11.816240	0.318036
218.200000	-11.811370	0.275038
218.000000	-11.583090	0.267545
217.800000	-11.483020	0.195126
217.600000	-11.444670	0.182801
217.400000	-11.342210	0.177425
217.200000	-11.251470	0.196410
217.000000	-11.221640	0.187205
216.800000	-11.165730	0.211525
216.600000	-10.699260	0.170466
216.400000	-10.537770	0.163943
216.200000	-9.799052	0.163304
216.000000	-9.624856	0.206963
215.800000	-9.444589	0.244381
215.600000	-9.168374	0.273372
215.400000	-8.800008	0.376698
215.200000	-8.385295	0.265774
215.000000	-8.420225	0.257126
214.800000	-8.437271	0.284083
