#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 5
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
250.000000	-0.006768	0.261632
260.000000	0.274566	0.400034
270.000000	0.287388	1.115573
280.000000	0.165227	0.990870
290.000000	0.439752	1.203020
300.000000	0.308568	0.557332
310.000000	0.142346	0.589340
320.000000	-0.194726	0.426047
330.000000	-4.053510	0.709538
340.000000	-10.774700	1.260145
350.000000	-25.186950	0.955088
360.000000	-52.942270	1.198727
370.000000	-142.065500	0.940656
380.000000	-303.877000	0.307695
390.000000	-534.022900	0.281979
400.000000	-729.433700	0.958199
400.000000	-729.014300	0.754782
390.000000	-531.394200	1.150877
380.000000	-301.776100	0.995017
370.000000	-141.703700	0.757574
360.000000	-53.170030	0.500870
350.000000	-25.478070	0.610417
340.000000	-11.205100	0.543164
330.000000	-4.168101	1.084802
320.000000	-0.580454	0.879682
310.000000	-0.360328	1.155319
300.000000	-0.210004	0.256142
290.000000	-0.000578	0.632854
280.000000	-0.111106	0.395823
270.000000	0.010490	0.538997
260.000000	0.106996	0.727624
250.000000	-0.098193	0.970901
