#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
290.000000	-0.018899	0.557206
290.200000	0.204891	0.656602
290.400000	0.207802	0.594693
290.600000	0.236562	0.522750
290.800000	0.218575	0.535360
291.000000	0.095510	0.550919
291.200000	0.124451	0.459040
291.400000	0.040755	0.595433
291.600000	0.109456	0.630862
291.800000	0.157904	0.396413
292.000000	0.146444	0.616872
292.200000	0.218358	0.375856
292.400000	0.136701	0.500018
292.600000	0.174438	0.475469
292.800000	0.140874	0.529543
293.000000	0.040207	0.647296
293.200000	0.109618	0.442358
293.400000	0.059610	0.670742
293.600000	0.159632	0.507368
293.800000	0.160856	0.554348
294.000000	0.161023	0.434942
294.200000	0.168552	0.412276
294.400000	0.047110	0.560643
294.600000	0.079542	0.435980
294.800000	0.132436	0.474239
295.000000	0.144924	0.387877
295.200000	0.231888	0.557891
295.400000	0.201471	0.512119
295.600000	0.153075	0.484010
295.800000	0.127787	0.450418
296.000000	0.066764	0.396722
296.200000	0.104112	0.501868
296.400000	0.102589	0.356055
296.600000	0.154606	0.488117
296.800000	0.177652	0.411743
297.000000	0.153950	0.416530
297.200000	0.192823	0.400948
297.400000	0.141702	0.347534
297.600000	0.131578	0.385457
297.800000	0.095504	0.383518
298.000000	0.101208	0.388055
298.200000	0.123615	0.337957
298.400000	0.101900	0.342697
298.600000	0.150695	0.466488
298.800000	0.119692	0.357715
299.000000	0.173878	0.512292
299.200000	0.185491	0.537590
299.400000	0.095331	0.432915
299.600000	0.042373	0.419814
299.800000	0.051261	0.395967
300.000000	0.064619	0.355403
300.200000	0.073636	0.348310
300.400000	0.107672	0.426626
300.600000	0.104238	0.411679
300.800000	0.098697	0.324435
301.000000	0.061984	0.340146
301.200000	0.081303	0.486438
301.400000	0.093986	0.319447
301.600000	0.126398	0.393021
301.800000	0.155067	0.589551
302.000000	0.092830	0.340101
302.200000	0.098299	0.410928
302.400000	0.055782	0.374844
302.600000	0.066331	0.334399
302.800000	0.062530	0.402302
303.000000	0.031197	0.475731
303.200000	0.087399	0.324598
303.400000	0.102619	0.350648
303.600000	0.092975	0.511123
303.800000	0.049497	0.424161
304.000000	0.047046	0.409627
304.200000	0.069450	0.397271
304.400000	0.071813	0.343560
304.600000	0.058128	0.483634
304.800000	0.073089	0.332668
305.000000	0.098817	0.384184
305.200000	0.093900	0.460529
305.400000	0.065974	0.409634
305.600000	0.027047	0.528241
305.800000	0.020165	0.333807
306.000000	0.038354	0.320196
306.200000	0.051767	0.454211
306.400000	0.041046	0.462942
306.600000	0.066988	0.387450
306.800000	0.077719	0.421198
307.000000	0.042205	0.354853
307.200000	0.035002	0.278274
307.400000	0.028806	0.419628
307.600000	0.023819	0.436909
307.800000	0.034847	0.348038
308.000000	0.004123	0.379095
308.200000	0.049597	0.487804
308.400000	0.020216	0.297060
308.600000	-0.060864	0.451452
308.800000	-0.059993	0.435036
309.000000	-0.052786	0.370486
309.200000	-0.035755	0.459420
309.400000	-0.060102	0.358213
309.600000	-0.077625	0.484716
309.800000	-0.046774	0.354232
310.000000	-0.065552	0.310202
310.200000	-0.068094	0.312282
310.400000	-0.095563	0.471992
310.600000	-0.068006	0.408877
310.800000	-0.062947	0.358668
311.000000	-0.117025	0.456007
311.200000	-0.073790	0.290088
311.400000	-0.081381	0.361849
311.600000	-0.087767	0.349749
311.800000	-0.072200	0.350295
312.000000	-0.102733	0.400022
312.200000	-0.079577	0.305752
312.400000	-0.101888	0.308523
312.600000	-0.079800	0.315239
312.800000	-0.088435	0.350785
313.000000	-0.116108	0.386622
313.200000	-0.092309	0.447171
313.400000	-0.104514	0.313210
313.600000	-0.106256	0.303355
313.800000	-0.097909	0.334767
314.000000	-0.135899	0.366508
314.200000	-0.164112	0.421866
314.400000	-0.206974	0.328077
314.600000	-0.196539	0.402815
314.800000	-0.193224	0.398605
315.000000	-0.177071	0.359110
315.200000	-0.173585	0.386244
315.400000	-0.202160	0.386827
315.600000	-0.232483	0.457893
315.800000	-0.209589	0.419181
316.000000	-0.203598	0.323004
316.200000	-0.224447	0.450939
316.400000	-0.226342	0.427895
316.600000	-0.234385	0.393079
316.800000	-0.233840	0.408847
317.000000	-0.229458	0.313309
317.200000	-0.286139	0.436430
317.400000	-0.288389	0.472779
317.600000	-0.284088	0.345534
317.800000	-0.282246	0.362546
318.000000	-0.313287	0.513769
318.200000	-0.309811	0.512464
318.400000	-0.270378	0.304707
318.600000	-0.420122	0.377024
318.800000	-0.426192	0.364709
319.000000	-0.420029	0.310912
319.200000	-0.450582	0.331393
319.400000	-0.439488	0.413048
319.600000	-0.483861	0.366122
319.800000	-0.510330	0.383714
320.000000	-0.522328	0.312672
320.200000	-0.521913	0.372751
320.400000	-0.521639	0.360713
320.600000	-0.513441	0.341662
320.800000	-0.528925	0.320634
321.000000	-0.529411	0.323401
321.200000	-0.525733	0.350340
321.400000	-0.557957	0.349519
321.600000	-0.585592	0.349817
321.800000	-0.581194	0.328882
322.000000	-0.554380	0.363997
322.200000	-0.563439	0.324460
322.400000	-0.589454	0.409133
322.600000	-0.606285	0.426598
322.800000	-0.641590	0.445976
323.000000	-0.650002	0.385964
323.200000	-0.639188	0.374826
323.400000	-1.829225	0.392231
323.600000	-2.046185	0.378720
323.800000	-2.209295	0.406624
324.000000	-2.256852	0.389931
324.200000	-2.308300	0.358828
324.400000	-2.335276	0.385765
324.600000	-2.360427	0.362147
324.800000	-2.329743	0.353286
325.000000	-2.412534	0.452360
325.200000	-2.446015	0.423183
325.400000	-2.451051	0.367132
325.600000	-2.456756	0.307894
325.800000	-2.479880	0.421757
326.000000	-2.611718	0.373065
326.200000	-2.641693	0.447433
326.400000	-2.676654	0.381402
326.600000	-2.775669	0.414182
326.800000	-2.979516	0.308944
327.000000	-3.625035	0.444007
327.200000	-3.627295	0.427582
327.400000	-3.659834	0.395699
327.600000	-3.707785	0.382883
327.800000	-3.758857	0.418656
328.000000	-3.739371	0.336962
328.200000	-3.736310	0.368954
328.400000	-3.777402	0.349618
328.600000	-3.810670	0.394399
328.800000	-3.821847	0.355915
329.000000	-3.818119	0.329809
329.200000	-3.879731	0.282211
329.400000	-3.877552	0.361038
329.600000	-3.886398	0.329501
329.800000	-3.947401	0.343207
330.000000	-4.011638	0.332402
330.200000	-4.026981	0.291890
330.400000	-4.038167	0.327054
330.600000	-4.057847	0.330757
330.800000	-4.067280	0.307954
331.000000	-4.103264	0.307268
331.200000	-4.107510	0.377077
331.400000	-4.154460	0.353116
331.600000	-4.190048	0.323084
331.800000	-4.219497	0.334125
332.000000	-4.326720	0.316879
332.200000	-4.460514	0.292232
332.400000	-4.604349	0.361237
332.600000	-4.725191	0.338479
332.800000	-4.999811	0.287479
333.000000	-5.035684	0.362801
333.200000	-5.194801	0.331155
333.400000	-5.221350	0.313615
333.600000	-5.223275	0.299798
333.800000	-5.249755	0.325809
334.000000	-5.248609	0.321064
334.200000	-5.279871	0.351039
334.400000	-5.330143	0.365463
334.600000	-5.398778	0.334257
334.800000	-5.438450	0.371694
335.000000	-5.414951	0.372591
335.200000	-5.454269	0.357748
335.400000	-5.523775	0.401195
335.600000	-5.554124	0.320985
335.800000	-5.610163	0.324377
336.000000	-5.641374	0.280089
336.200000	-5.631605	0.358309
336.400000	-5.671035	0.383894
336.600000	-5.712267	0.349663
336.800000	-5.768225	0.355303
