#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
410.000000	-1077.507000	0.738622
409.800000	-1063.354000	0.727431
409.600000	-1042.054000	0.746519
409.400000	-1031.520000	0.484157
409.200000	-1022.110000	0.666378
409.000000	-1011.366000	2.714191
408.800000	-999.112000	0.455218
408.600000	-992.023900	0.354748
408.400000	-987.100000	0.357090
408.200000	-982.509600	0.375616
408.000000	-980.989500	2.182154
407.800000	-976.719900	0.899411
407.600000	-971.975800	0.645603
407.400000	-966.814200	0.788984
407.200000	-962.781400	0.721790
407.000000	-959.625300	0.515748
406.800000	-956.018400	0.635680
406.600000	-950.185800	0.608237
406.400000	-940.900100	0.497770
406.200000	-927.512100	0.504104
406.000000	-921.378800	0.567064
405.800000	-916.680900	0.486746
405.600000	-912.681500	0.581901
405.400000	-909.565500	0.351724
405.200000	-907.172800	0.467692
405.000000	-904.574200	0.389415
404.800000	-901.690600	0.485999
404.600000	-898.824000	0.474085
404.400000	-896.356900	0.601954
404.200000	-892.406100	0.457840
404.000000	-888.822800	0.287607
403.800000	-884.380200	0.460771
403.600000	-879.388200	0.476013
403.400000	-875.077300	0.531431
403.200000	-870.995700	0.626831
403.000000	-865.923800	0.381375
402.800000	-860.186600	0.482235
402.600000	-854.079400	0.471346
402.400000	-846.585500	0.434515
402.200000	-837.680900	0.425285
402.000000	-824.883900	0.455800
401.800000	-813.213000	0.381956
401.600000	-801.914600	0.435757
401.400000	-789.155900	0.479105
401.200000	-776.443500	0.497588
401.000000	-764.418400	0.416741
400.800000	-752.110500	0.535037
400.600000	-743.329300	0.599095
400.400000	-735.032700	0.387274
400.200000	-726.202200	0.605426
400.000000	-718.082600	0.568036
399.800000	-711.611300	1.170343
399.600000	-706.481400	1.517595
399.400000	-700.934000	2.295411
399.200000	-696.932300	2.090542
399.000000	-692.628400	1.774232
398.800000	-687.998200	1.693849
398.600000	-683.967500	1.890439
398.400000	-679.630200	1.938148
398.200000	-670.570200	1.935223
398.000000	-664.316200	1.396959
397.800000	-659.219800	1.621717
397.600000	-654.975500	2.021171
397.400000	-652.067300	1.690976
397.200000	-649.983300	1.569611
397.000000	-647.701800	1.697193
396.800000	-646.059400	1.221169
396.600000	-643.578200	1.038369
396.400000	-640.812100	1.337602
396.200000	-637.198000	1.279160
396.000000	-631.995500	1.077150
395.800000	-628.266200	1.285787
395.600000	-625.248400	1.632869
395.400000	-622.880400	1.305494
395.200000	-620.196400	1.164881
395.000000	-617.034500	1.322409
394.800000	-613.241800	1.273174
394.600000	-610.226500	1.238033
394.400000	-603.970800	1.745840
394.200000	-599.024100	1.246459
394.000000	-594.110500	1.018939
393.800000	-589.401700	1.205799
393.600000	-584.109400	1.192802
393.400000	-577.443600	1.059215
393.200000	-572.495700	0.842068
393.000000	-570.160400	1.078251
392.800000	-567.392900	0.913985
392.600000	-564.492600	0.873262
392.400000	-560.703400	0.852778
392.200000	-556.413400	0.936988
392.000000	-552.381000	0.896939
391.800000	-549.589900	0.806860
391.600000	-547.748700	0.853569
391.400000	-546.663000	0.909165
391.200000	-544.724000	0.822952
391.000000	-542.810200	0.791406
390.800000	-541.083100	0.890568
390.600000	-537.859300	0.776360
390.400000	-534.774000	0.793244
390.200000	-532.736500	0.852629
390.000000	-527.524000	0.748555
389.800000	-518.208000	0.683467
389.600000	-497.049600	0.680802
389.400000	-470.519000	0.805950
389.200000	-451.598300	0.845444
389.000000	-434.285800	0.857375
388.800000	-426.507800	0.743850
388.600000	-418.556500	0.792788
388.400000	-413.850200	0.792887
388.200000	-411.079400	0.564696
388.000000	-409.528100	0.563087
387.800000	-408.554800	0.726844
387.600000	-407.228300	0.652615
387.400000	-404.952300	0.583701
387.200000	-403.495500	0.735842
