#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_B
#t 2.7
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
90.000000	0.232244	0.111987
90.250000	0.190447	0.117494
90.500000	0.169452	0.115960
90.750000	0.174915	0.088899
91.000000	0.187205	0.067189
91.250000	0.200915	0.074329
91.500000	0.205302	0.074230
91.750000	0.167963	0.100843
92.000000	0.154355	0.098818
92.250000	0.149734	0.117214
92.500000	0.193558	0.107300
92.750000	0.199051	0.071477
93.000000	0.178806	0.067550
93.250000	0.138782	0.071225
93.500000	0.166281	0.094033
93.750000	0.184266	0.122688
94.000000	0.193507	0.124465
94.250000	0.165714	0.090689
94.500000	0.147182	0.079237
94.750000	0.163313	0.081888
95.000000	0.190052	0.089416
95.250000	0.202504	0.119745
95.500000	0.157019	0.121002
95.750000	0.146136	0.130041
96.000000	0.152845	0.110729
96.250000	0.188806	0.082690
96.500000	0.187398	0.086376
96.750000	0.169564	0.089406
97.000000	0.143057	0.112573
97.250000	0.153483	0.111623
97.500000	0.164264	0.129625
97.750000	0.190346	0.123086
98.000000	0.166839	0.090154
98.250000	0.143950	0.064964
98.500000	0.151285	0.079624
98.750000	0.177437	0.091410
99.000000	0.179959	0.115180
99.250000	0.162025	0.106620
99.500000	0.156432	0.114023
99.750000	0.143969	0.114629
100.000000	0.164934	0.102586
100.250000	0.170345	0.082721
100.500000	0.181349	0.060061
100.750000	0.152136	0.078379
101.000000	0.136806	0.096149
101.250000	0.150018	0.096101
101.500000	0.167567	0.133525
101.750000	0.165998	0.105814
102.000000	0.150626	0.092812
102.250000	0.136259	0.086458
102.500000	0.138924	0.074497
102.750000	0.136644	0.079831
103.000000	0.148134	0.091475
103.250000	0.158672	0.090522
103.500000	0.148488	0.112724
103.750000	0.127686	0.117125
104.000000	0.113358	0.112247
104.250000	0.132135	0.073551
104.500000	0.133584	0.082347
104.750000	0.126177	0.076963
105.000000	0.097187	0.081275
105.250000	0.100864	0.111065
105.500000	0.104126	0.130670
105.750000	0.130430	0.135579
106.000000	0.100600	0.126984
106.250000	0.070658	0.105699
106.500000	0.055296	0.102486
106.750000	0.063252	0.087979
107.000000	0.074490	0.080955
107.250000	0.065340	0.080990
107.500000	0.030958	0.083605
107.750000	0.017420	0.107834
108.000000	-0.014004	0.125301
108.250000	-0.007985	0.140497
108.500000	-0.011390	0.129558
108.750000	-0.020620	0.117483
109.000000	-0.030763	0.098046
109.250000	-0.053320	0.082108
109.500000	-0.080548	0.099485
109.750000	-0.107107	0.124495
110.000000	-0.120432	0.112200
110.250000	-0.142735	0.123466
110.500000	-0.159901	0.135114
110.750000	-0.185346	0.132829
111.000000	-0.227520	0.122153
111.250000	-0.254951	0.094420
111.500000	-0.263949	0.085316
111.750000	-0.303732	0.088825
112.000000	-0.327191	0.101199
112.250000	-0.372790	0.100997
112.500000	-0.388618	0.106082
112.750000	-0.448293	0.127832
113.000000	-0.495615	0.125595
113.250000	-0.551976	0.125072
113.500000	-0.583937	0.122778
113.750000	-0.657068	0.105404
114.000000	-0.712183	0.091555
114.250000	-0.761207	0.101258
114.500000	-0.814306	0.107968
114.750000	-0.879057	0.125668
115.000000	-0.957154	0.131705
115.250000	-1.032900	0.135482
115.500000	-1.113155	0.138657
115.750000	-1.188060	0.117268
116.000000	-1.263512	0.109120
116.250000	-1.345764	0.110123
116.500000	-1.466187	0.082337
116.750000	-1.569333	0.082289
117.000000	-1.652173	0.106718
