#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
125.000000	-14.442120	0.075903
124.750000	-13.330670	0.140561
124.500000	-12.638930	0.087066
124.250000	-11.995480	0.094425
124.000000	-11.249240	0.121540
123.750000	-10.661180	0.084682
123.500000	-9.970928	0.102717
123.250000	-9.389290	0.125828
123.000000	-8.861075	0.071203
122.750000	-8.429320	0.119978
122.500000	-8.006155	0.085204
122.250000	-7.478862	0.101567
122.000000	-7.047288	0.096630
121.750000	-6.685975	0.098775
121.500000	-6.351449	0.117075
121.250000	-5.874498	0.081690
121.000000	-5.035879	0.131351
120.750000	-4.494097	0.089256
120.500000	-4.189976	0.096764
120.250000	-3.937108	0.104974
120.000000	-3.683724	0.075323
119.750000	-3.433339	0.096472
119.500000	-3.253356	0.115569
119.250000	-3.050588	0.074450
119.000000	-2.828743	0.118941
118.750000	-2.618863	0.086636
118.500000	-2.478767	0.088027
118.250000	-2.344700	0.122696
118.000000	-2.203539	0.073393
117.750000	-2.077800	0.117673
117.500000	-1.898506	0.087920
117.250000	-1.747824	0.077971
117.000000	-1.656014	0.126329
116.750000	-1.562978	0.084278
116.500000	-1.468098	0.113907
116.250000	-1.380361	0.102262
116.000000	-1.267559	0.078383
115.750000	-1.196113	0.116101
115.500000	-1.128932	0.090307
115.250000	-1.074497	0.101193
115.000000	-1.009251	0.104779
114.750000	-0.920227	0.067948
114.500000	-0.856137	0.114695
114.250000	-0.799523	0.099787
114.000000	-0.766809	0.100047
113.750000	-0.712718	0.128414
113.500000	-0.655871	0.075238
113.250000	-0.587961	0.100339
113.000000	-0.526353	0.109152
112.750000	-0.464856	0.082873
112.500000	-0.420085	0.105968
112.250000	-0.373339	0.094909
112.000000	-0.309097	0.075002
111.750000	-0.259413	0.111873
111.500000	-0.231065	0.092393
111.250000	-0.197419	0.085892
111.000000	-0.186740	0.112756
110.750000	-0.163195	0.103408
110.500000	-0.155110	0.107950
110.250000	-0.150318	0.092285
110.000000	-0.147816	0.094623
109.750000	-0.147572	0.112668
109.500000	-0.129924	0.075256
109.250000	-0.148748	0.104490
109.000000	-0.122963	0.083307
108.750000	-0.131413	0.089493
108.500000	-0.113835	0.086954
108.250000	-0.089033	0.079721
108.000000	-0.084301	0.109901
107.750000	-0.078770	0.072450
107.500000	-0.058921	0.116984
107.250000	-0.022518	0.085194
107.000000	0.005527	0.090254
106.750000	0.021546	0.125881
106.500000	0.051232	0.070607
106.250000	0.066613	0.113766
106.000000	0.078041	0.117476
105.750000	0.099683	0.084558
105.500000	0.101111	0.105385
105.250000	0.109977	0.074481
105.000000	0.106542	0.121954
104.750000	0.122693	0.070052
104.500000	0.111618	0.085929
104.250000	0.120210	0.122410
104.000000	0.121649	0.063933
103.750000	0.125600	0.090092
103.500000	0.099075	0.083110
103.250000	0.103472	0.079370
103.000000	0.093725	0.105542
102.750000	0.077473	0.066801
102.500000	0.082621	0.100416
102.250000	0.071283	0.073225
102.000000	0.053177	0.089312
101.750000	0.072367	0.117389
101.500000	0.068486	0.065903
101.250000	0.081263	0.096932
101.000000	0.100149	0.084615
100.750000	0.114080	0.086248
100.500000	0.111284	0.109645
100.250000	0.116228	0.075876
100.000000	0.122459	0.088216
99.750000	0.130950	0.070463
99.500000	0.142561	0.090752
99.250000	0.153068	0.091063
99.000000	0.164842	0.070290
98.750000	0.171539	0.109399
98.500000	0.167993	0.083027
98.250000	0.167172	0.096300
98.000000	0.174892	0.110010
97.750000	0.165470	0.062302
97.500000	0.165875	0.099606
97.250000	0.149431	0.089777
97.000000	0.136573	0.076223
96.750000	0.124091	0.108615
96.500000	0.105002	0.052577
96.250000	0.100747	0.086252
96.000000	0.086298	0.102057
95.750000	0.069844	0.068098
95.500000	0.067585	0.104661
95.250000	0.071131	0.076478
95.000000	0.067372	0.072033
94.750000	0.077291	0.100588
94.500000	0.078801	0.063080
94.250000	0.082104	0.097489
94.000000	0.112834	0.098724
93.750000	0.138640	0.067097
93.500000	0.158965	0.101345
93.250000	0.165135	0.087712
93.000000	0.186048	0.056474
92.750000	0.164669	0.091370
92.500000	0.148337	0.105827
92.250000	0.132824	0.064891
92.000000	0.097818	0.075318
91.750000	0.089409	0.101137
91.500000	0.071729	0.088897
91.250000	0.081182	0.065403
91.000000	0.090736	0.093204
90.750000	0.114526	0.100895
90.500000	0.103634	0.063263
90.250000	0.120007	0.097132
90.000000	0.139765	0.074827
