#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_B
#t 2.7
#d 0.5
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
90.000000	-0.013581	0.104919
91.000000	0.013533	0.127846
92.000000	0.053736	0.114272
93.000000	-0.005262	0.121765
94.000000	-0.041616	0.108158
95.000000	-0.043277	0.111078
96.000000	0.013410	0.100302
97.000000	0.030026	0.094160
98.000000	-0.009214	0.112136
99.000000	-0.059600	0.082330
100.000000	-0.041039	0.088780
101.000000	-0.003511	0.073420
102.000000	0.020887	0.075889
103.000000	-0.062123	0.080882
104.000000	-0.099610	0.099672
105.000000	-0.103834	0.116646
106.000000	-0.086134	0.131193
107.000000	-0.071990	0.122212
108.000000	-0.163286	0.122651
109.000000	-0.264843	0.123171
110.000000	-0.351860	0.123920
111.000000	-0.370350	0.114175
112.000000	-0.481652	0.112001
113.000000	-0.685877	0.118438
114.000000	-0.905269	0.098445
115.000000	-1.163778	0.102116
116.000000	-1.461667	0.084646
117.000000	-1.879458	0.078394
118.000000	-2.417346	0.075625
119.000000	-3.070243	0.093235
120.000000	-3.889718	0.116334
121.000000	-4.994873	0.124417
122.000000	-6.343216	0.148723
123.000000	-8.120395	0.144184
124.000000	-10.832780	0.135280
125.000000	-14.007520	0.163902
126.000000	-17.884890	0.156565
127.000000	-23.951160	0.132183
128.000000	-31.836110	0.132098
129.000000	-41.992110	0.117258
130.000000	-56.368090	0.124266
131.000000	-134.540500	1.096064
132.000000	-207.869900	0.254581
133.000000	-254.675400	0.299286
134.000000	-314.182300	0.356575
135.000000	-421.241100	0.406218
136.000000	-512.085400	1.142363
137.000000	-620.521900	2.862703
138.000000	-743.230700	0.616331
139.000000	-988.419800	2.113705
140.000000	-1173.315000	33.201660
141.000000	-1343.129000	32.899990
142.000000	-1550.434000	25.619700
143.000000	-1821.015000	9.446253
144.000000	-2162.468000	7.022687
145.000000	-2952.902000	7.191378
146.000000	-3595.289000	4.760688
147.000000	-4266.048000	2.682215
148.000000	-4865.329000	2.667546
149.000000	-5494.206000	139.210800
150.000000	-5867.931000	2.679297
151.000000	-6833.789000	2.189867
152.000000	-8194.947000	2.343899
153.000000	-10713.510000	5.642687
154.000000	-12484.300000	53.416210
155.000000	-14785.870000	140.262800
156.000000	-17062.600000	156.783100
