#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_B
#t 2.7
#d 0.5
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
156.000000	-16983.250000	113.686500
155.000000	-14767.180000	51.241070
154.000000	-12484.540000	84.503070
153.000000	-10722.320000	5.011444
152.000000	-8239.246000	2.930139
151.000000	-6849.699000	2.744441
150.000000	-5861.391000	5.407362
149.000000	-5094.491000	1.531084
148.000000	-4482.950000	1.735138
147.000000	-3925.842000	1.404278
146.000000	-3367.516000	2.963320
145.000000	-2796.410000	3.346732
144.000000	-2430.489000	5.517794
143.000000	-2109.365000	14.297030
142.000000	-1475.937000	61.550560
141.000000	-1181.814000	14.155810
140.000000	-942.252200	10.717300
139.000000	-807.120100	0.376888
138.000000	-685.695100	1.621903
137.000000	-633.363500	1.761871
136.000000	-512.960200	0.245499
135.000000	-438.194100	0.209011
134.000000	-366.641900	0.278086
133.000000	-314.807600	0.315216
132.000000	-243.515300	0.161305
131.000000	-148.961600	0.933671
130.000000	-76.589010	5.217730
129.000000	-37.596040	0.111470
128.000000	-28.303080	0.106565
127.000000	-21.532440	0.094983
126.000000	-16.092410	0.100237
125.000000	-12.512350	0.106039
124.000000	-9.958413	0.088467
123.000000	-7.819658	0.115713
122.000000	-6.120775	0.129412
121.000000	-4.848203	0.120538
120.000000	-3.816304	0.141133
119.000000	-3.040035	0.131258
118.000000	-2.378461	0.134024
117.000000	-1.794967	0.122882
116.000000	-1.392933	0.109326
115.000000	-1.102311	0.076522
114.000000	-0.882374	0.084345
113.000000	-0.683956	0.075710
112.000000	-0.508109	0.090469
111.000000	-0.393790	0.077594
110.000000	-0.306226	0.093936
109.000000	-0.228145	0.090482
108.000000	-0.159567	0.091246
107.000000	-0.140905	0.082919
106.000000	-0.123479	0.094181
105.000000	-0.086712	0.099984
104.000000	-0.069225	0.110791
103.000000	-0.057948	0.127420
102.000000	-0.034767	0.119357
101.000000	-0.041484	0.128560
100.000000	-0.024413	0.105367
99.000000	-0.048293	0.122403
98.000000	-0.045913	0.106965
97.000000	-0.033978	0.073314
96.000000	-0.022731	0.104058
95.000000	-0.030482	0.117791
94.000000	-0.022762	0.078174
93.000000	-0.021030	0.075663
92.000000	-0.028212	0.120928
91.000000	-0.019459	0.104436
90.000000	-0.030098	0.073506
