#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 0.5
#V 114
#
#Time	Temp	Current
# s	K	pA	
0.000000	2.754000	0.897757
0.999602	2.754000	0.905863
1.999344	2.754000	0.993002
2.999772	2.801000	0.825817
3.999557	2.801000	0.830477
4.999374	2.781000	1.070212
5.999379	2.781000	0.831085
6.999583	2.781000	0.938287
8.000669	2.755000	0.818927
9.001082	2.755000	1.060282
10.000785	2.809000	1.003946
11.000900	2.809000	0.770493
12.000196	2.771000	1.056229
13.000326	2.771000	1.008201
14.000405	2.771000	1.135465
15.002033	2.761000	0.961794
16.002002	2.761000	0.670587
18.001154	2.810000	1.111755
20.002957	2.763000	0.861483
22.002659	2.773000	1.230305
24.002612	2.805000	0.844258
26.002510	2.805000	1.040827
28.003959	2.757000	0.736043
30.003392	2.788000	1.079534
32.003448	2.796000	0.775965
34.004859	2.755000	1.187343
36.004690	2.800000	0.657820
38.004154	2.800000	1.116821
40.004375	2.784000	0.871210
42.004454	2.755000	1.093314
44.006000	2.808000	1.043462
46.006963	2.773000	0.958147
48.007650	2.759000	0.835544
50.007698	2.759000	1.082371
52.008074	2.810000	0.766035
54.007970	2.764000	1.281170
56.007757	2.770000	0.938692
58.007806	2.806000	1.000703
60.009001	2.758000	1.053189
62.008621	2.758000	0.919238
64.008913	2.785000	1.171131
66.008523	2.798000	0.852364
68.010159	2.755000	1.057445
70.011689	2.798000	1.004351
72.011929	2.786000	0.973953
74.011676	2.786000	0.986112
76.012156	2.754000	1.215107
78.012857	2.807000	0.758537
80.013682	2.775000	1.137289
82.013772	2.758000	0.842029
84.013446	2.810000	1.170726
86.013925	2.810000	0.806160
88.013333	2.766000	1.070010
90.013327	2.767000	1.040017
92.014398	2.808000	0.944367
94.014987	2.760000	0.958350
96.015050	2.781000	1.133642
98.014211	2.781000	0.817103
100.014296	2.800000	1.220984
102.015574	2.756000	0.747189
104.015690	2.795000	1.079535
106.015975	2.789000	0.942746
108.015404	2.754000	1.073455
110.015722	2.754000	1.010633
112.015479	2.805000	0.951460
114.015435	2.777000	0.944772
116.015532	2.757000	1.009620
118.015621	2.810000	0.920049
120.015574	2.768000	1.329401
122.015899	2.768000	0.824601
124.015888	2.765000	0.889854
126.015342	2.809000	1.065957
128.015849	2.761000	0.928560
130.016063	2.779000	1.203758
132.015419	2.802000	0.903432
134.016778	2.802000	1.074671
136.016376	2.757000	0.890462
138.016409	2.793000	1.026035
140.016912	2.790000	0.986518
142.016503	2.754000	0.883977
144.016740	2.804000	0.852769
146.016458	2.804000	0.963619
148.016279	2.778000	0.807781
150.017678	2.756000	1.241248
152.018022	2.809000	0.900189
154.018460	2.768000	1.000096
156.019410	2.764000	0.982262
158.020914	2.764000	1.040017
160.021576	2.809000	0.969495
162.021326	2.762000	1.053393
164.021318	2.778000	0.829464
166.021946	2.803000	1.142761
168.023056	2.757000	0.875061
170.023489	2.757000	1.204772
172.023356	2.793000	0.979425
174.023458	2.792000	0.901202
176.023680	2.755000	0.944367
178.023177	2.804000	1.120470
180.023853	2.780000	0.992395
182.023403	2.780000	1.139721
184.023987	2.756000	0.869386
186.023411	2.810000	1.011241
188.025125	2.770000	1.036775
190.026002	2.763000	0.997259
192.025526	2.810000	1.154312
194.026736	2.810000	0.884991
196.026768	2.763000	0.961795
198.026921	2.775000	0.997664
200.026331	2.805000	0.931195
202.028055	2.758000	1.117835
204.027439	2.790000	1.122293
206.027834	2.790000	1.047111
208.027452	2.795000	1.041031
210.028525	2.755000	0.948015
212.028304	2.802000	1.095544
214.028223	2.783000	0.927142
216.028223	2.755000	0.980641
218.029974	2.755000	1.056432
220.029495	2.809000	0.924507
222.029570	2.772000	1.100002
224.029411	2.761000	0.999082
226.030058	2.810000	0.833112
228.029408	2.764000	1.228279
230.029656	2.764000	0.834531
232.029703	2.773000	1.121280
234.029544	2.806000	0.897555
236.030449	2.759000	1.062917
238.030920	2.788000	0.985505
240.030467	2.796000	0.918022
242.030473	2.796000	1.134250
244.030686	2.755000	1.050150
246.030628	2.800000	0.939503
248.030358	2.784000	1.132831
250.030749	2.755000	0.805349
252.032118	2.808000	1.090680
254.032378	2.808000	1.139113
256.033003	2.773000	1.042247
258.032839	2.759000	1.221187
260.032742	2.810000	0.825006
262.032910	2.765000	1.014686
264.032211	2.770000	1.035965
266.032268	2.770000	0.896947
268.032853	2.807000	1.061093
270.032651	2.759000	0.749823
272.033119	2.784000	0.792583
274.032831	2.799000	1.035762
276.032431	2.756000	0.925116
278.032394	2.756000	1.180454
280.033530	2.798000	0.842435
282.033628	2.787000	1.046706
284.033879	2.761000	0.998678
286.034385	2.779000	1.055217
288.034699	2.779000	1.045692
290.034383	2.802000	0.954703
292.034413	2.757000	0.770696
294.035988	2.794000	1.064134
296.035749	2.791000	0.897150
298.035782	2.755000	1.097368
300.036631	2.755000	0.907080
302.037550	2.805000	0.983073
304.037330	2.779000	0.860876
306.038894	2.756000	0.989963
308.038208	2.810000	1.082777
310.038507	2.769000	1.063323
312.039566	2.769000	0.856620
314.039853	2.764000	1.217337
316.039503	2.810000	1.138709
318.039487	2.762000	0.986519
320.039624	2.777000	1.071632
322.039383	2.804000	0.771912
324.039923	2.804000	0.893097
326.041035	2.757000	0.927142
328.040624	2.792000	1.051164
330.040322	2.793000	0.937072
332.040518	2.755000	0.773939
334.040620	2.803000	0.964024
336.040525	2.803000	1.049948
338.041400	2.781000	0.822980
340.042058	2.756000	1.179036
342.041169	2.809000	0.872629
344.042045	2.770000	0.978615
346.041890	2.762000	0.916807
348.042085	2.762000	0.976791
350.041799	2.810000	1.042247
352.041472	2.762000	1.094936
354.041923	2.775000	0.936261
356.041731	2.804000	1.067781
358.041926	2.757000	0.693082
360.041257	2.757000	1.119051
362.041485	2.790000	0.834734
364.041995	2.794000	0.891476
366.041692	2.754000	1.113377
368.041462	2.801000	0.864321
370.042732	2.781000	1.007999
372.042912	2.781000	1.021577
374.042171	2.755000	0.877898
376.042949	2.808000	1.006784
378.043703	2.771000	0.943962
380.044830	2.761000	1.080548
382.044179	2.810000	0.982060
384.044894	2.810000	1.027859
386.044950	2.763000	1.286035
388.044555	2.773000	0.756714
390.045262	2.805000	1.060891
392.047001	2.758000	1.086425
394.046429	2.788000	1.022996
396.046302	2.788000	0.943759
398.047161	2.796000	0.904851
400.047307	2.755000	0.975778
402.047652	2.800000	1.015903
404.047914	2.783000	0.794812
406.047662	2.754000	1.236588
408.047978	2.754000	0.804539
410.047938	2.807000	1.192613
