#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
90.000000	-0.034837	0.055482
90.250000	-0.031372	0.052941
90.500000	-0.035557	0.066802
90.750000	-0.003840	0.058097
91.000000	0.008949	0.059462
91.250000	0.031667	0.053666
91.500000	-0.000323	0.058120
91.750000	-0.005998	0.041406
92.000000	0.007631	0.049159
92.250000	0.035224	0.057551
92.500000	0.030644	0.057716
92.750000	0.028638	0.053395
93.000000	0.026722	0.052518
93.250000	0.001612	0.066534
93.500000	0.015191	0.069116
93.750000	0.036896	0.059320
94.000000	0.041943	0.050097
94.250000	0.028870	0.051318
94.500000	0.009242	0.045326
94.750000	0.012069	0.064339
95.000000	0.026449	0.069949
95.250000	0.036217	0.064032
95.500000	0.031566	0.056558
95.750000	0.029114	0.058855
96.000000	0.030188	0.046333
96.250000	0.023459	0.047100
96.500000	0.034849	0.056258
96.750000	0.047009	0.062305
97.000000	0.041192	0.067498
97.250000	0.023145	0.066522
97.500000	0.021646	0.066570
97.750000	0.039450	0.062796
98.000000	0.041405	0.062068
98.250000	0.036268	0.054463
98.500000	0.029002	0.042406
98.750000	0.031373	0.052525
99.000000	0.029326	0.055508
99.250000	0.034575	0.052816
99.500000	0.048954	0.054857
99.750000	0.055966	0.069654
100.000000	0.044850	0.074100
100.250000	0.039115	0.065381
100.500000	0.047880	0.052328
100.750000	0.033136	0.049982
101.000000	0.059179	0.058072
101.250000	0.072189	0.064054
101.500000	0.066576	0.060570
101.750000	0.052045	0.064105
102.000000	0.047667	0.064562
102.250000	0.055034	0.048405
102.500000	0.085069	0.048757
102.750000	0.079627	0.066306
103.000000	0.078370	0.070742
103.250000	0.057892	0.066933
103.500000	0.072787	0.071210
103.750000	0.076902	0.047974
104.000000	0.067893	0.064074
104.250000	0.085018	0.071780
104.500000	0.101584	0.079209
104.750000	0.109721	0.074263
105.000000	0.109347	0.056865
105.250000	0.115578	0.065356
105.500000	0.118213	0.060998
