#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_B
#t 2.7
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
90.000000	-0.080239	0.046269
90.250000	-0.072854	0.049763
90.500000	-0.067119	0.061561
90.750000	-0.071455	0.055269
91.000000	-0.052752	0.064049
91.250000	-0.060422	0.060152
91.500000	-0.057099	0.044989
91.750000	-0.043806	0.062588
92.000000	-0.039297	0.055057
92.250000	-0.037696	0.062281
92.500000	-0.044130	0.059074
92.750000	-0.032033	0.052655
93.000000	-0.035751	0.061375
93.250000	-0.042448	0.059638
93.500000	-0.030837	0.060768
93.750000	-0.031739	0.056812
94.000000	-0.050574	0.068059
94.250000	-0.041050	0.060726
94.500000	-0.029338	0.056955
94.750000	-0.033046	0.065072
95.000000	-0.049824	0.046962
95.250000	-0.032762	0.055953
95.500000	-0.023451	0.066632
95.750000	-0.032722	0.055891
96.000000	-0.020097	0.067590
96.250000	-0.029480	0.057556
96.500000	-0.028993	0.070901
96.750000	-0.015872	0.069699
97.000000	-0.033106	0.069854
97.250000	-0.029460	0.052094
97.500000	-0.024414	0.067848
97.750000	-0.034444	0.061578
98.000000	-0.040320	0.063434
98.250000	-0.031151	0.051216
98.500000	-0.036055	0.049973
98.750000	-0.037716	0.064696
99.000000	-0.056136	0.057448
99.250000	-0.044799	0.043170
99.500000	-0.041141	0.066767
99.750000	-0.034788	0.057003
100.000000	-0.023573	0.059622
100.250000	-0.018050	0.071434
100.500000	-0.025619	0.059055
100.750000	-0.001110	0.060461
101.000000	-0.004180	0.062721
101.250000	-0.000280	0.053470
101.500000	-0.002721	0.060698
101.750000	-0.008030	0.064714
102.000000	-0.009348	0.065650
102.250000	-0.010006	0.064423
102.500000	-0.008719	0.067959
102.750000	-0.011567	0.052326
103.000000	-0.011881	0.057692
103.250000	0.001342	0.075471
103.500000	-0.003897	0.051410
103.750000	0.019782	0.070667
104.000000	0.023642	0.066382
104.250000	0.020278	0.062415
104.500000	0.031018	0.074979
104.750000	0.028647	0.071479
105.000000	0.030653	0.054153
105.250000	0.046601	0.067009
105.500000	0.047219	0.075042
105.750000	0.040623	0.063740
106.000000	0.052953	0.065544
106.250000	0.041879	0.065868
106.500000	0.047047	0.065163
106.750000	0.048607	0.065534
107.000000	0.070309	0.075678
107.250000	0.086267	0.067183
107.500000	0.106774	0.062526
107.750000	0.117626	0.069849
108.000000	0.135549	0.064819
108.250000	0.152034	0.074385
108.500000	0.169065	0.068349
108.750000	0.184010	0.051985
109.000000	0.209684	0.071921
109.250000	0.225460	0.065113
109.500000	0.232167	0.058262
109.750000	0.257416	0.061032
110.000000	0.259321	0.072298
110.250000	0.273961	0.056919
110.500000	0.301307	0.058840
110.750000	0.319940	0.076036
111.000000	0.349768	0.066226
111.250000	0.370579	0.069427
111.500000	0.390407	0.082068
111.750000	0.417946	0.048010
112.000000	0.457724	0.066166
112.250000	0.501170	0.067335
112.500000	0.538810	0.060877
112.750000	0.591192	0.076232
113.000000	0.631091	0.064416
113.250000	0.691873	0.070889
113.500000	0.773192	0.081315
113.750000	0.830042	0.052797
114.000000	0.887176	0.086841
114.250000	0.943996	0.084632
114.500000	0.998242	0.059298
114.750000	1.059621	0.081949
115.000000	1.138894	0.072444
115.250000	1.202167	0.069349
115.500000	1.251601	0.087018
115.750000	1.322717	0.068815
116.000000	1.370347	0.058121
116.250000	1.478780	0.066983
116.500000	1.581842	0.071447
116.750000	1.668075	0.065793
117.000000	1.766010	0.061973
117.250000	1.861149	0.060028
117.500000	2.043068	0.057295
117.750000	2.223841	0.070216
118.000000	2.366509	0.076458
118.250000	2.511912	0.062258
118.500000	2.662726	0.064616
118.750000	2.831930	0.076526
119.000000	3.059432	0.071200
119.250000	3.246417	0.059549
119.500000	3.420362	0.079317
119.750000	3.612868	0.070179
120.000000	3.846755	0.066975
120.250000	4.087226	0.076888
120.500000	4.345216	0.072831
120.750000	4.638140	0.065897
121.000000	5.249431	0.084776
121.250000	5.971474	0.079973
121.500000	6.444836	0.060073
121.750000	6.815392	0.071102
122.000000	7.200597	0.079928
122.250000	7.657020	0.063765
122.500000	8.199089	0.070866
122.750000	8.629391	0.084025
123.000000	9.101823	0.064336
123.250000	9.579310	0.063627
123.500000	10.137320	0.078622
123.750000	10.912230	0.082671
124.000000	11.539470	0.071915
124.250000	12.131500	0.077947
124.500000	12.792460	0.080458
124.750000	13.551190	0.081648
125.000000	14.647700	0.082351
