#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_B
#t 2.7
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
125.000000	14.685150	0.077077
124.750000	13.617550	0.069161
124.500000	12.798800	0.075467
124.250000	12.120950	0.087093
124.000000	11.489650	0.063117
123.750000	10.803390	0.080803
123.500000	10.023800	0.079857
123.250000	9.483920	0.077796
123.000000	8.995115	0.065805
122.750000	8.553100	0.074799
122.500000	8.074143	0.081005
122.250000	7.526260	0.068946
122.000000	7.094536	0.078247
121.750000	6.722461	0.075855
121.500000	6.362596	0.065313
121.250000	5.877328	0.077633
121.000000	5.062274	0.081854
120.750000	4.530591	0.061416
120.500000	4.251385	0.058165
120.250000	4.010428	0.059977
120.000000	3.767869	0.085783
119.750000	3.552757	0.072156
119.500000	3.380180	0.057234
119.250000	3.189720	0.070078
119.000000	2.999777	0.078148
118.750000	2.773794	0.073251
118.500000	2.612119	0.069429
118.250000	2.461548	0.065905
118.000000	2.323085	0.088591
117.750000	2.184694	0.067765
117.500000	1.985976	0.062337
117.250000	1.829194	0.077308
117.000000	1.741158	0.067281
116.750000	1.642584	0.057180
116.500000	1.553707	0.083328
116.250000	1.492266	0.064687
116.000000	1.356448	0.074430
115.750000	1.300651	0.079488
115.500000	1.241014	0.072170
115.250000	1.166170	0.060481
115.000000	1.102400	0.070794
114.750000	1.017373	0.062084
114.500000	0.956328	0.059723
114.250000	0.899903	0.064195
114.000000	0.843225	0.073535
113.750000	0.801542	0.057892
113.500000	0.746221	0.053252
113.250000	0.689097	0.072865
113.000000	0.631244	0.066506
112.750000	0.591000	0.060089
112.500000	0.553573	0.086797
112.250000	0.495091	0.063582
112.000000	0.449153	0.051696
111.750000	0.427683	0.081138
111.500000	0.405099	0.064378
111.250000	0.379303	0.054891
111.000000	0.358097	0.065534
110.750000	0.332332	0.070154
110.500000	0.329130	0.055654
110.250000	0.308309	0.066231
110.000000	0.272361	0.068448
109.750000	0.246615	0.061348
109.500000	0.229533	0.069189
109.250000	0.208124	0.068616
109.000000	0.185418	0.060288
108.750000	0.161021	0.073357
108.500000	0.150038	0.068888
108.250000	0.130959	0.058475
108.000000	0.113299	0.069874
107.750000	0.099490	0.059502
107.500000	0.089064	0.068157
107.250000	0.101840	0.076217
107.000000	0.088912	0.075828
106.750000	0.091485	0.068890
106.500000	0.081455	0.059064
106.250000	0.087605	0.076261
106.000000	0.072093	0.062340
105.750000	0.058212	0.048210
105.500000	0.047695	0.083101
105.250000	0.029083	0.069835
105.000000	0.023571	0.047464
104.750000	0.021697	0.069341
104.500000	0.006073	0.067315
104.250000	0.005222	0.059010
104.000000	0.007836	0.072982
103.750000	0.010359	0.076611
103.500000	0.008454	0.052705
103.250000	0.011666	0.062271
103.000000	0.013044	0.079145
102.750000	0.011707	0.062805
102.500000	0.018120	0.054646
102.250000	0.010288	0.080540
102.000000	0.005283	0.070689
101.750000	0.017249	0.067904
101.500000	0.013389	0.064980
101.250000	0.011403	0.060636
101.000000	0.000653	0.060395
100.750000	0.019995	0.071921
100.500000	0.002223	0.060072
100.250000	-0.013866	0.060104
100.000000	-0.012387	0.066875
99.750000	-0.016075	0.066171
99.500000	-0.016389	0.057814
99.250000	-0.025325	0.062429
99.000000	-0.041506	0.062467
98.750000	-0.038274	0.060813
98.500000	-0.043228	0.065645
98.250000	-0.048881	0.079975
98.000000	-0.056632	0.062627
97.750000	-0.040949	0.053251
97.500000	-0.051060	0.058676
97.250000	-0.036308	0.059055
97.000000	-0.036156	0.067062
96.750000	-0.035913	0.059222
96.500000	-0.038162	0.057938
96.250000	-0.016207	0.063542
96.000000	-0.020016	0.055014
95.750000	-0.020249	0.061744
95.500000	-0.025184	0.056792
95.250000	-0.037068	0.057385
95.000000	-0.026977	0.062834
94.750000	-0.017483	0.052031
94.500000	-0.030979	0.058349
94.250000	-0.016663	0.055214
94.000000	-0.003582	0.047288
93.750000	-0.024576	0.050513
93.500000	-0.019996	0.064206
93.250000	-0.017514	0.048251
93.000000	-0.028456	0.051701
92.750000	-0.022590	0.059553
92.500000	-0.011881	0.055042
92.250000	-0.030563	0.058360
92.000000	-0.017159	0.067518
91.750000	-0.021759	0.043212
91.500000	-0.027909	0.043609
91.250000	-0.039408	0.059207
91.000000	-0.024231	0.051022
90.750000	-0.046157	0.047550
90.500000	-0.033046	0.067391
90.250000	-0.043542	0.054203
90.000000	-0.055235	0.041246
