#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_B
#t 2.7
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
125.000000	13.650240	0.067713
124.750000	12.562360	0.053751
124.500000	11.770630	0.072119
124.250000	11.141170	0.073735
124.000000	10.583450	0.073356
123.750000	10.012630	0.074002
123.500000	9.354568	0.071919
123.250000	8.678771	0.076841
123.000000	8.257132	0.082240
122.750000	7.861545	0.087817
122.500000	7.444203	0.080936
122.250000	7.014531	0.076797
122.000000	6.449896	0.068639
121.750000	6.100623	0.074367
121.500000	5.784524	0.073794
121.250000	5.405808	0.058480
121.000000	5.054883	0.063754
120.750000	4.704790	0.067760
120.500000	4.435745	0.065050
120.250000	4.194139	0.059507
120.000000	3.966121	0.081359
119.750000	3.728933	0.083189
119.500000	3.502313	0.083138
119.250000	3.305593	0.068323
119.000000	3.148287	0.059864
118.750000	2.969320	0.063710
118.500000	2.768588	0.064092
118.250000	2.590988	0.073868
118.000000	2.431636	0.080568
117.750000	2.261017	0.080002
117.500000	2.119975	0.071187
117.250000	1.926751	0.080453
117.000000	1.785455	0.064273
116.750000	1.677150	0.066267
116.500000	1.578268	0.052651
116.250000	1.492214	0.063872
116.000000	1.428674	0.073070
115.750000	1.341820	0.074185
115.500000	1.241783	0.070103
115.250000	1.141979	0.086896
115.000000	1.082512	0.075832
114.750000	1.016226	0.085925
114.500000	0.976781	0.085600
114.250000	0.942230	0.071284
114.000000	0.859337	0.067080
113.750000	0.788329	0.056015
113.500000	0.730798	0.056463
113.250000	0.688769	0.066209
113.000000	0.649820	0.072693
112.750000	0.591954	0.072729
112.500000	0.528282	0.076741
112.250000	0.488756	0.072418
112.000000	0.458967	0.060886
111.750000	0.450162	0.060049
111.500000	0.411041	0.064673
111.250000	0.376226	0.066676
111.000000	0.339709	0.072289
110.750000	0.330164	0.063558
110.500000	0.319839	0.080431
110.250000	0.286848	0.068892
110.000000	0.259470	0.064795
109.750000	0.240229	0.071576
109.500000	0.232792	0.067367
109.250000	0.227118	0.061763
109.000000	0.204016	0.059905
108.750000	0.170386	0.059137
108.500000	0.133949	0.067098
108.250000	0.117443	0.059911
108.000000	0.137840	0.068466
107.750000	0.137465	0.071087
107.500000	0.134141	0.078798
107.250000	0.079921	0.072562
107.000000	0.067843	0.056755
106.750000	0.074966	0.054502
106.500000	0.090389	0.050929
106.250000	0.084673	0.055814
106.000000	0.050231	0.049845
105.750000	0.029174	0.064304
105.500000	0.051488	0.057316
105.250000	0.064691	0.077670
105.000000	0.064833	0.071258
104.750000	0.037453	0.066128
104.500000	0.005959	0.066894
104.250000	0.014208	0.049437
104.000000	0.034079	0.056288
103.750000	0.026094	0.055551
103.500000	0.025404	0.072506
103.250000	0.013823	0.064667
103.000000	0.009394	0.058440
102.750000	0.018099	0.067661
102.500000	0.029873	0.075809
102.250000	0.039297	0.074778
102.000000	0.022821	0.069157
101.750000	-0.001225	0.055087
101.500000	-0.012970	0.053514
101.250000	0.006820	0.061562
101.000000	0.033309	0.062005
100.750000	0.027594	0.059240
100.500000	-0.011126	0.060047
100.250000	-0.029528	0.067469
100.000000	-0.023144	0.069473
99.750000	0.011877	0.067318
99.500000	0.032265	0.066219
99.250000	0.017927	0.047924
99.000000	-0.025799	0.045706
98.750000	-0.026964	0.059227
98.500000	-0.006485	0.057886
98.250000	0.024007	0.061575
98.000000	0.019862	0.055514
97.750000	-0.003424	0.066681
97.500000	-0.032608	0.069429
97.250000	-0.022444	0.065766
97.000000	0.009637	0.066306
96.750000	0.017521	0.073350
96.500000	0.029357	0.061850
96.250000	0.000953	0.043851
96.000000	-0.021796	0.053329
95.750000	-0.023336	0.056540
95.500000	-0.004397	0.060456
95.250000	0.018453	0.057827
95.000000	0.026053	0.064072
94.750000	-0.001104	0.062265
94.500000	-0.031220	0.062933
94.250000	-0.024866	0.068552
94.000000	-0.000739	0.056300
93.750000	0.025506	0.046639
93.500000	0.010317	0.042698
93.250000	-0.001398	0.053912
93.000000	-0.017591	0.059549
92.750000	0.002564	0.063689
92.500000	0.014927	0.068631
92.250000	0.030451	0.060133
92.000000	0.010438	0.063288
91.750000	-0.001398	0.075057
91.500000	-0.020995	0.052153
91.250000	-0.001874	0.053174
91.000000	0.019436	0.052299
90.750000	0.019112	0.035707
90.500000	0.005392	0.055974
90.250000	-0.008572	0.063777
90.000000	0.006679	0.061285
