#lab INRiM MICa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
140.000000	0.333645	1.785460
140.200000	0.455045	1.756363
140.400000	0.367733	2.093001
140.600000	0.261924	1.849631
140.800000	0.679826	1.575119
141.000000	-0.248780	2.118766
141.200000	0.723135	1.629585
141.400000	-0.005391	1.999993
141.600000	0.138210	1.910330
141.800000	0.393695	1.659661
142.000000	0.106279	1.970526
142.200000	0.533830	1.575440
142.400000	0.109000	1.788368
142.600000	0.527209	1.677701
142.800000	-0.025102	1.460952
143.000000	0.447564	2.021652
143.200000	0.159205	1.562796
143.400000	0.479202	1.610808
143.600000	0.165364	1.938412
143.800000	0.397563	1.593136
144.000000	0.163042	1.804395
144.200000	0.366845	1.982581
144.400000	0.384385	1.477875
144.600000	0.147402	1.838103
144.800000	0.654434	1.794525
145.000000	0.253295	1.433635
145.200000	0.503710	2.021967
145.400000	0.364492	1.660607
145.600000	0.419298	1.691018
145.800000	0.366932	1.828557
146.000000	0.400094	1.676890
146.200000	0.498252	1.806105
146.400000	0.215762	1.791306
146.600000	0.470304	1.748766
146.800000	0.350202	1.798829
147.000000	0.393040	1.833276
147.200000	0.473323	1.731776
147.400000	0.401830	1.869629
147.600000	0.481405	1.791557
147.800000	0.296164	1.669099
148.000000	0.504869	1.882166
148.200000	0.290536	1.894260
148.400000	0.473152	1.679433
148.600000	0.153226	1.994270
148.800000	0.586276	1.592453
149.000000	0.267230	1.794884
149.200000	0.453079	1.873030
149.400000	0.080213	1.650614
149.600000	0.491107	2.259004
149.800000	0.279556	1.589681
150.000000	0.111452	1.844573
150.200000	0.103665	2.064752
150.400000	0.421995	1.545902
150.600000	0.113113	1.836494
150.800000	0.220799	1.893100
151.000000	0.089701	1.539144
151.200000	0.185995	2.035327
151.400000	0.138237	1.743189
151.600000	0.224756	1.668285
151.800000	-0.075231	1.992937
152.000000	0.242116	1.552241
152.200000	0.050768	1.819402
152.400000	0.068028	2.187028
152.600000	0.106339	1.493604
152.800000	-0.001110	2.207657
153.000000	0.222435	2.092825
153.200000	0.226984	1.480043
153.400000	0.121444	2.264032
153.600000	0.342063	1.662908
153.800000	0.110452	1.749746
154.000000	0.415043	2.131602
154.200000	0.089402	1.472489
154.400000	0.208152	2.046979
154.600000	0.094805	1.804842
154.800000	0.344264	1.660424
155.000000	-0.095850	2.232928
155.200000	0.296113	1.593679
155.400000	0.028609	1.806660
155.600000	0.199087	2.029482
155.800000	0.029595	1.473249
156.000000	0.193370	2.029930
156.200000	-0.070165	1.821098
156.400000	0.320835	1.736866
156.600000	-0.160255	2.147384
156.800000	0.168984	1.971754
157.000000	-0.008068	1.921661
157.200000	0.290869	1.984957
157.400000	-0.165752	2.030847
157.600000	0.098062	1.931824
157.800000	-0.010447	1.754137
158.000000	0.152639	1.882229
158.200000	-0.029989	1.937139
158.400000	0.189647	1.739933
158.600000	0.054357	1.779703
158.800000	0.151568	1.837208
159.000000	0.054960	1.839646
159.200000	0.276332	1.966926
159.400000	0.058715	1.799556
159.600000	0.126892	1.910802
159.800000	0.016690	1.923395
160.000000	0.170774	1.787311
160.200000	0.114261	1.911117
160.400000	0.040607	1.811540
160.600000	0.305595	1.788904
160.800000	-0.088092	1.881003
161.000000	0.221031	1.857764
161.200000	-0.039842	1.691946
161.400000	0.295101	1.927483
161.600000	-0.211323	1.883423
161.800000	0.308496	1.840057
162.000000	-0.192545	1.823062
162.200000	0.534876	1.876377
162.400000	-0.037368	1.980003
162.600000	0.357369	1.963947
162.800000	-0.019554	1.935311
163.000000	0.495528	1.989890
163.200000	0.077718	2.206314
163.400000	0.291395	1.872787
163.600000	0.102868	2.375812
163.800000	0.527897	2.139068
164.000000	0.106037	2.058151
164.200000	0.268045	2.257762
164.400000	0.096393	1.839190
164.600000	0.337057	2.089692
164.800000	0.092451	1.985954
165.000000	0.159400	1.956242
165.200000	0.080455	2.139394
165.400000	0.299645	1.871440
165.600000	0.024035	2.011822
165.800000	0.211509	1.976349
166.000000	-0.007990	1.763410
166.200000	0.255320	2.102592
166.400000	-0.040670	1.804940
166.600000	0.205522	1.904649
166.800000	-0.003244	1.983206
167.000000	0.057278	1.690204
167.200000	0.074139	1.945099
167.400000	0.003153	1.861563
167.600000	0.054482	1.957736
167.800000	-0.061292	1.877656
168.000000	0.057320	1.902401
168.200000	-0.009427	1.965157
168.400000	-0.204311	1.781449
168.600000	-0.094255	1.943964
168.800000	-0.148064	1.759467
169.000000	-0.342058	1.789490
169.200000	-0.215972	1.946135
169.400000	-0.275825	1.669161
169.600000	-0.485388	2.067806
169.800000	-0.436403	1.867209
170.000000	-0.396835	1.898807
170.200000	-0.491748	2.218415
170.400000	-0.533668	1.690577
170.600000	-0.702467	2.212148
170.800000	-0.558073	2.016329
171.000000	-0.550394	1.690447
171.200000	-0.733175	2.338010
171.400000	-0.760618	1.865786
171.600000	-0.520569	1.840621
171.800000	-0.823936	2.389355
172.000000	-0.687986	1.750577
172.200000	-0.801553	1.955024
172.400000	-0.721272	2.204156
172.600000	-0.839841	1.820349
172.800000	-0.890298	2.034887
173.000000	-1.070593	1.966651
173.200000	-0.939872	1.823120
173.400000	-1.205380	2.213223
173.600000	-0.966441	1.894681
173.800000	-1.181826	1.829908
174.000000	-1.168760	2.075892
174.200000	-1.240484	1.772611
174.400000	-1.381158	2.032795
174.600000	-1.312359	1.894863
174.800000	-1.460367	1.807439
175.000000	-1.482359	2.121467
175.200000	-1.416006	1.765897
175.400000	-1.539868	1.993597
175.600000	-1.719390	2.155314
175.800000	-1.836338	1.824044
176.000000	-2.050875	2.024854
176.200000	-2.088866	2.045991
