#lab INRiM MICa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
215.000000	-1135.092000	3.054445
214.800000	-1108.163000	2.234529
214.600000	-1080.758000	2.647027
214.400000	-1053.351000	2.134395
214.200000	-1026.391000	2.729902
214.000000	-1001.286000	2.889778
213.800000	-979.599300	1.917571
213.600000	-960.089300	2.570495
213.400000	-942.231400	2.730060
213.200000	-924.077500	2.759362
213.000000	-904.576900	2.947559
212.800000	-884.123400	2.526988
212.600000	-859.629000	2.541068
212.400000	-832.706300	2.964297
212.200000	-801.274600	2.349430
212.000000	-772.342500	2.477227
211.800000	-747.375000	2.690045
211.600000	-728.196900	2.261914
211.400000	-710.152700	2.769647
211.200000	-694.711700	2.758830
211.000000	-678.911900	2.239581
210.800000	-664.380600	2.843927
210.600000	-649.378300	2.310217
210.400000	-632.303400	2.294798
210.200000	-610.944700	2.733582
210.000000	-586.113200	1.955174
209.800000	-567.842300	2.472077
209.600000	-553.941900	2.482457
209.400000	-542.603500	2.199434
209.200000	-531.372600	2.437769
209.000000	-520.075000	2.338156
208.800000	-509.587000	2.247460
208.600000	-497.081600	2.500274
208.400000	-484.967200	2.369354
208.200000	-473.027000	2.185402
208.000000	-460.896500	2.286322
207.800000	-449.566800	2.538843
207.600000	-437.441800	2.626120
207.400000	-427.325400	2.290790
207.200000	-417.855400	2.488721
207.000000	-408.882900	2.485532
206.800000	-399.727600	2.352002
206.600000	-389.137700	2.515918
206.400000	-379.573100	2.534381
206.200000	-369.990200	2.747275
206.000000	-362.490500	2.540481
205.800000	-355.108400	2.273993
205.600000	-349.152900	2.828069
205.400000	-341.728900	2.146767
205.200000	-333.073700	2.331982
205.000000	-324.249200	2.664838
204.800000	-315.831600	2.161557
204.600000	-310.598400	2.418114
204.400000	-304.692700	2.268447
204.200000	-300.758100	2.573866
204.000000	-295.715300	2.552230
203.800000	-292.207400	2.386581
203.600000	-287.974100	2.744149
203.400000	-283.191800	2.339493
203.200000	-279.563200	2.318296
203.000000	-273.238600	2.543452
202.800000	-269.296600	2.411658
202.600000	-260.723400	2.222058
202.400000	-250.517600	2.412058
202.200000	-241.510500	2.338600
202.000000	-234.085800	2.379090
201.800000	-228.109900	2.337881
201.600000	-220.637900	2.367016
201.400000	-215.133500	2.310545
201.200000	-202.789700	4.814405
201.000000	-194.010500	2.356405
200.800000	-188.762300	2.310306
200.600000	-185.051400	2.165143
200.400000	-180.685400	2.360594
200.200000	-177.192100	2.312437
200.000000	-172.110900	2.144579
199.800000	-166.340700	2.308701
199.600000	-158.511200	2.490111
199.400000	-151.972300	2.194434
199.200000	-148.204100	2.228302
199.000000	-145.357600	2.392932
198.800000	-143.794200	2.065733
198.600000	-140.702600	2.347462
198.400000	-139.071400	2.296801
198.200000	-136.067300	2.293194
198.000000	-134.523400	2.422269
197.800000	-132.393600	2.095178
197.600000	-130.639500	2.086579
197.400000	-128.948900	2.179327
197.200000	-126.844200	1.965776
197.000000	-124.717700	2.109504
196.800000	-112.821000	2.188097
196.600000	-108.752200	2.296071
196.400000	-106.008300	2.220088
196.200000	-104.176800	2.161187
196.000000	-101.963700	2.471117
195.800000	-100.436400	2.033710
195.600000	-98.466640	1.922303
195.400000	-97.178490	2.258343
195.200000	-94.949100	2.049439
195.000000	-93.468340	2.073504
194.800000	-91.667230	2.404445
194.600000	-89.775340	2.238885
194.400000	-84.110160	2.068534
194.200000	-81.078610	2.504885
194.000000	-79.465770	2.190770
193.800000	-77.739530	2.198149
193.600000	-75.795700	2.202311
193.400000	-74.674850	2.294157
193.200000	-73.287200	2.219084
193.000000	-72.228580	2.240119
192.800000	-70.444190	2.016842
192.600000	-69.576890	2.263884
192.400000	-67.875950	2.145607
192.200000	-64.796510	1.934491
192.000000	-61.158480	2.243188
191.800000	-58.573580	1.804784
191.600000	-56.578030	2.111167
191.400000	-53.327940	2.152235
191.200000	-49.436100	1.880354
191.000000	-47.559610	2.375820
190.800000	-46.720740	1.980014
190.600000	-45.619740	2.064673
190.400000	-43.177610	2.226396
190.200000	-42.021360	2.117215
190.000000	-40.748740	2.185754
189.800000	-40.698310	1.857957
189.600000	-39.665380	2.183537
189.400000	-39.026020	2.027023
189.200000	-38.775020	2.076587
189.000000	-37.637700	2.244283
188.800000	-37.275980	1.838411
188.600000	-35.874050	2.115917
188.400000	-35.209640	2.402560
188.200000	-34.777270	1.966646
188.000000	-32.195070	2.352782
187.800000	-31.225680	2.055777
187.600000	-29.977540	2.161625
187.400000	-29.891730	2.249760
187.200000	-28.830020	2.187073
187.000000	-28.409280	2.151286
186.800000	-27.778260	2.074218
186.600000	-26.966160	2.118884
186.400000	-27.176680	2.029795
186.200000	-25.809480	1.809992
186.000000	-25.721300	2.008967
185.800000	-24.683170	1.738537
185.600000	-22.671060	2.073960
185.400000	-20.328860	1.772737
185.200000	-19.558890	1.889624
185.000000	-20.001420	2.225482
184.800000	-18.778480	1.922930
184.600000	-19.229740	2.265265
184.400000	-18.010050	2.048618
184.200000	-18.243540	2.048268
184.000000	-17.377680	2.329939
183.800000	-16.972300	1.777838
183.600000	-16.630530	2.065378
183.400000	-15.706010	2.104450
183.200000	-15.381960	2.120272
183.000000	-15.108980	2.202366
182.800000	-14.530230	1.943947
182.600000	-14.278740	2.187632
182.400000	-13.392370	2.062163
182.200000	-12.928310	2.075363
182.000000	-12.074440	2.229197
181.800000	-10.601540	1.984485
181.600000	-9.491364	2.263768
181.400000	-8.150465	2.061032
181.200000	-7.738233	2.425548
181.000000	-6.880714	2.468225
180.800000	-6.180353	2.193613
180.600000	-5.518679	2.158304
180.400000	-3.949510	2.275123
180.200000	-3.860215	1.911144
180.000000	-3.345335	2.293268
179.800000	-3.449564	2.110944
179.600000	-3.405930	1.833593
179.400000	-2.984653	2.369977
179.200000	-3.209882	2.066160
179.000000	-2.842120	2.119699
178.800000	-2.997730	2.261539
178.600000	-2.389493	1.897661
178.400000	-2.978972	2.613375
178.200000	-2.455374	1.967518
178.000000	-2.405428	2.480472
177.800000	-2.354766	2.614476
177.600000	-2.238583	1.998004
