#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 1.5
#V 225
#
#Time	Temp	Current
# s	K	pA	
0.000000	2.834000	-6.454094
1.001355	2.804000	0.755491
2.000749	2.804000	0.608572
3.000994	2.804000	1.469014
4.002407	2.811000	1.504477
5.002176	2.811000	1.407814
6.001944	2.846000	0.882349
7.002987	2.846000	0.200237
8.003925	2.846000	0.551222
9.004328	2.815000	1.565677
10.004419	2.815000	2.055679
11.004703	2.798000	1.893155
12.006104	2.798000	0.239753
13.006425	2.798000	0.212193
14.006077	2.851000	0.655789
15.007425	2.851000	1.420581
16.006646	2.851000	1.834590
17.007372	2.830000	1.710368
18.008297	2.830000	0.577769
19.009190	2.794000	1.042238
20.009037	2.794000	0.422136
21.008662	2.794000	1.053992
22.009001	2.846000	0.763597
23.008908	2.846000	1.581281
24.010553	2.844000	1.781091
25.011233	2.844000	0.625392
26.012434	2.844000	0.807167
27.012403	2.797000	0.818718
28.012074	2.797000	1.172743
29.011715	2.797000	1.011233
30.011755	2.832000	0.658626
31.012142	2.832000	1.628497
32.012149	2.851000	0.683754
33.012462	2.851000	1.077702
34.011923	2.851000	0.446251
35.013181	2.803000	0.579999
36.012701	2.803000	1.580672
37.012651	2.814000	1.765690
38.012753	2.814000	1.606814
39.012701	2.814000	0.505222
40.012843	2.848000	0.853573
41.014524	2.848000	0.914165
42.013846	2.848000	1.443278
43.014421	2.814000	1.435577
44.013689	2.814000	1.374580
45.015517	2.799000	0.946385
46.015702	2.799000	1.155518
47.016335	2.799000	0.886402
48.016377	2.836000	1.123702
49.016513	2.836000	1.200708
50.015989	2.828000	1.379849
51.016187	2.828000	1.312773
52.015675	2.828000	0.886199
53.016154	2.794000	0.840401
54.016987	2.794000	1.095534
55.018146	2.794000	1.214286
56.017861	2.818000	1.452194
57.017680	2.818000	0.834727
58.019641	2.843000	1.017718
59.019506	2.843000	0.820541
60.018768	2.843000	1.245291
61.018816	2.797000	0.980227
62.020366	2.797000	1.296561
63.020577	2.802000	1.420784
64.019946	2.802000	1.714623
65.021359	2.802000	0.525689
66.022200	2.851000	0.699561
67.022065	2.851000	0.810814
68.022141	2.851000	2.007854
69.023637	2.802000	1.273054
70.024593	2.802000	1.159368
71.024639	2.795000	0.346751
72.024380	2.795000	1.309328
73.024745	2.795000	0.911530
74.025075	2.848000	1.083983
75.025488	2.848000	0.962800
76.025038	2.813000	1.574796
77.025608	2.813000	1.197871
78.024771	2.813000	1.012246
79.024793	2.795000	0.787307
80.025205	2.795000	0.720636
81.025599	2.795000	1.719081
82.026610	2.838000	1.802774
83.026483	2.838000	1.469419
84.027331	2.827000	0.583646
85.027771	2.827000	0.403087
86.027912	2.827000	0.877080
87.028490	2.801000	1.441048
88.028402	2.801000	1.629308
89.028018	2.820000	1.337901
90.028138	2.820000	0.900992
91.028243	2.820000	0.969690
92.028208	2.842000	0.620933
93.027848	2.842000	1.318244
94.029442	2.842000	1.381673
95.029674	2.810000	1.895791
96.029643	2.810000	0.949223
97.029960	2.803000	0.755491
98.029758	2.803000	0.515557
99.029655	2.803000	1.357760
100.031510	2.850000	1.244683
101.030824	2.850000	1.503059
102.030866	2.823000	1.103843
103.031057	2.823000	1.135253
104.031094	2.823000	1.304464
105.031360	2.795000	0.711112
106.030743	2.795000	0.665719
107.030919	2.795000	1.297169
108.030834	2.849000	1.585740
109.030939	2.849000	1.476715
110.030683	2.839000	0.760558
111.031210	2.839000	0.664098
112.032528	2.839000	1.120258
113.033096	2.795000	1.500020
114.033367	2.795000	1.489482
115.032993	2.840000	1.183687
116.033557	2.840000	0.895927
117.033010	2.840000	1.080742
118.032850	2.849000	1.104856
119.033469	2.849000	0.466516
120.033605	2.849000	1.040617
121.033385	2.800000	1.495966
122.033405	2.800000	1.853234
123.032650	2.822000	1.192197
124.033278	2.822000	0.374109
125.034323	2.822000	0.550615
126.035168	2.850000	1.305883
127.036530	2.850000	1.961246
128.036486	2.809000	1.763259
129.036479	2.809000	0.590942
130.035770	2.809000	0.572298
131.037435	2.804000	0.557100
132.036989	2.804000	1.303248
133.036911	2.804000	1.446317
