#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 1.5
#V -295
#
#Time	Temp	Current
# s	K	pA	
0.000000	156.112000	-9.563346
0.999871	156.112000	-9.181119
2.000006	156.112000	-8.904279
3.000829	156.086000	-9.340008
4.000794	156.086000	-9.116669
5.001134	156.053000	-9.442152
6.001481	156.053000	-9.106337
7.002406	156.053000	-9.696092
8.001921	156.019000	-9.316295
9.002110	156.019000	-9.162471
10.002060	155.992000	-9.311229
11.001996	155.992000	-8.487802
12.002341	155.992000	-9.252457
13.001983	155.960000	-8.572921
14.001675	155.960000	-9.273536
15.001669	155.960000	-9.736624
16.002059	155.908000	-9.256512
17.002232	155.908000	-10.204380
18.001745	155.883000	-9.267454
19.001801	155.883000	-9.105328
20.001773	155.883000	-9.395740
21.003595	155.839000	-9.164501
22.003409	155.839000	-8.968724
23.002716	155.797000	-9.041079
24.003541	155.797000	-10.020960
25.002776	155.797000	-10.112970
25.450501	155.797000	-9.071883
26.450248	155.768000	-9.179900
28.449888	155.735000	-8.452541
30.451063	155.735000	-9.401416
32.452321	155.696000	-9.642381
34.452592	155.664000	-11.304440
36.452452	155.637000	-11.006110
38.452157	155.637000	-11.353890
40.452162	155.589000	-12.171240
42.452188	155.562000	-12.153000
44.452306	155.533000	-11.337270
46.452250	155.493000	-10.571000
48.451764	155.493000	-11.291260
50.453536	155.457000	-12.274190
52.453072	155.416000	-12.054900
54.453903	155.378000	-10.832230
56.454699	155.378000	-10.718740
58.455422	155.356000	-11.507910
60.454840	155.324000	-12.140630
62.456118	155.288000	-11.243030
64.456529	155.288000	-10.799190
66.457337	155.254000	-11.497780
68.458716	155.219000	-12.191700
70.458871	155.180000	-11.351450
72.459030	155.140000	-11.147170
74.458827	155.140000	-10.938830
76.459651	155.103000	-11.497370
78.459163	155.058000	-11.743200
80.460146	155.021000	-11.406780
82.460376	155.021000	-11.074820
84.460146	154.983000	-10.917950
86.461568	154.934000	-11.964710
88.461537	154.895000	-11.202700
90.461005	154.895000	-11.004900
92.460915	154.861000	-11.552900
94.460965	154.816000	-11.645320
96.460914	154.779000	-12.067670
98.462427	154.750000	-11.606200
100.462253	154.750000	-9.552597
102.462492	154.723000	-10.848230
104.462608	154.699000	-11.844530
106.461778	154.669000	-12.067260
108.462395	154.669000	-11.045420
110.462158	154.634000	-10.592870
112.461851	154.605000	-11.543170
114.462500	154.573000	-11.666790
116.461754	154.573000	-11.181010
118.462609	154.551000	-11.200260
120.461911	154.514000	-11.236740
122.461906	154.485000	-11.623220
124.462168	154.440000	-10.806480
126.461956	154.440000	-11.376580
128.462337	154.403000	-11.646730
130.462162	154.362000	-11.646720
132.462241	154.306000	-11.315780
134.463058	154.306000	-10.716700
136.464505	154.273000	-11.492500
138.465288	154.237000	-11.931880
140.465215	154.193000	-11.625850
142.466621	154.193000	-10.826750
144.465842	154.164000	-11.429270
146.466439	154.131000	-11.503850
148.465851	154.081000	-11.497160
150.467024	154.048000	-11.723540
152.466792	154.048000	-11.781290
154.467562	154.019000	-11.128310
156.467258	153.982000	-11.551680
158.467370	153.953000	-11.705500
160.466687	153.953000	-11.619970
162.468453	153.921000	-11.524720
164.469021	153.876000	-11.756770
166.469032	153.830000	-11.378190
168.469150	153.830000	-12.073740
170.468677	153.798000	-11.476690
172.468702	153.759000	-11.630920
174.469387	153.730000	-11.822430
176.469122	153.694000	-11.199040
178.469002	153.694000	-10.736960
180.469321	153.659000	-11.010160
182.469638	153.621000	-11.807030
184.468787	153.585000	-12.193100
186.468969	153.585000	-11.574980
188.468916	153.545000	-11.236730
190.469134	153.505000	-12.114270
192.469515	153.483000	-11.035280
194.469853	153.483000	-11.601730
196.469972	153.451000	-11.766290
198.470519	153.412000	-11.650570
200.471506	153.388000	-11.617940
202.471426	153.348000	-11.194370
204.471882	153.348000	-11.229230
206.472345	153.308000	-11.383660
208.472325	153.270000	-11.476080
210.471809	153.219000	-11.199640
212.473491	153.219000	-11.667590
214.473623	153.190000	-11.694340
216.472778	153.155000	-11.148160
218.473671	153.118000	-11.019270
220.475476	153.118000	-11.560990
222.476607	153.087000	-11.161940
224.475677	153.067000	-11.265710
226.476115	153.039000	-11.476480
228.475823	153.005000	-11.179370
230.477110	153.005000	-11.349410
232.476667	152.972000	-10.897670
234.477409	152.927000	-11.263480
236.478261	152.891000	-11.326510
238.479352	152.891000	-11.306440
240.480406	152.852000	-11.401080
242.480165	152.816000	-10.941850
244.481642	152.779000	-11.225980
246.481341	152.779000	-11.344340
248.481134	152.752000	-10.684870
250.481186	152.736000	-10.788030
252.481232	152.706000	-11.164170
254.481230	152.677000	-10.896450
256.480819	152.677000	-11.218690
258.482383	152.635000	-11.075200
260.481894	152.595000	-10.766750
262.481750	152.566000	-11.273410
264.482473	152.566000	-12.410350
266.482177	152.511000	-11.054130
268.482358	152.473000	-10.900100
270.482558	152.445000	-10.606030
272.482039	152.445000	-11.090600
274.482744	152.411000	-11.500390
276.483497	152.383000	-11.329950
278.484477	152.358000	-10.647580
280.485385	152.322000	-10.785390
282.485171	152.322000	-11.099320
284.484973	152.286000	-11.457020
286.485223	152.252000	-11.340490
288.485198	152.213000	-10.784980
290.486291	152.213000	-11.527340
292.486211	152.168000	-11.776220
294.487450	152.134000	-11.341910
296.487495	152.089000	-11.197000
298.488567	152.089000	-11.082500
300.489202	152.048000	-10.990280
302.489362	152.019000	-10.971640
304.488677	151.987000	-10.694600
306.490582	151.957000	-11.852620
308.490022	151.957000	-11.332180
310.489845	151.928000	-11.324880
312.491298	151.895000	-11.090400
314.492378	151.867000	-11.484580
316.492029	151.867000	-11.178160
318.492194	151.833000	-10.812950
320.491971	151.795000	-11.499580
322.491677	151.767000	-11.759600
324.492271	151.767000	-11.316370
326.491804	151.736000	-10.810320
328.491819	151.692000	-10.474500
330.491799	151.650000	-11.174910
332.493089	151.617000	-11.908550
334.493197	151.617000	-11.987990
336.493026	151.577000	-11.320630
338.493333	151.553000	-11.130320
340.493461	151.519000	-11.686230
342.494159	151.519000	-12.106160
344.495442	151.483000	-11.927810
346.495026	151.452000	-11.726560
348.494943	151.418000	-12.194110
350.495225	151.418000	-11.971990
352.494992	151.372000	-8.055294
354.495050	151.344000	-7.902077
356.494700	151.316000	-8.740502
358.495327	151.273000	-8.443192
360.494966	151.273000	-7.671042
362.494946	151.231000	-8.038878
364.494715	151.193000	-8.284103
366.495456	151.148000	-8.151966
368.495478	151.148000	-7.862761
370.495277	151.112000	-8.008481
372.496110	151.081000	-8.822582
374.497577	151.049000	-8.260594
376.497623	151.049000	-8.066236
378.496708	151.023000	-8.189255
380.496885	151.001000	-7.896608
382.497624	150.964000	-8.246001
384.498560	150.937000	-7.991859
386.497941	150.937000	-7.739948
388.497666	150.912000	-8.223909
390.498886	150.870000	-8.203644
392.498900	150.832000	-8.832512
394.499065	150.832000	-7.745825
396.499413	150.801000	-7.646924
398.500587	150.757000	-8.424347
400.501327	150.713000	-8.355840
402.501339	150.713000	-8.335173
404.501535	150.678000	-11.412830
406.500946	150.630000	-11.627860
408.502578	150.592000	-11.748040
410.503578	150.558000	-11.433100
412.502862	150.558000	-11.390140
414.503224	150.513000	-11.961650
416.504221	150.471000	-11.643060
418.505253	150.438000	-11.002440
420.504938	150.438000	-10.981360
422.506482	150.390000	-11.603340
424.505797	150.357000	-11.761820
426.506063	150.316000	-12.718190
428.506514	150.316000	-11.338860
430.507322	150.284000	-10.639060
432.507085	150.253000	-11.069520
434.507635	150.220000	-11.383450
436.507150	150.178000	-11.711970
438.507638	150.178000	-11.424990
440.506669	150.151000	-11.383040
442.506677	150.116000	-12.025080
444.507051	150.074000	-11.817150
446.507900	150.074000	-11.213610
448.509232	150.039000	-11.641030
450.510578	150.000000	-11.727570
452.510320	149.963000	-11.828910
454.509911	149.963000	-11.995690
456.510572	149.923000	-11.313120
458.510298	149.892000	-11.795660
460.511286	149.851000	-12.210920
462.512431	149.814000	-12.129860
464.512153	149.814000	-11.810660
466.512418	149.773000	-10.889960
468.512581	149.739000	-11.098500
470.513636	149.708000	-12.161670
472.514253	149.708000	-12.525660
474.514683	149.683000	-11.062220
476.514924	149.644000	-10.566910
478.515381	149.604000	-11.568270
480.515201	149.604000	-12.537820
482.514704	149.576000	-11.759180
484.514771	149.547000	-10.889750
486.515443	149.511000	-10.780720
488.515432	149.479000	-11.252320
490.515474	149.479000	-11.920100
492.515014	149.429000	-11.389110
494.514827	149.393000	-11.513760
496.514841	149.371000	-11.711960
498.516591	149.371000	-11.391750
500.515685	149.338000	-11.278060
502.515675	149.309000	-11.706690
504.516449	149.285000	-11.731010
506.517397	149.285000	-11.973200
508.517258	149.247000	-11.488220
510.516953	149.210000	-11.255150
512.518522	149.186000	-11.669600
514.518937	149.145000	-12.289150
516.519453	149.145000	-11.622180
518.518889	149.113000	-10.988250
520.520346	149.074000	-11.251100
522.520977	149.027000	-11.264480
524.522511	149.027000	-11.542330
526.521680	148.986000	-11.601910
528.522288	148.943000	-11.385270
530.522464	148.898000	-11.631100
532.523595	148.898000	-11.502000
534.523139	148.867000	-11.434310
536.523020	148.830000	-10.566090
538.523568	148.798000	-11.150380
540.523508	148.769000	-11.692700
542.523163	148.769000	-11.414850
544.522990	148.736000	-11.210160
546.523400	148.703000	-11.482540
548.523455	148.668000	-11.400670
550.523607	148.668000	-11.628860
552.523233	148.629000	-11.170440
554.523192	148.581000	-10.601970
556.524449	148.546000	-11.000610
558.524055	148.508000	-11.137410
560.525357	148.508000	-11.044790
562.526031	148.460000	-11.050660
564.527302	148.437000	-11.596440
566.526982	148.409000	-11.076400
568.526814	148.409000	-11.172060
570.527673	148.378000	-10.657490
572.527677	148.352000	-11.039110
574.527761	148.317000	-11.754720
576.527956	148.317000	-11.235290
578.527985	148.280000	-11.345530
580.527973	148.245000	-10.629930
582.527761	148.223000	-11.424170
584.528166	148.223000	-11.335600
586.529570	148.188000	-10.971410
588.529296	148.157000	-10.592030
590.528917	148.131000	-10.981550
592.529141	148.089000	-11.409170
594.528904	148.089000	-11.503810
596.529276	148.051000	-10.291480
598.529274	148.016000	-11.523270
600.530347	147.982000	-12.304540
602.529861	147.982000	-11.734850
604.531604	147.945000	-11.288990
606.532293	147.918000	-11.645280
608.532784	147.879000	-15.368420
610.532999	147.849000	-11.041740
612.533249	147.849000	-11.602510
614.533607	147.814000	-10.853470
616.532965	147.773000	-10.293500
618.533246	147.740000	-11.539290
620.533614	147.740000	-11.208130
622.532878	147.707000	-10.966350
624.533128	147.659000	-10.895010
626.533320	147.628000	-10.583120
