#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
295.000000	-1783.144000	0.813477
294.800000	-1725.327000	6.070865
294.600000	-1636.577000	1.493589
294.400000	-1567.323000	1.002144
294.200000	-1511.508000	2.343709
294.000000	-1464.320000	0.755729
293.800000	-1431.409000	1.043528
293.600000	-1405.601000	1.201580
293.400000	-1382.719000	2.835635
293.200000	-1360.878000	0.819999
293.000000	-1344.214000	0.961364
292.800000	-1328.539000	0.694855
292.600000	-1312.490000	1.072764
292.400000	-1295.737000	0.483685
292.200000	-1280.699000	0.440817
292.000000	-1265.630000	0.854878
291.800000	-1250.110000	1.155638
291.600000	-1231.188000	0.893040
291.400000	-1212.692000	0.746428
291.200000	-1195.430000	0.531520
291.000000	-1180.809000	0.883902
290.800000	-1166.975000	0.287031
290.600000	-1152.759000	1.098039
290.400000	-1137.181000	0.591739
290.200000	-1127.568000	2.938550
290.000000	-1114.431000	0.383228
289.800000	-1094.087000	2.746335
289.600000	-1074.756000	1.883200
289.400000	-1057.135000	0.459779
289.200000	-1037.585000	2.521977
289.000000	-1019.756000	0.486356
288.800000	-1006.198000	0.576398
288.600000	-993.215600	0.421468
288.400000	-980.852000	1.169363
288.200000	-971.439300	0.366683
288.000000	-959.564400	0.367095
287.800000	-947.557400	0.789378
287.600000	-936.243500	0.908632
287.400000	-924.278700	0.308129
287.200000	-909.909900	0.397172
287.000000	-896.218600	0.621115
286.800000	-882.838400	0.666735
286.600000	-868.028000	0.536797
286.400000	-854.689500	0.381500
286.200000	-842.460600	0.433406
286.000000	-830.627000	0.334414
285.800000	-819.691400	0.327012
285.600000	-809.671700	0.385498
285.400000	-802.289100	1.903385
285.200000	-792.894400	0.327323
285.000000	-782.976800	0.225710
284.800000	-773.745400	0.397620
284.600000	-765.120400	0.366852
284.400000	-756.530200	0.220347
284.200000	-747.556100	0.278423
284.000000	-738.826900	0.330617
283.800000	-730.278300	0.235878
283.600000	-721.797900	0.284415
283.400000	-713.863200	0.290802
283.200000	-705.384700	0.379543
283.000000	-697.641200	0.356685
282.800000	-688.941200	0.235281
282.600000	-679.827900	0.301368
282.400000	-669.932900	0.373969
282.200000	-659.539300	0.343440
282.000000	-648.639900	0.255902
281.800000	-636.473700	0.448406
281.600000	-624.769900	0.321279
281.400000	-613.543700	0.336573
281.200000	-602.331700	0.501924
281.000000	-592.069900	0.392747
280.800000	-582.315000	0.420642
280.600000	-572.646400	0.267139
280.400000	-564.336000	0.411815
280.200000	-556.538800	0.399143
280.000000	-548.119700	0.325380
279.800000	-540.782200	0.400766
279.600000	-533.462900	0.288950
279.400000	-525.844600	0.294938
279.200000	-518.237700	0.255361
279.000000	-511.059700	0.461069
278.800000	-503.884900	0.337607
278.600000	-497.225800	0.289747
278.400000	-490.899700	0.311195
278.200000	-483.907200	0.285654
278.000000	-478.055800	0.359460
277.800000	-471.681400	0.319770
277.600000	-465.660100	0.237731
277.400000	-459.326700	0.329587
277.200000	-451.625600	0.366439
277.000000	-445.080100	0.508383
276.800000	-438.622700	0.328308
276.600000	-429.762400	0.445926
276.400000	-422.016700	0.301939
276.200000	-413.754800	0.539882
276.000000	-403.757900	2.656159
275.800000	-393.331100	3.475314
275.600000	-384.630000	0.456384
275.400000	-368.227600	0.793372
275.200000	-356.100500	0.648148
275.000000	-349.739800	0.278471
274.800000	-344.948000	0.346963
274.600000	-339.926200	0.400369
274.400000	-334.643100	0.398828
274.200000	-329.269500	0.248353
274.000000	-323.685600	0.348228
273.800000	-318.133800	0.309546
273.600000	-312.393000	0.322683
273.400000	-306.175700	0.351753
273.200000	-299.790200	0.336568
273.000000	-293.863000	0.280704
272.800000	-288.947500	0.317121
272.600000	-284.102000	0.395259
272.400000	-279.390600	0.376298
272.200000	-275.012500	0.284812
272.000000	-270.686300	0.297151
271.800000	-266.321800	0.335866
271.600000	-261.994000	0.201445
271.400000	-257.978700	0.280561
271.200000	-253.001400	0.298455
271.000000	-248.962700	0.243918
270.800000	-245.670400	0.264615
270.600000	-242.121100	0.277454
270.400000	-239.129400	0.233896
270.200000	-236.041000	0.142807
270.000000	-232.857600	0.246486
269.800000	-230.096100	0.195344
269.600000	-227.061300	0.172614
269.400000	-223.858500	0.150606
269.200000	-220.345200	0.232619
269.000000	-216.761800	0.150895
268.800000	-212.880000	0.157255
268.600000	-208.957700	0.174732
268.400000	-205.453000	0.115542
268.200000	-202.057600	0.208994
268.000000	-198.672100	0.195709
267.800000	-195.750700	0.165317
267.600000	-192.582200	0.148347
267.400000	-189.524700	0.305711
267.200000	-186.579300	0.287725
267.000000	-183.652300	0.199760
266.800000	-180.711300	0.364157
266.600000	-177.602600	0.227152
266.400000	-174.806700	0.225607
266.200000	-171.293900	0.246203
266.000000	-167.277200	0.268083
265.800000	-164.169100	0.311695
265.600000	-160.559600	0.261628
265.400000	-156.946200	0.272026
265.200000	-153.111100	0.258866
265.000000	-147.435600	0.210752
264.800000	-141.357200	0.320438
264.600000	-134.555800	0.263448
264.400000	-128.480500	0.185975
264.200000	-124.232200	0.196344
264.000000	-120.460500	0.232039
263.800000	-117.826700	0.285321
263.600000	-115.458400	0.222261
263.400000	-113.159500	0.285438
263.200000	-111.124300	0.256870
263.000000	-108.912400	0.235894
262.800000	-106.854000	0.294181
262.600000	-104.647300	0.308348
262.400000	-102.326100	0.307868
262.200000	-100.399800	0.310173
262.000000	-97.980030	0.300543
261.800000	-95.828850	0.241655
261.600000	-93.564940	0.316782
261.400000	-91.679210	0.351524
261.200000	-89.897470	0.282132
261.000000	-87.853750	0.389360
260.800000	-86.370490	0.346307
260.600000	-84.515970	0.329688
260.400000	-82.700640	0.320621
260.200000	-81.097390	0.326054
260.000000	-79.340760	0.294364
259.800000	-77.644960	0.280254
259.600000	-75.740480	0.365848
259.400000	-73.540690	0.368396
259.200000	-71.554660	0.354614
259.000000	-69.364520	0.305184
258.800000	-67.267770	0.233186
258.600000	-65.475480	0.262612
258.400000	-63.421040	0.246233
258.200000	-61.787420	0.204173
