#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
270.000000	83.138000	-0.049693	0.236099
275.000000	83.133000	-0.663026	0.257844
280.000000	83.122000	-1.031830	0.222794
285.000000	83.099000	-3.692295	1.134347
290.000000	83.088000	-6.957827	0.214989
295.000000	83.070000	-12.300190	0.621728
300.000000	83.065000	-18.546100	0.714092
305.000000	83.041000	-32.211530	0.777383
310.000000	83.038000	-51.444980	1.390978
315.000000	83.014000	-84.345430	2.794838
320.000000	83.001000	-124.484500	4.279771
325.000000	82.989000	-175.376400	6.256606
330.000000	82.977000	-258.550800	6.439201
335.000000	82.960000	-356.739700	7.971725
340.000000	82.922000	-508.560800	15.493830
345.000000	82.903000	-698.882100	17.617640
350.000000	82.883000	-960.912300	36.389640
350.000000	82.872000	-861.034000	98.264670
345.000000	82.851000	-661.137100	16.061920
340.000000	82.835000	-465.412500	14.771800
335.000000	82.817000	-333.656900	10.300550
330.000000	82.802000	-223.112300	6.073156
325.000000	82.789000	-140.155700	8.185766
320.000000	82.765000	-108.074600	4.306987
315.000000	82.747000	-68.978640	2.245551
310.000000	82.743000	-44.353170	1.815856
305.000000	82.730000	-25.645220	0.580896
300.000000	82.718000	-16.836430	0.616837
295.000000	82.705000	-11.108290	0.438015
290.000000	82.677000	-6.601764	0.327054
285.000000	82.667000	-4.276835	0.127172
280.000000	82.657000	-2.497928	0.347975
275.000000	82.637000	-1.276120	0.170631
270.000000	82.637000	-0.381204	0.281378
