#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
190.000000	0.084025	0.332199
190.250000	0.069702	0.451010
190.500000	0.044205	0.508953
190.750000	0.030385	0.209325
191.000000	0.040802	0.463813
191.250000	0.032815	0.263938
191.500000	0.063259	0.427992
191.750000	0.117829	0.316842
192.000000	0.121533	0.406118
192.250000	0.134296	0.274540
192.500000	0.142389	0.341725
192.750000	0.091145	0.412918
193.000000	0.101935	0.187116
193.250000	0.109149	0.443322
193.500000	0.083189	0.196196
193.750000	0.114673	0.412254
194.000000	0.103302	0.225937
194.250000	0.105950	0.388369
194.500000	0.106260	0.229829
194.750000	0.093729	0.395106
195.000000	0.094170	0.271312
195.250000	0.095799	0.335646
195.500000	0.118491	0.194160
195.750000	0.117212	0.280334
196.000000	0.083637	0.369314
196.250000	0.116427	0.129365
196.500000	0.123157	0.349726
196.750000	0.119678	0.193700
197.000000	0.114942	0.290216
197.250000	0.123188	0.345145
197.500000	0.095065	0.183492
197.750000	0.090276	0.327841
198.000000	0.106536	0.175399
198.250000	0.078241	0.267524
198.500000	0.103693	0.321156
198.750000	0.123124	0.168013
199.000000	0.107430	0.349299
199.250000	0.131606	0.138032
199.500000	0.122702	0.320957
199.750000	0.118677	0.124203
200.000000	0.148065	0.307438
200.250000	0.110120	0.250162
200.500000	0.140835	0.172967
200.750000	0.164134	0.364156
201.000000	0.155197	0.087724
201.250000	0.168694	0.334146
201.500000	0.139012	0.185626
201.750000	0.119167	0.284395
202.000000	0.124561	0.210719
202.250000	0.124576	0.329477
202.500000	0.085959	0.360027
202.750000	0.120307	0.155957
203.000000	0.125751	0.338999
203.250000	0.112799	0.156615
203.500000	0.100197	0.330643
203.750000	0.147007	0.180499
204.000000	0.161236	0.368374
204.250000	0.188867	0.136987
204.500000	0.146880	0.297659
204.750000	0.184531	0.116366
205.000000	0.156863	0.266360
205.250000	0.181499	0.183039
205.500000	0.156721	0.268676
205.750000	0.143102	0.250139
206.000000	0.166564	0.144467
206.250000	0.145360	0.309020
206.500000	0.148042	0.128637
206.750000	0.144693	0.245420
207.000000	0.113539	0.142500
207.250000	0.164450	0.302913
207.500000	0.132559	0.126406
207.750000	0.143539	0.246302
208.000000	0.156228	0.153266
208.250000	0.145487	0.186281
208.500000	0.077736	0.236141
208.750000	0.116778	0.235272
209.000000	0.078512	0.342182
209.250000	0.123361	0.321592
209.500000	0.182943	0.304809
209.750000	0.226147	0.376524
210.000000	0.171179	0.277527
210.250000	0.181759	0.284746
210.500000	0.148321	0.279832
210.750000	0.106798	0.232026
211.000000	0.158880	0.237067
211.250000	0.210405	0.242981
211.500000	0.223375	0.256029
211.750000	0.262215	0.197562
212.000000	0.236610	0.179720
212.250000	0.263372	0.124281
212.500000	0.238871	0.173272
212.750000	0.185747	0.108139
213.000000	0.227359	0.183565
213.250000	0.209678	0.180179
213.500000	0.229275	0.142303
213.750000	0.274556	0.223147
214.000000	0.257767	0.165954
214.250000	0.283758	0.178665
214.500000	0.322950	0.218820
214.750000	0.324145	0.206464
215.000000	0.306088	0.268273
215.250000	0.361889	0.220132
215.500000	0.324895	0.234030
215.750000	0.382742	0.226186
216.000000	0.427376	0.227605
216.250000	0.421670	0.271587
216.500000	0.440811	0.217901
216.750000	0.419664	0.254075
217.000000	0.379722	0.204109
217.250000	0.405855	0.149157
217.500000	0.446598	0.149201
217.750000	0.410141	0.138517
218.000000	0.444034	0.147156
218.250000	0.443143	0.142253
218.500000	0.433851	0.119237
218.750000	0.493096	0.128385
219.000000	0.433081	0.178060
219.250000	0.464056	0.167392
219.500000	0.558004	0.177263
219.750000	0.545247	0.175614
220.000000	0.530798	0.220966
220.250000	0.517140	0.216091
220.500000	0.473428	0.192282
220.750000	0.514414	0.174397
221.000000	0.557599	0.145134
221.250000	0.566303	0.159483
221.500000	0.580954	0.123661
221.750000	0.635801	0.126192
222.000000	0.655488	0.163239
222.250000	0.624189	0.205973
222.500000	0.692411	0.183112
222.750000	0.668863	0.222715
223.000000	0.737906	0.212771
223.250000	0.678742	0.240858
223.500000	0.669309	0.244417
223.750000	0.728452	0.216984
224.000000	0.715807	0.208542
224.250000	0.724399	0.164938
224.500000	0.794809	0.137473
224.750000	0.872363	0.170870
225.000000	0.995827	0.149416
225.250000	1.137489	0.108875
225.500000	1.238965	0.176043
225.750000	1.282828	0.171012
226.000000	1.407143	0.149674
226.250000	1.474362	0.212057
226.500000	1.509015	0.150387
226.750000	1.536707	0.179219
227.000000	1.537072	0.190367
227.250000	1.591665	0.195605
227.500000	1.687964	0.141910
227.750000	1.736235	0.150522
228.000000	1.810932	0.164715
228.250000	1.894393	0.171558
228.500000	1.890543	0.201852
228.750000	2.004047	0.193058
229.000000	2.093009	0.255715
229.250000	2.156064	0.182875
229.500000	2.288079	0.196433
229.750000	2.368024	0.163159
230.000000	2.485165	0.159552
230.250000	2.531227	0.192033
230.500000	2.615346	0.188442
230.750000	2.770576	0.217317
231.000000	2.878861	0.232924
231.250000	2.965585	0.158586
231.500000	3.153319	0.217184
231.750000	3.246051	0.204123
232.000000	3.429652	0.220938
232.250000	3.609472	0.167235
232.500000	3.687876	0.208743
232.750000	3.838718	0.183600
233.000000	3.958260	0.186067
233.250000	4.091055	0.229985
233.500000	4.295568	0.195708
233.750000	4.456056	0.209628
234.000000	4.613170	0.157716
234.250000	4.731983	0.225040
234.500000	4.848710	0.201549
234.750000	5.050042	0.184467
235.000000	5.194043	0.185678
235.250000	5.355291	0.154211
235.500000	5.563866	0.166418
235.750000	5.717313	0.183637
236.000000	5.893851	0.218671
236.250000	6.215565	0.256358
236.500000	6.400199	0.232519
236.750000	6.652516	0.193105
237.000000	6.856311	0.235570
237.250000	6.931302	0.219682
237.500000	7.102855	0.181767
237.750000	7.287984	0.161031
238.000000	7.433811	0.162994
238.250000	7.685815	0.221188
238.500000	7.864206	0.212990
238.750000	8.025596	0.237245
239.000000	8.252166	0.188095
239.250000	8.454165	0.167431
239.500000	8.631969	0.190958
239.750000	8.858215	0.169249
240.000000	8.981559	0.183900
240.250000	9.146292	0.229148
240.500000	9.413472	0.212164
240.750000	9.641951	0.229814
241.000000	9.893043	0.200291
241.250000	10.255330	0.217388
241.500000	10.590870	0.191789
241.750000	11.015360	0.160418
242.000000	11.368440	0.225167
242.250000	11.637590	0.123511
242.500000	11.933710	0.176548
242.750000	12.301420	0.209408
243.000000	12.539600	0.213959
243.250000	12.910200	0.267685
243.500000	13.191930	0.226142
243.750000	13.449120	0.265024
244.000000	13.910280	0.223373
244.250000	14.214960	0.303961
244.500000	14.622480	0.246272
244.750000	14.968060	0.345733
245.000000	15.223510	0.288798
245.250000	15.603070	0.202455
245.500000	16.016620	0.326815
245.750000	16.380410	0.242645
246.000000	16.815430	0.286060
246.250000	17.293860	0.286239
246.500000	17.768390	0.186383
246.750000	18.327680	0.288170
247.000000	18.805860	0.257103
247.250000	19.233710	0.307929
247.500000	19.657560	0.287873
247.750000	20.178570	0.242971
248.000000	20.610000	0.230922
248.250000	21.063570	0.221958
248.500000	21.572550	0.215674
248.750000	22.066060	0.222543
249.000000	22.656820	0.219902
249.250000	23.473500	0.252902
249.500000	24.415700	0.242770
249.750000	25.559110	0.270752
250.000000	26.663470	0.227373
250.250000	27.466750	0.259468
250.500000	28.296830	0.241785
250.750000	28.877880	0.279728
251.000000	29.547510	0.242791
