#t 2.78 
#d 1.5
#N 20
#delay before measurament: 20s
#Voltage	Current	SD
#V	pA	pA
0.000000	0.871293	0.048849
18.000000	0.861019	0.041964
36.000000	0.910911	0.047222
54.000000	0.974014	0.045718
72.000000	1.030744	0.040353
90.000000	1.097728	0.047887
108.000000	1.157448	0.048217
126.000000	1.218758	0.048727
144.000000	1.260756	0.042374
162.000000	1.320394	0.049462
180.000000	1.367509	0.048066
180.000000	1.288761	0.043276
162.000000	1.095448	0.043996
144.000000	0.925662	0.035823
126.000000	0.781754	0.038095
108.000000	0.649073	0.038367
90.000000	0.520900	0.045870
72.000000	0.403336	0.045804
54.000000	0.291152	0.048754
36.000000	0.175786	0.049546
18.000000	0.073609	0.042085
0.000000	-0.027073	0.047555
