#t 2.78 
#d 1.5 
#N 20
#delay before measurament: 60 s first 60 points 20 s the rest
#Voltage	Current	SD
#V	pA	pA
180.000000	0.766901	0.036061
181.000000	0.660735	0.034271
182.000000	0.584308	0.037470
183.000000	0.505905	0.043152
184.000000	0.440288	0.046197
185.000000	0.400681	0.047257
186.000000	0.362199	0.045429
187.000000	0.329411	0.047427
188.000000	0.306725	0.044381
189.000000	0.285711	0.039015
190.000000	0.272509	0.052102
191.000000	0.249113	0.039515
192.000000	0.241413	0.047628
193.000000	0.228819	0.040336
194.000000	0.221088	0.037993
195.000000	0.211239	0.045844
196.000000	0.199628	0.044102
197.000000	0.166191	0.035665
198.000000	0.141154	0.037831
199.000000	0.123311	0.044806
200.000000	0.096905	0.041751
201.000000	0.056697	0.037476
202.000000	0.024920	0.042670
203.000000	-0.018005	0.039595
204.000000	-0.213737	0.041105
205.000000	-0.308199	0.042017
206.000000	-0.427122	0.034377
207.000000	-0.595901	0.055515
208.000000	-0.747685	0.034425
209.000000	-0.968376	0.046777
210.000000	-1.373877	0.043664
211.000000	-1.604792	0.038815
212.000000	-1.819454	0.046731
213.000000	-2.221185	0.037854
214.000000	-2.839250	0.041035
215.000000	-3.138181	0.045579
216.000000	-3.591338	0.046122
217.000000	-4.978362	0.033215
218.000000	-5.632705	0.045704
219.000000	-6.332030	0.045693
220.000000	-6.951677	0.044480
220.000000	-6.943855	0.039896
219.000000	-6.321129	0.045953
218.000000	-5.723016	0.034489
217.000000	-5.102885	0.043232
216.000000	-3.691439	0.038868
215.000000	-3.250189	0.043498
214.000000	-2.894757	0.038965
213.000000	-2.185816	0.037027
212.000000	-1.858098	0.042174
211.000000	-1.640254	0.035576
210.000000	-1.413655	0.049113
209.000000	-1.002499	0.040614
208.000000	-0.776913	0.041203
207.000000	-0.647299	0.046371
206.000000	-0.458233	0.029489
205.000000	-0.377847	0.045713
204.000000	-0.280568	0.035313
203.000000	-0.091877	0.044526
202.000000	-0.050614	0.049952
201.000000	-0.014550	0.038815
200.000000	0.020004	0.036595
199.000000	0.057923	0.032424
198.000000	0.074957	0.038384
197.000000	0.081158	0.037515
196.000000	0.116745	0.043159
195.000000	0.126908	0.032555
194.000000	0.124912	0.032805
193.000000	0.122125	0.041541
192.000000	0.118102	0.042928
191.000000	0.120808	0.045077
190.000000	0.116451	0.045433
189.000000	0.117454	0.034589
188.000000	0.102519	0.033326
187.000000	0.110128	0.041281
186.000000	0.104362	0.038669
185.000000	0.103359	0.045870
184.000000	0.098323	0.038740
183.000000	0.096327	0.035086
182.000000	0.095628	0.036152
181.000000	0.086670	0.038930
180.000000	0.089781	0.039051
