#t 2.78 
#d 1.5 
#N 20
#delay before measurament: 60 s always
#Voltage	Current	SD
#V	pA	pA
150.000000	0.174742	0.053780
151.500000	0.189992	0.050575
153.000000	0.189455	0.054529
154.500000	0.203407	0.059022
156.000000	0.210935	0.063095
157.500000	0.227167	0.062128
159.000000	0.220693	0.057341
160.500000	0.229700	0.062560
162.000000	0.242487	0.058154
163.500000	0.237543	0.058380
165.000000	0.256642	0.055303
166.500000	0.250421	0.064347
168.000000	0.264170	0.071237
169.500000	0.267362	0.077356
171.000000	0.267514	0.070469
172.500000	0.276805	0.072450
174.000000	0.278527	0.059109
175.500000	0.275660	0.056879
177.000000	0.284961	0.063226
178.500000	0.283371	0.057498
180.000000	0.284313	0.067801
181.500000	0.295164	0.085135
183.000000	0.289734	0.080379
184.500000	0.301426	0.080465
186.000000	0.305661	0.086159
187.500000	0.309117	0.069203
189.000000	0.309167	0.063172
190.500000	0.293918	0.071619
192.000000	0.301345	0.074898
193.500000	0.296522	0.065975
195.000000	0.304709	0.063717
196.500000	0.281131	0.072963
198.000000	0.273674	0.073550
199.500000	0.238191	0.080325
201.000000	0.214188	0.068311
202.500000	0.185513	0.073659
204.000000	0.106226	0.057202
205.500000	0.064631	0.069972
207.000000	-0.067799	0.065779
208.500000	-0.158075	0.078439
210.000000	-0.387064	0.066658
211.500000	-0.566076	0.069962
213.000000	-0.900814	0.065122
214.500000	-1.050329	0.086543
216.000000	-1.502490	0.079760
217.500000	-2.157303	0.056420
219.000000	-2.632770	0.059672
220.500000	-3.453676	0.097980
222.000000	-4.028944	0.069180
223.500000	-5.133364	0.102247
225.000000	-6.739548	0.094039
226.500000	-8.844329	0.122049
228.000000	-9.699100	0.154897
229.500000	-12.172430	0.260503
231.000000	-14.585880	0.131505
232.500000	-18.584310	0.255406
234.000000	-23.977450	0.392989
235.500000	-25.905080	0.310006
237.000000	-31.220620	0.738289
238.500000	-37.892560	0.124709
240.000000	-45.603390	0.175291
241.500000	-55.089760	2.023864
243.000000	-69.591480	3.444461
244.500000	-77.491320	0.262629
246.000000	-96.692150	4.929388
247.500000	-109.768800	4.111722
249.000000	-125.420900	3.866938
250.500000	-142.313200	3.086711
252.000000	-162.866300	3.076686
253.500000	-191.777800	4.457775
255.000000	-216.273000	5.893686
256.500000	-247.614700	11.770690
258.000000	-268.633100	7.237158
259.500000	-316.139400	5.601498
261.000000	-376.965200	18.772280
262.500000	-350.261500	18.295860
264.000000	-393.779400	10.499200
265.500000	-611.989300	11.903450
267.000000	-715.738300	5.003283
268.500000	-786.241500	14.831080
270.000000	-887.615500	15.581780
271.500000	-1008.440000	14.412650
273.000000	-717.257100	142.247000
274.500000	-1145.506000	14.930620
276.000000	-813.071900	139.110800
277.500000	-1027.246000	279.945900
279.000000	-1124.047000	249.296100
280.500000	-1668.678000	256.884200
282.000000	-2417.117000	171.694200
283.500000	-2939.830000	63.584730
285.000000	-3237.892000	38.995100
286.500000	-3567.087000	17.203020
288.000000	-3874.554000	85.341010
289.500000	-4288.523000	90.601770
291.000000	-4873.983000	20.986770
292.500000	-5379.023000	45.840640
294.000000	-5215.675000	159.784200
295.500000	-3878.660000	98.286640
297.000000	-4237.940000	35.122320
298.500000	-6122.788000	87.287910
300.000000	-7442.101000	239.306800
