#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -58
#
#Time	Temp	Current
#s	K	pA	
0.000000	2.749000	-1.752833
1.000132	2.749000	0.581616
2.001440	2.749000	-1.720204
3.002245	2.787000	-1.784246
4.001799	2.787000	-0.010729
5.001955	2.739000	-1.199559
6.001572	2.739000	-1.410330
7.003403	2.764000	0.284942
8.003002	2.764000	-1.557261
9.002645	2.764000	-2.255036
10.003298	2.777000	-0.458618
11.002736	2.777000	-0.404304
12.002591	2.736000	-1.913748
13.002848	2.736000	0.191928
14.003026	2.736000	-1.003177
15.003735	2.777000	-2.340154
16.005398	2.777000	-0.659864
17.004710	2.766000	-0.422138
18.005685	2.766000	-1.590093
19.007322	2.735000	-0.519215
20.006873	2.735000	-0.399035
21.006739	2.735000	-1.914356
22.007459	2.786000	-1.132680
23.009435	2.786000	0.367014
24.010322	2.754000	-1.862272
25.009601	2.754000	-0.916032
26.010456	2.754000	0.101547
27.011394	2.739000	-1.071678
28.010950	2.739000	-1.557870
29.011681	2.789000	-0.237714
30.012168	2.789000	-1.039454
31.011680	2.745000	-1.503556
32.011697	2.745000	0.323242
33.011482	2.745000	-0.381403
34.013048	2.749000	-2.481614
35.013378	2.749000	-0.306214
36.014079	2.786000	-0.736268
37.014477	2.786000	-1.692236
38.015254	2.786000	-0.040318
39.015966	2.739000	-0.156040
40.016009	2.739000	-2.202545
41.016991	2.764000	-0.442607
42.017240	2.764000	0.168015
43.016950	2.778000	-1.661229
44.017769	2.778000	-0.884416
45.017896	2.778000	0.256369
46.017766	2.736000	-2.296784
47.017841	2.736000	-0.905087
48.019135	2.778000	0.121812
49.018984	2.778000	-1.415397
50.020350	2.778000	-1.087485
51.020370	2.765000	0.106613
52.019581	2.765000	-1.767425
53.019500	2.735000	-1.792960
54.019883	2.735000	-0.238930
55.019621	2.786000	-1.174834
56.020108	2.786000	-1.851530
57.021243	2.786000	-0.172658
58.021271	2.780000	-1.351962
59.021188	2.780000	-2.095943
60.020647	2.736000	-0.167186
61.020997	2.736000	-0.657635
62.020640	2.736000	-1.621506
63.021027	2.775000	-0.497935
64.020490	2.775000	-0.968724
65.020793	2.768000	-2.023593
66.022377	2.768000	-0.904682
67.021976	2.768000	-0.006271
68.022290	2.735000	-1.789515
69.023361	2.735000	-0.999326
70.022779	2.785000	-0.386266
71.022505	2.785000	-2.281381
72.022669	2.757000	-1.174834
73.024432	2.757000	0.095264
74.023654	2.757000	-1.819307
75.025105	2.737000	-1.519566
76.024835	2.737000	-0.259196
77.024928	2.789000	-1.476399
78.025429	2.789000	-2.095336
79.025755	2.789000	0.088576
80.026789	2.747000	-1.294001
81.027239	2.747000	-1.794581
82.026943	2.747000	0.021292
83.026567	2.747000	-1.136733
84.027968	2.788000	-2.084190
85.027802	2.788000	-0.449701
86.027978	2.788000	-0.439973
87.028102	2.740000	-1.698113
88.027889	2.740000	-0.496922
89.029214	2.761000	-0.874485
90.029414	2.761000	-2.210246
91.029260	2.761000	-0.513742
92.029274	2.780000	-0.099091
93.029237	2.780000	-1.828427
94.029338	2.736000	-0.945823
95.029466	2.736000	-0.503204
96.029599	2.775000	-1.679671
97.029540	2.775000	-1.152743
98.029716	2.775000	-0.017215
99.030240	2.768000	-1.322171
100.031442	2.768000	-1.736214
101.030952	2.734000	-0.287164
102.031192	2.734000	-1.220028
103.031127	2.734000	-1.513689
104.031093	2.785000	0.260827
105.031103	2.785000	-1.273329
106.030713	2.757000	-2.032308
107.031488	2.757000	-0.391333
108.032010	2.737000	-1.082824
109.031861	2.737000	-1.540238
110.033287	2.737000	-0.388901
111.032743	2.790000	-0.674658
112.032579	2.790000	-1.890444
