#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -62
#
#Time	Temp	Current
#s	K	pA	
0.000000	2.748000	-12.288950
0.999687	2.748000	-10.551310
2.000195	2.745000	-11.915240
2.999984	2.745000	-11.890710
3.999514	2.745000	-10.930290
4.999860	2.788000	-12.265240
6.000198	2.788000	-12.412170
7.000201	2.740000	-10.817000
8.000063	2.740000	-11.540910
9.000727	2.740000	-12.541870
10.001158	2.759000	-10.807680
11.002245	2.759000	-11.674880
12.001321	2.781000	-12.562950
13.002214	2.781000	-10.693170
14.002904	2.736000	-11.508280
15.003947	2.736000	-12.717590
16.004023	2.736000	-11.237320
17.003819	2.773000	-11.255360
18.003862	2.773000	-12.574500
19.005159	2.770000	-11.740540
20.005427	2.770000	-10.893000
21.005298	2.770000	-12.383590
22.006018	2.734000	-11.495110
23.007065	2.734000	-10.911230
24.006809	2.783000	-12.547340
25.008133	2.783000	-12.052840
26.007422	2.758000	-10.820440
27.008249	2.758000	-12.012920
28.007624	2.758000	-11.983330
29.008022	2.736000	-10.847800
30.009243	2.736000	-12.094390
31.008541	2.789000	-12.573290
32.009379	2.789000	-10.673110
33.009511	2.789000	-11.442620
34.009706	2.748000	-12.421290
35.011194	2.748000	-11.083100
36.010903	2.744000	-11.595430
37.011059	2.744000	-12.408930
38.010672	2.788000	-10.991900
39.010584	2.788000	-11.143490
40.011035	2.788000	-12.613220
41.011025	2.741000	-11.474040
42.010370	2.741000	-11.045000
43.011254	2.757000	-12.318740
44.011139	2.757000	-11.257390
45.010781	2.757000	-10.959260
46.010685	2.782000	-12.632260
47.011981	2.782000	-11.742570
48.011405	2.736000	-10.836660
49.011608	2.736000	-12.259970
50.013037	2.771000	-11.990020
51.012425	2.771000	-10.699860
52.012979	2.771000	-11.694730
53.012668	2.771000	-12.232200
54.013051	2.771000	-11.013780
55.013263	2.735000	-11.989010
56.012450	2.735000	-12.154780
57.013419	2.735000	-10.920560
58.013335	2.782000	-11.920500
59.014223	2.782000	-12.490190
60.013985	2.760000	-11.190710
61.013838	2.760000	-11.577590
62.013334	2.736000	-12.372850
63.013411	2.736000	-11.370270
64.014264	2.736000	-11.334800
65.014231	2.788000	-12.572060
66.014015	2.788000	-11.707910
67.013515	2.788000	-11.137000
68.014193	2.775000	-12.332720
69.014994	2.775000	-11.589550
70.014946	2.735000	-11.035880
71.014346	2.735000	-12.432030
72.014965	2.735000	-11.901250
73.016127	2.780000	-10.993310
74.017206	2.780000	-12.033190
75.017217	2.763000	-12.128640
76.018240	2.763000	-11.013180
77.018348	2.763000	-11.892130
78.020144	2.761000	-12.130470
79.020071	2.761000	-10.835840
80.021153	2.761000	-11.789780
81.022233	2.810000	-12.443380
82.022004	2.810000	-10.917110
83.021676	2.810000	-11.607790
84.021602	2.902000	-12.358870
85.021511	2.902000	-10.994330
86.021886	2.970000	-11.468970
87.022276	2.970000	-12.455340
88.021379	2.970000	-11.195780
89.022206	3.045000	-11.137410
90.021527	3.045000	-12.558700
91.022695	3.099000	-11.340080
92.022940	3.099000	-11.172270
93.023694	3.099000	-12.251660
94.023539	3.149000	-11.710950
95.024037	3.149000	-11.057760
96.023549	3.149000	-12.232200
97.023319	3.208000	-11.735470
98.024454	3.208000	-10.870100
99.024450	3.251000	-11.939350
100.025108	3.251000	-12.111010
101.026044	3.251000	-10.780520
102.026255	3.293000	-11.821610
103.027011	3.293000	-12.248420
104.026653	3.340000	-10.974880
105.026359	3.340000	-11.633540
106.027786	3.340000	-12.235250
107.027638	3.376000	-11.051080
108.027659	3.376000	-11.135790
109.029184	3.376000	-12.382980
110.028522	3.419000	-11.152810
111.028623	3.419000	-11.293060
112.029097	3.419000	-12.475200
113.028357	3.453000	-11.286980
114.028494	3.453000	-10.930080
115.029112	3.494000	-12.350970
116.028586	3.494000	-11.509100
117.028382	3.494000	-11.124640
118.029278	3.525000	-12.131480
119.028754	3.525000	-11.667380
120.028830	3.556000	-10.914280
121.029182	3.556000	-12.272940
122.029943	3.556000	-11.926180
123.029809	3.592000	-10.923800
124.029498	3.592000	-12.185990
125.030290	3.592000	-12.045150
126.029584	3.620000	-11.086950
127.029871	3.620000	-12.089530
128.030173	3.649000	-11.792420
129.029758	3.649000	-11.092010
130.030036	3.649000	-11.876120
131.030930	3.683000	-12.252670
132.030611	3.683000	-11.112480
133.030613	3.710000	-11.562400
134.030882	3.710000	-12.372040
135.030483	3.710000	-11.266710
136.032310	3.734000	-11.341090
137.032468	3.734000	-12.313680
138.032425	3.734000	-11.427210
139.032473	3.764000	-11.351830
140.034230	3.764000	-12.345900
141.033353	3.790000	-11.679530
142.034034	3.790000	-10.959470
143.034933	3.790000	-12.180520
144.034779	3.813000	-11.868420
145.034423	3.813000	-11.070740
146.034579	3.843000	-12.150120
147.034399	3.843000	-11.828490
148.035126	3.843000	-11.059790
149.034675	3.866000	-12.197350
150.035293	3.866000	-12.130260
151.034534	3.866000	-10.852460
152.034963	3.890000	-11.936310
153.035800	3.890000	-12.238690
154.036006	3.919000	-11.097890
155.035937	3.919000	-11.591370
156.036018	3.919000	-12.418450
157.035884	3.941000	-10.953390
158.036379	3.941000	-11.527540
159.036799	3.963000	-12.322990
160.036935	3.963000	-11.165380
161.037154	3.963000	-11.395600
162.036681	3.990000	-12.248010
163.037241	3.990000	-11.214830
164.036370	3.990000	-11.402900
