#lab INRiM
#s CNTArO2Etching_N1new
#t 2.78 
#d 0.5
#N 20
#dbm 5
#hv keithley6487
#Voltage	Current	SD
#V	pA	pA
0.000000	-0.019428	0.026365
1.000000	-0.022468	0.035536
2.000000	-0.034626	0.009170
3.000000	-0.019530	0.043417
4.000000	-0.059045	0.027941
5.000000	0.016439	0.060181
6.000000	-0.035842	0.028944
7.000000	-0.054384	0.002722
8.000000	0.038730	0.087693
9.000000	-0.033613	0.041554
10.000000	-0.057626	0.005302
11.000000	-0.000684	0.011320
12.000000	-0.014970	0.065053
13.000000	-0.060362	0.014615
14.000000	-0.007169	0.061757
15.000000	-0.019023	0.025792
16.000000	-0.043340	0.006018
17.000000	-0.015274	0.017051
18.000000	-0.013653	0.013039
19.000000	-0.047190	0.046139
20.000000	0.003369	0.020204
21.000000	-0.014970	0.016335
22.000000	-0.015578	0.009170
23.000000	-0.045164	0.039548
24.000000	-0.023684	0.013183
25.000000	-0.043137	0.034389
26.000000	0.005395	0.012180
27.000000	0.013501	0.009600
28.000000	0.045113	0.076946
29.000000	-0.042327	0.017481
30.000000	-0.017199	0.024072
31.000000	0.004686	0.023786
32.000000	-0.014970	0.017481
33.000000	0.001038	0.045279
34.000000	0.005091	0.029517
35.000000	-0.026217	0.047428
36.000000	-0.007169	0.039118
37.000000	0.034778	0.028801
38.000000	-0.017199	0.051870
39.000000	-0.064009	0.007451
40.000000	0.025963	0.007738
41.000000	0.016540	0.046569
42.000000	-0.019935	0.073793
43.000000	-0.001900	0.007308
44.000000	-0.050128	0.058031
45.000000	-0.027534	0.002579
46.000000	0.046835	0.049291
47.000000	-0.040706	0.057029
48.000000	-0.061678	0.050866
49.000000	0.019681	0.004012
50.000000	-0.008182	0.025362
51.000000	-0.006560	0.126523
52.000000	-0.004535	0.083537
53.000000	-0.100279	0.075366
54.000000	-0.124596	0.021205
55.000000	-0.204329	0.002436
56.000000	-0.557811	0.081382
57.000000	-1.379663	0.010316
58.000000	-1.703257	0.049861
59.000000	-3.979561	0.071065
60.000000	-6.959586	0.105167
61.000000	-10.761360	0.058315
62.000000	-17.796740	0.145425
63.000000	-27.669520	0.035117
64.000000	-38.961970	1.968069
65.000000	-61.323090	0.050302
66.000000	-90.575920	0.227246
67.000000	-134.548000	2.089881
68.000000	-195.268200	1.573233
69.000000	-272.009400	0.399118
70.000000	-397.677900	3.583657
71.000000	-517.777800	6.987814
72.000000	-722.435200	9.226884
73.000000	-1018.976000	3.568663
74.000000	-1348.850000	1.341173
75.000000	-1673.543000	0.694530
76.000000	-2169.453000	3.674487
77.000000	-2881.918000	6.207518
78.000000	-3640.694000	9.854843
79.000000	-4572.445000	3.897598
80.000000	-5670.689000	6.016280
81.000000	-7000.157000	0.824298
82.000000	-8609.760000	7.399532
83.000000	-10556.850000	1.210227
84.000000	-12810.060000	6.358246
85.000000	-15487.710000	9.122865
85.000000	-15493.480000	3.679041
84.000000	-12784.450000	7.471128
83.000000	-10516.000000	3.626285
82.000000	-8588.790000	5.056326
81.000000	-6989.048000	0.804201
80.000000	-5652.594000	5.303458
79.000000	-4538.914000	7.814664
78.000000	-3601.036000	1.774833
77.000000	-2822.642000	3.322002
76.000000	-2192.947000	8.745572
75.000000	-1683.595000	0.082822
74.000000	-1277.772000	0.422904
73.000000	-963.354400	0.336942
72.000000	-695.850300	1.272207
71.000000	-518.606400	1.339250
70.000000	-379.616900	1.429628
69.000000	-266.074500	2.539801
68.000000	-189.422200	2.973785
67.000000	-130.451000	0.005564
66.000000	-83.014970	0.586297
65.000000	-54.933030	0.914125
64.000000	-37.374490	0.047576
63.000000	-22.950990	0.007167
62.000000	-14.566240	0.029657
61.000000	-9.070016	0.026505
60.000000	-5.457097	0.071066
59.000000	-3.378360	0.127230
58.000000	-1.380976	0.015330
57.000000	-0.771782	0.073645
56.000000	-0.442920	0.008883
55.000000	-0.154685	0.007307
54.000000	-0.085386	0.053158
53.000000	-0.172516	0.051437
52.000000	-0.030777	0.021493
51.000000	-0.027332	0.041267
50.000000	-0.039895	0.077661
49.000000	-0.006257	0.044419
48.000000	-0.037666	0.072503
47.000000	-0.030067	0.086115
46.000000	0.051596	0.011606
45.000000	-0.108486	0.052870
44.000000	-0.056714	0.036968
43.000000	0.012892	0.048574
42.000000	-0.050534	0.020777
41.000000	0.008130	0.077089
40.000000	-0.000786	0.073650
39.000000	-0.058032	0.016191
38.000000	0.013399	0.003152
37.000000	-0.041415	0.069207
36.000000	-0.080727	0.003869
35.000000	0.013297	0.004442
34.000000	-0.059449	0.069206
33.000000	-0.044961	0.055309
32.000000	-0.007980	0.033099
31.000000	-0.064212	0.023499
30.000000	-0.022063	0.031523
29.000000	0.011777	0.038114
28.000000	-0.068062	0.031523
27.000000	-0.017200	0.071357
26.000000	-0.001090	0.030807
25.000000	-0.044556	0.035822
24.000000	-0.036754	0.062043
23.000000	-0.068568	0.028227
22.000000	-0.039186	0.033386
21.000000	-0.018010	0.026938
20.000000	-0.055498	0.060753
19.000000	-0.060665	0.063761
18.000000	-0.010412	0.087835
17.000000	-0.104636	0.054876
16.000000	0.007623	0.071214
15.000000	-0.007777	0.057745
14.000000	-0.060261	0.023642
13.000000	0.052812	0.041983
12.000000	-0.068567	0.078089
11.000000	-0.076674	0.002436
10.000000	0.025557	0.010890
9.000000	-0.086805	0.030232
8.000000	-0.062084	0.056024
7.000000	-0.014059	0.006161
6.000000	-0.062490	0.029660
5.000000	-0.012438	0.008454
4.000000	-0.034424	0.063333
3.000000	-0.116288	0.016334
2.000000	0.004685	0.010603
1.000000	-0.002813	0.022066
0.000000	-0.062388	0.004012
