#lab INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#N 20
#hv keithley6487
#dbm 5
#Kepco acceso con FAA a 30 mK
#Voltage	Current	SD
#V	pA	pA
85.000000	-15586.290000	23.307180
84.000000	-12902.600000	9.476284
83.000000	-10644.100000	5.916773
82.000000	-8706.182000	13.686420
81.000000	-7110.395000	8.510620
80.000000	-5728.316000	14.670570
79.000000	-4599.211000	4.822147
78.000000	-3653.515000	3.032695
77.000000	-2849.228000	22.385420
76.000000	-2247.708000	1.642175
75.000000	-1731.252000	2.496305
74.000000	-1303.634000	2.658966
73.000000	-962.768100	1.671173
72.000000	-714.993800	1.443332
71.000000	-530.287600	2.226754
70.000000	-391.035600	3.570340
69.000000	-270.807500	4.202402
68.000000	-181.912700	9.940936
67.000000	-122.176800	4.301145
66.000000	-83.232770	1.324494
65.000000	-51.679500	0.813137
64.000000	-32.914660	0.572392
63.000000	-20.102430	0.221280
62.000000	-12.875890	0.255364
61.000000	-7.959348	0.089746
60.000000	-4.814938	0.073771
59.000000	-2.811523	0.065981
58.000000	-1.552907	0.069695
57.000000	-0.895419	0.062953
56.000000	-0.496811	0.059956
55.000000	-0.256907	0.063960
54.000000	-0.117502	0.057834
53.000000	-0.052307	0.066907
52.000000	-0.039125	0.057889
51.000000	-0.022155	0.076659
50.000000	-0.015600	0.057500
49.000000	0.003509	0.063970
48.000000	-0.011294	0.062689
47.000000	-0.016765	0.061598
46.000000	-0.014131	0.050607
45.000000	-0.001172	0.065370
44.000000	-0.020686	0.052928
43.000000	-0.023776	0.080240
42.000000	-0.006471	0.051889
41.000000	0.008787	0.073909
40.000000	-0.005539	0.057655
39.000000	-0.015153	0.084160
38.000000	-0.013128	0.049442
37.000000	-0.021000	0.073888
36.000000	-0.012935	0.052170
35.000000	-0.009511	0.070164
34.000000	-0.017596	0.057884
33.000000	-0.010514	0.068425
32.000000	-0.019734	0.052178
31.000000	-0.019784	0.064850
30.000000	-0.025337	0.039148
29.000000	-0.013857	0.064947
28.000000	-0.011132	0.046920
27.000000	-0.024090	0.062655
26.000000	-0.017829	0.039113
25.000000	-0.015985	0.055976
24.000000	-0.018893	0.048438
23.000000	-0.007687	0.050767
22.000000	-0.017748	0.055365
21.000000	-0.021669	0.062476
20.000000	-0.029096	0.044674
19.000000	-0.017789	0.049827
18.000000	-0.026066	0.052198
17.000000	-0.028609	0.055212
16.000000	-0.014556	0.054250
15.000000	-0.021578	0.055341
14.000000	-0.025823	0.056828
13.000000	-0.022023	0.046273
12.000000	-0.025286	0.045805
11.000000	-0.017292	0.050277
10.000000	-0.030605	0.039329
9.000000	-0.024962	0.039136
8.000000	-0.021102	0.050964
7.000000	-0.023614	0.037744
6.000000	-0.027221	0.040539
5.000000	-0.031335	0.037647
4.000000	-0.022551	0.036671
3.000000	-0.028721	0.031696
2.000000	-0.037383	0.044086
1.000000	-0.038467	0.043091
0.000000	-0.027951	0.046395
