#lab INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#N 20
#dbm 5
#hv keithley6487
#Kepco spento
#Voltage	Current	SD
#V	pA	pA
85.000000	-15467.660000	10.466410
84.000000	-12819.870000	6.886938
83.000000	-10568.460000	13.048470
82.000000	-8643.191000	4.396883
81.000000	-7050.247000	7.839924
80.000000	-5715.948000	11.311900
79.000000	-4571.656000	6.273231
78.000000	-3635.489000	2.961155
77.000000	-2778.474000	2.569412
76.000000	-2162.804000	2.263493
75.000000	-1655.948000	2.627463
74.000000	-1246.377000	2.548777
73.000000	-921.973800	2.727120
72.000000	-676.877100	3.330912
71.000000	-500.428400	5.601610
70.000000	-387.843700	2.945338
69.000000	-267.864100	3.622286
68.000000	-193.026200	4.641694
67.000000	-138.690800	1.796676
66.000000	-85.142770	0.608580
65.000000	-56.730080	0.183013
64.000000	-36.995200	0.084256
63.000000	-22.776590	0.099806
62.000000	-14.856010	0.079176
61.000000	-8.828162	0.079175
60.000000	-5.522460	0.093645
59.000000	-3.377736	0.071671
58.000000	-1.880103	0.075926
57.000000	-1.048861	0.063348
56.000000	-0.592173	0.062996
55.000000	-0.286316	0.058166
54.000000	-0.151958	0.070485
53.000000	-0.073826	0.063676
52.000000	-0.036248	0.062864
51.000000	-0.029997	0.056504
50.000000	-0.021952	0.064591
49.000000	-0.015448	0.054159
48.000000	-0.016340	0.065503
47.000000	-0.019187	0.058564
46.000000	-0.014901	0.061520
45.000000	-0.009247	0.069131
44.000000	-0.028538	0.055304
43.000000	-0.013635	0.053788
42.000000	-0.020747	0.055145
41.000000	-0.013199	0.059801
40.000000	-0.015925	0.044848
39.000000	-0.044141	0.057840
38.000000	-0.023179	0.050978
37.000000	-0.020362	0.063012
36.000000	-0.025722	0.050052
35.000000	-0.022601	0.059019
34.000000	-0.024476	0.058459
33.000000	-0.023777	0.053552
32.000000	-0.026492	0.056589
31.000000	-0.024881	0.046932
30.000000	-0.015418	0.051458
29.000000	-0.031243	0.052325
28.000000	-0.025012	0.057205
27.000000	-0.016441	0.053743
26.000000	-0.027495	0.048091
25.000000	-0.021183	0.042736
24.000000	-0.027505	0.054779
23.000000	-0.024445	0.050339
22.000000	-0.023655	0.048628
21.000000	-0.026320	0.043419
20.000000	-0.023260	0.052643
19.000000	-0.021993	0.045454
18.000000	-0.022703	0.043050
17.000000	-0.025853	0.051756
16.000000	-0.030210	0.043236
15.000000	-0.032966	0.038317
14.000000	-0.032267	0.046029
13.000000	-0.040534	0.044761
12.000000	-0.029349	0.049746
11.000000	-0.032854	0.045735
10.000000	-0.030382	0.047587
9.000000	-0.029379	0.044334
8.000000	-0.040808	0.047839
7.000000	-0.035600	0.039828
6.000000	-0.034790	0.041713
5.000000	-0.034769	0.038693
4.000000	-0.036704	0.054104
3.000000	-0.039430	0.044415
2.000000	-0.037677	0.047830
1.000000	-0.034800	0.049273
0.000000	-0.037951	0.045957
