#lab INRiM
#s CNTArO2Etching_N1new
#t 2p78
#d 0.5
#N 20
#dbm 5
#hv keithley6487
#Voltage	Current	SD
#V	pA	pA
0.000000	-0.019428	0.026365
1.000000	-0.022468	0.035536
2.000000	-0.034626	0.009170
3.000000	-0.019530	0.043417
4.000000	-0.059045	0.027941
5.000000	0.016439	0.060181
6.000000	-0.035842	0.028944
7.000000	-0.054384	0.002722
8.000000	0.038730	0.087693
9.000000	-0.033613	0.041554
10.000000	-0.057626	0.005302
11.000000	-0.000684	0.011320
12.000000	-0.014970	0.065053
13.000000	-0.060362	0.014615
14.000000	-0.007169	0.061757
15.000000	-0.019023	0.025792
16.000000	-0.043340	0.006018
17.000000	-0.015274	0.017051
18.000000	-0.013653	0.013039
19.000000	-0.047190	0.046139
20.000000	0.003369	0.020204
21.000000	-0.014970	0.016335
22.000000	-0.015578	0.009170
23.000000	-0.045164	0.039548
24.000000	-0.023684	0.013183
25.000000	-0.043137	0.034389
26.000000	0.005395	0.012180
27.000000	0.013501	0.009600
28.000000	0.045113	0.076946
29.000000	-0.042327	0.017481
30.000000	-0.017199	0.024072
31.000000	0.004686	0.023786
32.000000	-0.014970	0.017481
33.000000	0.001038	0.045279
34.000000	0.005091	0.029517
35.000000	-0.026217	0.047428
36.000000	-0.007169	0.039118
37.000000	0.034778	0.028801
38.000000	-0.017199	0.051870
39.000000	-0.064009	0.007451
40.000000	0.025963	0.007738
41.000000	0.016540	0.046569
42.000000	-0.019935	0.073793
43.000000	-0.001900	0.007308
44.000000	-0.050128	0.058031
45.000000	-0.027534	0.002579
46.000000	0.046835	0.049291
47.000000	-0.040706	0.057029
48.000000	-0.061678	0.050866
49.000000	0.019681	0.004012
50.000000	-0.008182	0.025362
51.000000	-0.006560	0.126523
52.000000	-0.004535	0.083537
53.000000	-0.100279	0.075366
54.000000	-0.124596	0.021205
55.000000	-0.204329	0.002436
56.000000	-0.557811	0.081382
57.000000	-1.379663	0.010316
58.000000	-1.703257	0.049861
59.000000	-3.979561	0.071065
60.000000	-6.959586	0.105167
61.000000	-10.761360	0.058315
62.000000	-17.796740	0.145425
63.000000	-27.669520	0.035117
64.000000	-38.961970	1.968069
65.000000	-61.323090	0.050302
66.000000	-90.575920	0.227246
67.000000	-134.548000	2.089881
68.000000	-195.268200	1.573233
69.000000	-272.009400	0.399118
70.000000	-397.677900	3.583657
71.000000	-517.777800	6.987814
72.000000	-722.435200	9.226884
73.000000	-1018.976000	3.568663
74.000000	-1348.850000	1.341173
75.000000	-1673.543000	0.694530
76.000000	-2169.453000	3.674487
77.000000	-2881.918000	6.207518
78.000000	-3640.694000	9.854843
79.000000	-4572.445000	3.897598
80.000000	-5670.689000	6.016280
81.000000	-7000.157000	0.824298
82.000000	-8609.760000	7.399532
83.000000	-10556.850000	1.210227
84.000000	-12810.060000	6.358246
85.000000	-15487.710000	9.122865
