#lab INRiM
#s CNTArO2Etching_N1new
#t 2p78 
#d 0.5
#N 20
#dbm 5
#hv keithley6487
#Voltage	Current	SD
#V	pA	pA
85.000000	-15493.480000	3.679041
84.000000	-12784.450000	7.471128
83.000000	-10516.000000	3.626285
82.000000	-8588.790000	5.056326
81.000000	-6989.048000	0.804201
80.000000	-5652.594000	5.303458
79.000000	-4538.914000	7.814664
78.000000	-3601.036000	1.774833
77.000000	-2822.642000	3.322002
76.000000	-2192.947000	8.745572
75.000000	-1683.595000	0.082822
74.000000	-1277.772000	0.422904
73.000000	-963.354400	0.336942
72.000000	-695.850300	1.272207
71.000000	-518.606400	1.339250
70.000000	-379.616900	1.429628
69.000000	-266.074500	2.539801
68.000000	-189.422200	2.973785
67.000000	-130.451000	0.005564
66.000000	-83.014970	0.586297
65.000000	-54.933030	0.914125
64.000000	-37.374490	0.047576
63.000000	-22.950990	0.007167
62.000000	-14.566240	0.029657
61.000000	-9.070016	0.026505
60.000000	-5.457097	0.071066
59.000000	-3.378360	0.127230
58.000000	-1.380976	0.015330
57.000000	-0.771782	0.073645
56.000000	-0.442920	0.008883
55.000000	-0.154685	0.007307
54.000000	-0.085386	0.053158
53.000000	-0.172516	0.051437
52.000000	-0.030777	0.021493
51.000000	-0.027332	0.041267
50.000000	-0.039895	0.077661
49.000000	-0.006257	0.044419
48.000000	-0.037666	0.072503
47.000000	-0.030067	0.086115
46.000000	0.051596	0.011606
45.000000	-0.108486	0.052870
44.000000	-0.056714	0.036968
43.000000	0.012892	0.048574
42.000000	-0.050534	0.020777
41.000000	0.008130	0.077089
40.000000	-0.000786	0.073650
39.000000	-0.058032	0.016191
38.000000	0.013399	0.003152
37.000000	-0.041415	0.069207
36.000000	-0.080727	0.003869
35.000000	0.013297	0.004442
34.000000	-0.059449	0.069206
33.000000	-0.044961	0.055309
32.000000	-0.007980	0.033099
31.000000	-0.064212	0.023499
30.000000	-0.022063	0.031523
29.000000	0.011777	0.038114
28.000000	-0.068062	0.031523
27.000000	-0.017200	0.071357
26.000000	-0.001090	0.030807
25.000000	-0.044556	0.035822
24.000000	-0.036754	0.062043
23.000000	-0.068568	0.028227
22.000000	-0.039186	0.033386
21.000000	-0.018010	0.026938
20.000000	-0.055498	0.060753
19.000000	-0.060665	0.063761
18.000000	-0.010412	0.087835
17.000000	-0.104636	0.054876
16.000000	0.007623	0.071214
15.000000	-0.007777	0.057745
14.000000	-0.060261	0.023642
13.000000	0.052812	0.041983
12.000000	-0.068567	0.078089
11.000000	-0.076674	0.002436
10.000000	0.025557	0.010890
9.000000	-0.086805	0.030232
8.000000	-0.062084	0.056024
7.000000	-0.014059	0.006161
6.000000	-0.062490	0.029660
5.000000	-0.012438	0.008454
4.000000	-0.034424	0.063333
3.000000	-0.116288	0.016334
2.000000	0.004685	0.010603
1.000000	-0.002813	0.022066
0.000000	-0.062388	0.004012
