#lab INRiM
#s CNTArO2Etching_N1new
#hv keithley6487
#t 2.7
#d 0.5
#N 20
#dbm 5
#UPS On, Kepco on FAA 30 mK
#Voltage	Current	SD
#V	pA	pA
0.000000	-0.122770	0.036151
1.000000	-0.114430	0.038676
2.000000	-0.107002	0.047042
3.000000	-0.103851	0.045913
4.000000	-0.102027	0.039816
5.000000	-0.101865	0.042829
6.000000	-0.109758	0.048391
7.000000	-0.097983	0.047777
8.000000	-0.098044	0.050652
9.000000	-0.101256	0.054814
10.000000	-0.100699	0.036678
11.000000	-0.095268	0.048486
12.000000	-0.097122	0.053170
13.000000	-0.088174	0.054489
14.000000	-0.087941	0.047382
15.000000	-0.076936	0.054468
16.000000	-0.088032	0.045625
17.000000	-0.089573	0.043149
18.000000	-0.083614	0.049806
19.000000	-0.078243	0.051489
20.000000	-0.092754	0.040207
21.000000	-0.075953	0.050183
22.000000	-0.074717	0.050714
23.000000	-0.068880	0.054567
24.000000	-0.082459	0.054759
25.000000	-0.082418	0.051245
26.000000	-0.076744	0.049007
27.000000	-0.091295	0.045981
28.000000	-0.084354	0.057778
29.000000	-0.077534	0.041406
30.000000	-0.068059	0.059574
31.000000	-0.073207	0.046377
32.000000	-0.066671	0.058217
33.000000	-0.066530	0.048086
34.000000	-0.073156	0.057859
35.000000	-0.070046	0.045539
36.000000	-0.064685	0.057305
37.000000	-0.073997	0.054963
38.000000	-0.058048	0.056696
39.000000	-0.065283	0.049299
40.000000	-0.069934	0.057719
41.000000	-0.060591	0.057773
42.000000	-0.068404	0.050620
43.000000	-0.055515	0.050837
44.000000	-0.052373	0.061138
45.000000	-0.053295	0.062157
46.000000	-0.056264	0.075349
47.000000	-0.064513	0.046696
48.000000	-0.042767	0.066567
49.000000	-0.058939	0.063893
50.000000	-0.061037	0.071129
51.000000	-0.051978	0.069460
52.000000	-0.074331	0.076263
53.000000	-0.104396	0.073224
54.000000	-0.242770	0.071898
55.000000	-0.391336	0.072717
56.000000	-0.757249	0.068954
57.000000	-1.324752	0.057294
58.000000	-2.303561	0.083605
59.000000	-3.856236	0.137542
60.000000	-6.688020	0.064563
61.000000	-10.482770	0.072901
62.000000	-16.473390	0.097511
63.000000	-24.231380	0.421493
64.000000	-37.394640	0.790797
65.000000	-58.236180	0.616327
66.000000	-98.885060	0.768045
67.000000	-132.137400	2.650797
68.000000	-189.962400	5.106296
69.000000	-277.397300	6.736182
70.000000	-414.623900	3.100315
71.000000	-559.715300	2.080100
72.000000	-724.286100	3.922716
73.000000	-963.779100	2.665488
74.000000	-1284.991000	3.044761
75.000000	-1765.705000	2.115352
76.000000	-2288.798000	3.940469
77.000000	-2906.259000	3.054906
78.000000	-3722.688000	4.446075
79.000000	-4676.773000	4.523830
80.000000	-5829.895000	10.483310
81.000000	-7065.819000	16.862670
82.000000	-8683.328000	11.787430
83.000000	-10589.910000	29.378190
84.000000	-12820.080000	16.738960
85.000000	-15831.190000	23.607970
