#LAB: INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#N 20
#dbm 10
#
#Voltage	Current	SD
#V	pA	pA
45.000000	0.187597	0.060911
45.200000	0.174464	0.069477
45.400000	0.177170	0.069363
45.600000	0.157409	0.069716
45.800000	0.152384	0.054042
46.000000	0.158464	0.049467
46.200000	0.143335	0.052111
46.400000	0.159437	0.057781
46.600000	0.159112	0.053182
46.800000	0.153002	0.059758
47.000000	0.150651	0.055159
47.200000	0.150236	0.062689
47.400000	0.149871	0.056924
47.600000	0.143537	0.053693
47.800000	0.156548	0.052433
48.000000	0.154340	0.054068
48.200000	0.161220	0.064735
48.400000	0.155383	0.053798
48.600000	0.145533	0.065014
48.800000	0.157480	0.062346
49.000000	0.149080	0.058350
49.200000	0.158200	0.053569
49.400000	0.143932	0.058907
49.600000	0.154866	0.061380
49.800000	0.134427	0.061094
50.000000	0.122551	0.060198
50.200000	0.147448	0.068402
50.400000	0.140173	0.058477
50.600000	0.143537	0.055168
50.800000	0.133394	0.048876
51.000000	0.149738	0.071650
51.200000	0.121253	0.073427
51.400000	0.130028	0.082641
51.600000	0.129097	0.066905
51.800000	0.125550	0.065227
52.000000	0.128013	0.061526
52.200000	0.102547	0.057985
52.400000	0.104908	0.084546
52.600000	0.091066	0.070560
52.800000	0.088989	0.050642
53.000000	0.063523	0.064038
53.200000	0.044908	0.060928
53.400000	0.025390	0.071800
53.600000	0.019756	0.074416
53.800000	-0.002174	0.063254
54.000000	-0.009005	0.070837
54.200000	-0.085120	0.060342
54.400000	-0.108448	0.074520
54.600000	-0.133782	0.078442
54.800000	-0.183590	0.067873
55.000000	-0.247717	0.064647
55.200000	-0.322677	0.069519
55.400000	-0.360102	0.081004
55.600000	-0.433491	0.076851
55.800000	-0.500303	0.070618
56.000000	-0.618058	0.059537
56.200000	-0.679935	0.070930
56.400000	-0.835672	0.073330
56.600000	-0.930251	0.076511
56.800000	-1.093344	0.078526
57.000000	-1.289362	0.072540
57.200000	-1.462772	0.057604
57.400000	-1.589353	0.074538
57.600000	-1.873009	0.071618
57.800000	-2.066017	0.079038
58.000000	-2.357434	0.069306
58.000000	-2.347270	0.060896
57.800000	-2.049548	0.063198
57.600000	-1.852667	0.055060
57.400000	-1.551237	0.068547
57.200000	-1.471007	0.071743
57.000000	-1.293199	0.068788
56.800000	-1.090178	0.058627
56.600000	-0.945822	0.051188
56.400000	-0.825300	0.064037
56.200000	-0.678320	0.060395
56.000000	-0.601141	0.071520
55.800000	-0.465753	0.076619
55.600000	-0.424042	0.062515
55.400000	-0.362115	0.053876
55.200000	-0.326039	0.069396
55.000000	-0.252143	0.080591
54.800000	-0.171468	0.079178
54.600000	-0.113928	0.076111
54.400000	-0.110270	0.069603
54.200000	-0.080264	0.062148
54.000000	-0.017992	0.056000
53.800000	-0.013421	0.065743
53.600000	0.008417	0.074916
53.400000	0.035271	0.069444
53.200000	0.058517	0.071037
53.000000	0.073151	0.064014
52.800000	0.087175	0.066351
52.600000	0.088806	0.069568
52.400000	0.092089	0.075538
52.200000	0.094795	0.079927
52.000000	0.117747	0.072341
51.800000	0.139260	0.063836
51.600000	0.126574	0.049628
51.400000	0.134112	0.060724
51.200000	0.127334	0.054994
51.000000	0.132228	0.058984
50.800000	0.142776	0.066249
50.600000	0.149535	0.059886
50.400000	0.156051	0.053471
50.200000	0.147427	0.059718
50.000000	0.148512	0.056860
49.800000	0.157561	0.049057
49.600000	0.145350	0.061719
49.400000	0.145279	0.068258
49.200000	0.154611	0.063045
49.000000	0.157266	0.062458
48.800000	0.160346	0.067521
48.600000	0.152605	0.061247
48.400000	0.158391	0.060353
48.200000	0.151815	0.051191
48.000000	0.143810	0.063912
47.800000	0.158797	0.065236
47.600000	0.149180	0.059109
47.400000	0.151106	0.052961
47.200000	0.161147	0.059529
47.000000	0.151359	0.054041
46.800000	0.153446	0.060866
46.600000	0.160793	0.059795
46.400000	0.145178	0.061204
46.200000	0.153862	0.060211
46.000000	0.151055	0.073008
45.800000	0.157094	0.069535
45.600000	0.157520	0.062438
45.400000	0.149210	0.064719
45.200000	0.150791	0.061640
45.000000	0.151936	0.070419
