#LAB: INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -62
#
#Time	Current
1.037597	-11.209760
2.037265	-10.886090
3.037745	-11.681970
4.037482	-11.499160
5.037425	-10.827110
6.037573	-11.529760
7.037489	-11.601710
8.038266	-10.901700
9.039674	-11.247850
10.040124	-11.648530
11.040756	-11.279670
12.040410	-11.384850
13.040704	-11.738920
14.040608	-11.069710
15.039924	-11.238930
16.040751	-11.784520
17.039974	-11.307850
18.040783	-11.143480
19.040189	-11.552460
20.039981	-11.148950
21.039927	-11.139220
22.040884	-11.956990
23.041186	-11.637580
24.040889	-10.967970
