#lab INRiM MiCb 30 mK 
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -15
#
#Time	Temp	Current
# s	K	pA	
0.000000	0.071068	-53.496380
0.999427	0.070988	1.281566
1.999382	0.070988	-77.537280
2.999813	0.071106	94.561200
3.999238	0.071106	72.393920
4.999665	0.071106	35.289920
6.001097	0.071000	4.523526
7.000551	0.071000	7.851609
8.001948	0.071080	75.916950
9.001407	0.071080	-53.193820
10.001822	0.071080	-35.822480
11.001233	0.070994	43.155690
12.001691	0.070994	8.591073
13.003088	0.070968	-26.885700
14.002543	0.070968	-22.659900
15.003974	0.071040	13.295340
16.003403	0.071040	0.579391
17.004857	0.071040	-3.296153
18.004255	0.070993	25.128350
19.004683	0.070993	27.876050
20.006139	0.071074	-4.331781
21.005539	0.071074	16.668820
22.005999	0.071074	-8.379230
23.005395	0.071037	-0.610015
24.006822	0.071037	16.580470
25.006251	0.070976	34.976430
26.006679	0.070976	20.668880
27.008106	0.071048	-11.534330
28.007534	0.071048	36.278640
29.008025	0.071048	31.765270
