#lab INRiM MiCb 30 mK 
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V 15
#
#Time	Temp	Current
# s	K	pA	
0.000000	0.071318	17.343630
0.999997	0.071227	25.310330
2.000662	0.071227	-54.179380
3.000801	0.071227	67.840820
4.001118	0.071286	10.390580
5.002896	0.071286	-32.180550
6.002644	0.071329	28.767490
7.002061	0.071329	30.484930
8.002906	0.071319	-27.647920
9.001957	0.071319	47.708380
10.002131	0.071319	54.271130
11.002426	0.071352	-54.515590
12.002387	0.071352	-13.270570
13.003714	0.071430	57.345490
14.003619	0.071430	-42.482500
15.003101	0.071430	-19.999300
16.003772	0.071478	51.654120
17.003460	0.071478	29.201970
18.003108	0.071487	-5.556490
19.003236	0.071487	-23.345120
20.003230	0.071550	49.579630
21.003389	0.071550	-42.417220
22.003132	0.071550	-55.199380
23.003822	0.071618	48.467700
24.003091	0.071618	-3.887938
25.002958	0.071692	-25.087650
26.003423	0.071692	-24.489980
27.004918	0.071692	-26.876380
28.004094	0.071743	-21.785590
29.004045	0.071743	-3.522531
30.004552	0.071689	52.860890
31.004325	0.071689	64.763840
32.004580	0.071817	-38.535140
33.005666	0.071817	30.285930
34.006716	0.071817	67.342290
35.006446	0.071806	27.173460
36.006269	0.071806	-41.784700
37.006666	0.071871	-19.753660
38.006437	0.071871	95.629920
39.006130	0.071871	-52.546690
40.006690	0.071873	-8.816582
41.005954	0.071873	43.366230
42.006209	0.071930	-13.818180
43.006094	0.071930	-17.153460
44.006714	0.071967	15.669550
45.006927	0.071967	14.652670
46.006884	0.071967	5.479210
47.006632	0.071916	33.590100
48.006525	0.071916	27.839360
49.006889	0.071960	-9.575767
50.006135	0.071960	10.683810
51.006066	0.071960	26.919740
52.006025	0.071968	-47.964790
53.006131	0.071968	-75.022140
54.006454	0.072019	87.131480
55.006801	0.072019	11.686920
56.006378	0.072019	-36.954960
57.005975	0.072057	47.065780
58.005991	0.072057	21.605520
59.007553	0.072069	33.039710
60.007264	0.072069	-82.340830
61.007229	0.072041	-99.941190
62.007259	0.072041	126.300000
63.007974	0.072041	-42.769860
64.008259	0.072133	-60.011270
65.009738	0.072133	29.717910
66.009262	0.072056	-39.314410
67.009370	0.072056	-15.858820
68.009168	0.072056	94.903420
69.009853	0.072042	-1.417031
70.009727	0.072042	-36.660080
71.009767	0.072096	68.373590
72.009624	0.072096	8.688543
73.009851	0.072070	-195.865100
74.010265	0.072070	-213.844500
75.010810	0.072070	283.579800
76.010380	0.072116	217.048500
77.009954	0.072116	-125.779700
78.010140	0.072114	28.945620
79.010806	0.072114	4.017715
80.010845	0.072114	39.562740
81.010386	0.072169	57.174640
82.010169	0.072169	76.453950
83.010299	0.072195	-194.236300
84.010156	0.072195	135.292100
85.010409	0.072128	248.823900
86.010139	0.072128	-94.790020
87.010861	0.072128	-155.652800
88.010654	0.072170	0.999277
89.009993	0.072170	123.554300
90.010463	0.072123	-106.024600
91.010211	0.072123	-79.601600
92.010196	0.072123	53.923980
93.011417	0.072152	40.434740
94.011214	0.072152	1.184294
95.012599	0.072187	-109.024700
96.012889	0.072187	102.034400
97.012294	0.072136	78.410350
98.012626	0.072136	-81.570300
99.013696	0.072136	30.961750
100.012934	0.072153	92.051320
101.013131	0.072153	-40.659070
102.014261	0.072116	-79.804070
103.014147	0.072116	-14.270730
104.014089	0.072116	-56.618650
105.014001	0.072149	163.219700
106.014858	0.072149	328.186600
107.014719	0.072152	-21.808700
108.014398	0.072152	-14.182980
109.014534	0.072115	77.618170
110.014730	0.072115	160.281600
111.013989	0.072115	-73.100090
112.014361	0.072129	32.963090
113.014205	0.072129	11.188610
114.014661	0.072141	2.168555
115.014513	0.072141	55.649740
116.014303	0.072141	75.681670
117.014879	0.072146	-118.613000
118.014230	0.072146	-184.042200
119.014724	0.072162	173.540300
120.014318	0.072162	-205.575300
121.015902	0.072162	-237.787500
122.015237	0.072128	-24.929970
123.015201	0.072128	40.604560
124.015014	0.072113	-50.906510
125.015577	0.072113	-209.423900
126.015014	0.072116	136.919800
127.016873	0.072116	76.695550
128.016447	0.072116	-212.984000
129.016375	0.072109	209.002900
130.016894	0.072109	188.207700
131.016417	0.072146	-167.006300
132.016402	0.072146	87.874370
133.016362	0.072146	109.380400
134.016561	0.072195	-74.620460
135.016675	0.072195	10.433950
136.017684	0.072109	14.208460
