#lab INRiM MiCb 30mK
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#V 90
#
#Time	Temp	Current
# s	K	pA	
0.000000	180.347400	1038511.000000
0.999990	181.892500	1047750.000000
1.999707	181.892500	816096.200000
2.999835	181.892500	994595.600000
4.000190	181.309300	949219.300000
4.999623	181.309300	878938.100000
6.001523	179.507100	709128.200000
7.002170	179.507100	730356.100000
8.003367	179.507100	793007.500000
9.004050	181.822300	738839.700000
10.003582	181.822300	708063.700000
11.003880	181.822300	704821.700000
12.004291	180.326100	814833.100000
17.003930	182.566000	697510.000000
22.005505	181.125000	1025948.000000
27.005172	181.458600	98999999999999984800000000000000000000000000000000.000000
32.005530	180.353700	98999999999999984800000000000000000000000000000000.000000
37.005395	180.082800	9258695000.000000
42.006532	182.595500	7645642000.000000
47.006574	180.341100	565581.900000
52.007418	180.703600	598327.700000
57.008542	179.864100	540512.900000
62.007759	180.194400	692716.500000
67.008401	181.664300	658483.700000
72.007601	179.227500	677580.200000
77.008014	181.581500	1386390.000000
82.009448	180.655300	1249183.000000
87.009812	178.703900	906448.300000
92.009629	180.329200	1920804.000000
97.009967	180.985800	1174605.000000
102.009594	182.188500	734316.000000
107.011102	180.898000	1016576.000000
112.010983	181.038500	1483522.000000
117.012511	181.190200	859245.500000
122.011905	181.074800	1058908.000000
127.012065	179.684500	98999999999999984800000000000000000000000000000000.000000
132.013477	179.122800	98999999999999984800000000000000000000000000000000.000000
137.012599	179.573300	98999999999999984800000000000000000000000000000000.000000
142.012926	178.895600	98999999999999984800000000000000000000000000000000.000000
147.013013	178.708600	98999999999999984800000000000000000000000000000000.000000
152.012652	179.867600	98999999999999984800000000000000000000000000000000.000000
157.014057	179.032300	98999999999999984800000000000000000000000000000000.000000
162.013844	178.950500	98999999999999984800000000000000000000000000000000.000000
167.013880	179.356900	98999999999999984800000000000000000000000000000000.000000
172.014065	178.518200	98999999999999984800000000000000000000000000000000.000000
177.014361	179.136600	98999999999999984800000000000000000000000000000000.000000
182.014969	179.659000	98999999999999984800000000000000000000000000000000.000000
187.014805	179.985700	98999999999999984800000000000000000000000000000000.000000
192.014598	179.942000	98999999999999984800000000000000000000000000000000.000000
197.015642	178.072400	98999999999999984800000000000000000000000000000000.000000
202.016459	178.707800	98999999999999984800000000000000000000000000000000.000000
207.017205	179.745500	98999999999999984800000000000000000000000000000000.000000
212.016573	178.344200	98999999999999984800000000000000000000000000000000.000000
217.017390	178.529500	98999999999999984800000000000000000000000000000000.000000
222.018383	178.895100	98999999999999984800000000000000000000000000000000.000000
227.019217	178.177200	98999999999999984800000000000000000000000000000000.000000
232.019158	178.957500	98999999999999984800000000000000000000000000000000.000000
237.018609	177.749600	98999999999999984800000000000000000000000000000000.000000
242.018706	179.586300	98999999999999984800000000000000000000000000000000.000000
247.020552	179.665500	98999999999999984800000000000000000000000000000000.000000
252.020041	178.278000	98999999999999984800000000000000000000000000000000.000000
257.019747	178.888200	98999999999999984800000000000000000000000000000000.000000
262.020309	180.637100	98999999999999984800000000000000000000000000000000.000000
267.021146	178.738100	98999999999999984800000000000000000000000000000000.000000
272.020691	178.912000	98999999999999984800000000000000000000000000000000.000000
277.021469	179.157000	98999999999999984800000000000000000000000000000000.000000
282.020562	177.890700	98999999999999984800000000000000000000000000000000.000000
287.021551	178.937100	98999999999999984800000000000000000000000000000000.000000
292.020736	178.897800	98999999999999984800000000000000000000000000000000.000000
297.022471	178.410900	98999999999999984800000000000000000000000000000000.000000
302.022882	178.737200	98999999999999984800000000000000000000000000000000.000000
307.023286	179.190700	98999999999999984800000000000000000000000000000000.000000
312.023014	178.597000	98999999999999984800000000000000000000000000000000.000000
317.023225	178.415200	98999999999999984800000000000000000000000000000000.000000
322.024053	178.506100	98999999999999984800000000000000000000000000000000.000000
327.024383	179.605300	98999999999999984800000000000000000000000000000000.000000
332.025505	178.973900	98999999999999984800000000000000000000000000000000.000000
337.024560	178.352400	98999999999999984800000000000000000000000000000000.000000
342.024934	178.841900	98999999999999984800000000000000000000000000000000.000000
347.024633	178.674000	98999999999999984800000000000000000000000000000000.000000
352.025059	178.732000	98999999999999984800000000000000000000000000000000.000000
357.026215	178.066000	98999999999999984800000000000000000000000000000000.000000
362.025873	177.849200	98999999999999984800000000000000000000000000000000.000000
367.025646	177.946900	98999999999999984800000000000000000000000000000000.000000
