#lab INRiM MiC b 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
0.000000	0.065575	0.711596	12.848440
0.200000	0.065665	-0.111486	17.762070
0.400000	0.065675	-0.200207	16.355580
0.600000	0.065646	0.608111	12.905930
0.800000	0.065646	-0.011454	5.421420
1.000000	0.065688	-0.907338	13.863660
1.200000	0.065687	0.142233	14.599140
1.400000	0.065708	0.330281	18.554940
1.600000	0.065734	-0.051774	12.560460
1.800000	0.065779	-0.313741	14.621700
2.000000	0.065745	0.151389	25.976610
2.200000	0.065788	0.950246	19.217300
2.400000	0.065788	1.200336	15.152240
2.600000	0.065812	-0.215567	12.054520
2.800000	0.065819	0.392286	13.038510
3.000000	0.065840	-0.183227	18.889180
3.200000	0.065836	-1.307371	16.274500
3.400000	0.065822	0.889192	17.152550
3.600000	0.065842	-0.869224	18.761570
3.800000	0.065873	0.565884	13.828100
4.000000	0.065902	0.786814	12.686540
4.200000	0.065887	0.036409	9.247775
4.400000	0.065925	0.651730	14.091110
4.600000	0.065889	0.722522	15.377810
4.800000	0.065959	-0.369884	24.652450
5.000000	0.066007	1.280817	23.752410
5.200000	0.066007	-0.860643	19.517860
5.400000	0.065979	0.817524	15.185050
5.600000	0.065960	1.020005	19.436030
5.800000	0.066024	-0.467397	15.140560
6.000000	0.066046	-0.684585	10.557460
6.200000	0.066102	0.509861	21.462000
6.400000	0.066096	0.385661	21.806770
6.600000	0.066141	-0.114610	15.877840
6.800000	0.066104	0.260500	15.890300
7.000000	0.066133	0.424843	18.715230
7.200000	0.066151	-1.034674	27.954840
7.400000	0.066141	-1.194249	22.682200
7.600000	0.066121	-0.710224	21.264770
7.800000	0.066161	0.333272	17.854400
8.000000	0.066169	0.220934	14.017880
8.200000	0.066258	0.248210	11.123680
8.400000	0.066172	0.562189	9.187579
8.600000	0.066219	0.537788	7.622817
8.800000	0.066231	0.311423	8.955044
9.000000	0.066294	0.609096	17.999200
9.200000	0.066294	-0.813477	15.930850
9.400000	0.066304	0.321233	16.222790
9.600000	0.066312	0.402200	15.835610
9.800000	0.066300	0.461481	14.046530
10.000000	0.066353	-0.398055	15.776870
10.200000	0.066400	0.070071	8.652573
10.400000	0.066392	1.045238	11.170640
10.600000	0.066347	-0.128515	15.804960
10.800000	0.066448	0.630932	15.547420
11.000000	0.066465	0.474992	7.974081
11.200000	0.066463	0.648578	8.886816
11.400000	0.066530	-0.015263	10.871960
11.600000	0.066561	-0.332957	11.957910
11.800000	0.066589	0.726764	10.559870
12.000000	0.066618	0.111110	11.346450
12.200000	0.066637	-0.266956	12.333080
12.400000	0.066723	0.022249	11.082640
12.600000	0.066755	-1.447624	23.692430
12.800000	0.066766	2.145421	32.280630
13.000000	0.066850	-0.013939	19.809820
13.200000	0.066928	0.792941	18.663690
13.400000	0.066957	0.914673	15.199600
13.600000	0.066973	0.405363	26.271210
13.800000	0.067056	-1.525511	25.586230
14.000000	0.067102	-0.914139	38.765940
14.200000	0.067197	1.902377	29.938300
14.400000	0.067321	0.124183	23.860370
14.600000	0.067337	-0.105900	18.474210
14.800000	0.067457	0.143790	14.267370
15.000000	0.067562	0.143090	18.274120
15.200000	0.067644	-0.046279	18.329860
15.400000	0.067775	0.080814	21.467180
15.600000	0.067943	0.363304	15.935240
15.800000	0.067957	0.976185	14.382310
16.000000	0.068133	0.090646	14.979780
16.200000	0.068220	-0.385393	24.264230
16.400000	0.068428	0.018663	28.804860
16.600000	0.068491	0.588682	17.329890
16.800000	0.068690	0.780579	14.076210
17.000000	0.068816	1.174863	15.314460
17.200000	0.069054	0.232107	19.214050
17.400000	0.069188	-1.063844	20.703030
17.600000	0.069320	-0.346310	13.793570
17.800000	0.069492	0.070691	21.048370
18.000000	0.069724	-0.523654	20.281930
18.200000	0.069905	0.161118	26.833310
18.400000	0.070188	1.389951	35.946120
18.600000	0.070356	-1.054660	29.713590
18.800000	0.070638	-0.110074	17.783130
19.000000	0.070787	0.778855	23.176060
19.200000	0.071119	1.116949	22.727130
19.400000	0.071327	0.134781	12.750100
19.600000	0.071583	0.436433	12.850580
19.800000	0.071857	-0.540941	17.614600
20.000000	0.072167	-0.084889	9.831457
20.200000	0.072488	-0.248664	19.731730
