#lab INRiM MiCb 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
0.000000	3.572000	-5.468941	7.960077
0.200000	3.527000	5.542350	7.051732
0.400000	3.543000	-3.321734	8.728397
0.600000	3.560000	1.516964	10.402100
0.800000	3.537000	6.715069	7.464007
1.000000	3.554000	-5.377386	6.891593
1.200000	3.566000	1.282701	8.728485
1.400000	3.568000	4.606150	8.132646
1.600000	3.532000	-4.242617	7.405841
1.800000	3.549000	-3.837546	8.079410
2.000000	3.563000	-0.693874	7.650288
2.200000	3.566000	-0.369267	6.919309
2.400000	3.528000	7.886108	9.866202
2.600000	3.545000	1.008551	10.075680
2.800000	3.560000	0.599950	7.639461
3.000000	3.563000	-2.736111	10.789820
3.200000	3.555000	-6.829122	7.282822
3.400000	3.562000	-1.102392	8.213007
3.600000	3.558000	6.198127	7.969585
3.800000	3.544000	3.749265	7.616920
4.000000	3.552000	1.164205	9.523115
4.200000	3.560000	7.956533	21.389330
4.400000	3.556000	-4.398981	8.783366
4.600000	3.543000	3.329513	15.490070
4.800000	3.548000	-0.074317	11.564230
5.000000	3.558000	2.865846	14.208330
5.200000	3.555000	1.091033	28.869470
5.400000	3.542000	2.860185	26.350640
5.600000	3.556000	-2.798616	25.104090
5.800000	3.546000	0.384948	15.139400
6.000000	3.528000	0.460207	15.493580
6.200000	3.505000	-3.098548	16.795470
6.400000	3.491000	1.331329	12.448800
6.600000	3.546000	-1.711246	25.100140
6.800000	3.529000	-1.036466	33.470260
7.000000	3.506000	1.343441	36.157150
7.200000	3.490000	-3.428983	10.930660
7.400000	3.546000	-2.245854	10.267900
7.600000	3.530000	-2.301124	14.651240
7.800000	3.509000	1.385914	15.663150
8.000000	3.485000	1.684952	12.364670
8.200000	3.545000	1.225423	15.952860
8.400000	3.550000	-0.931351	21.682080
8.600000	3.509000	-2.326257	36.628160
8.800000	3.526000	5.260025	32.318200
9.000000	3.541000	-2.376540	27.595410
9.200000	3.548000	-2.379494	10.595310
9.400000	3.504000	2.109932	22.563290
9.600000	3.521000	-0.416280	18.353830
9.800000	3.537000	-3.825982	18.749750
10.000000	3.546000	-2.275545	19.527570
10.200000	3.532000	-2.282279	29.660470
10.400000	3.543000	-0.584835	20.436310
10.600000	3.543000	-0.900875	29.471940
10.800000	3.533000	3.438898	12.817780
11.000000	3.526000	-0.960723	19.080950
11.200000	3.538000	-4.263914	28.845480
11.400000	3.541000	-0.296336	15.252830
11.600000	3.532000	3.279686	12.743670
11.800000	3.521000	0.961534	14.579220
12.000000	3.535000	-4.260080	16.954970
12.200000	3.539000	4.463605	24.028060
12.400000	3.531000	-1.631512	14.761210
12.600000	3.537000	4.142746	8.935783
12.800000	3.532000	0.899500	18.477400
13.000000	3.518000	-2.056683	18.412830
13.200000	3.497000	2.642090	25.783570
13.400000	3.535000	3.074843	24.576960
13.600000	3.531000	-2.237819	17.245490
13.800000	3.518000	-1.614815	19.360180
14.000000	3.496000	1.857826	27.112780
14.200000	3.532000	2.679130	19.466080
14.400000	3.529000	-3.843555	12.525340
14.600000	3.517000	-1.986462	13.712700
14.800000	3.496000	3.913752	12.923220
15.000000	3.519000	-2.375824	28.123480
15.200000	3.500000	0.669868	25.584150
15.400000	3.478000	3.948653	12.139830
15.600000	3.464000	-2.583392	17.709950
15.800000	3.520000	-1.360873	26.258870
16.000000	3.501000	3.364379	15.526490
16.200000	3.478000	3.797824	13.770770
16.400000	3.463000	-4.214556	16.379750
16.600000	3.460000	-1.205005	13.852290
16.800000	3.501000	-2.783852	14.664440
17.000000	3.478000	-0.942964	21.467960
17.200000	3.463000	0.246269	31.273110
17.400000	3.458000	3.689076	22.311150
17.600000	3.464000	-4.320037	15.330680
17.800000	3.456000	2.858271	21.228970
18.000000	3.458000	-2.617348	14.223050
18.200000	3.465000	-3.026331	15.112420
18.400000	3.462000	5.788407	27.509230
18.600000	3.454000	1.513155	23.360040
18.800000	3.455000	-2.237259	15.186680
19.000000	3.462000	-2.146778	11.793980
19.200000	3.462000	-2.843680	17.554540
19.400000	3.453000	-2.381365	20.160160
19.600000	3.453000	1.150486	10.122700
19.800000	3.459000	-2.291815	12.315850
20.000000	3.451000	-1.825288	13.939540
20.200000	3.456000	-2.286512	13.474090
20.400000	3.465000	2.321285	14.217000
20.600000	3.480000	-3.634433	19.850430
20.800000	3.449000	1.721220	22.663750
21.000000	3.453000	-3.251933	19.333640
21.200000	3.462000	-0.160175	18.054250
21.400000	3.476000	3.626815	20.914140
21.600000	3.447000	-3.266373	19.804120
21.800000	3.451000	4.429141	17.485100
22.000000	3.459000	-3.275911	6.787822
22.200000	3.473000	-1.252264	13.137360
22.400000	3.455000	-0.696087	12.223590
22.600000	3.468000	-1.476667	26.947550
22.800000	3.484000	0.090174	19.977890
23.000000	3.501000	-2.165168	22.477210
23.200000	3.452000	0.806794	16.800290
23.400000	3.464000	2.078810	18.103250
23.600000	3.479000	-1.756087	15.174210
23.800000	3.496000	4.678279	14.326570
24.000000	3.449000	-1.040936	23.687180
24.200000	3.459000	-1.614506	27.924740
24.400000	3.474000	3.329643	13.000260
24.600000	3.492000	-3.144056	19.387480
24.800000	3.469000	2.505972	35.323940
25.000000	3.486000	-2.895826	19.189300
25.200000	3.500000	0.419152	16.910870
25.400000	3.504000	2.613750	27.481020
25.600000	3.464000	-3.423439	13.801690
25.800000	3.481000	2.486155	12.972460
26.000000	3.497000	-1.547925	17.410710
26.200000	3.503000	3.239126	18.110320
26.400000	3.460000	-3.232632	17.655610
26.600000	3.477000	0.826612	19.158390
26.800000	3.493000	1.555994	15.764330
27.000000	3.500000	2.715566	9.736652
27.200000	3.488000	2.677387	15.237820
27.400000	3.498000	-0.439664	21.197990
27.600000	3.497000	-3.125002	21.729950
27.800000	3.486000	-0.938841	16.637530
28.000000	3.486000	2.839298	15.133020
28.200000	3.496000	-1.318106	19.460860
28.400000	3.495000	1.152207	9.451819
28.600000	3.484000	1.216900	18.895390
28.800000	3.482000	-0.579865	20.484110
29.000000	3.493000	1.956994	17.379860
29.200000	3.494000	-2.947909	17.341780
29.400000	3.485000	2.203812	16.128300
29.600000	3.493000	-1.995072	28.577230
29.800000	3.487000	-2.966461	13.480600
30.000000	3.471000	2.940638	16.798480
30.200000	3.449000	-3.581918	23.756070
30.400000	3.492000	3.088694	19.456150
