#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7 
#d 0.5
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
88.000000	1254.310000	1.514476
87.800000	1161.500000	1.836707
87.600000	1096.919000	1.744870
87.400000	1037.651000	1.654223
87.200000	982.059500	1.599216
87.000000	929.901500	1.129932
86.800000	880.175600	1.239464
86.600000	832.428400	1.433500
86.400000	786.971900	0.892255
86.200000	739.974700	1.038921
86.000000	696.974900	1.230162
85.800000	656.169700	0.697026
85.600000	614.750000	1.466904
85.400000	574.970000	0.738843
85.200000	539.793900	0.498628
85.000000	507.635200	0.784024
84.800000	478.175300	0.837595
84.600000	445.631900	0.587589
84.400000	417.671300	0.490711
84.200000	393.726700	0.369431
84.000000	371.268000	0.427196
83.800000	349.217500	0.371340
83.600000	319.690000	0.374158
83.400000	296.989300	0.130974
83.200000	279.608600	0.331961
83.000000	262.830000	0.125211
82.800000	237.689700	0.225215
82.600000	222.624000	1.272911
82.400000	206.928300	2.063333
82.200000	194.466900	0.144267
82.000000	179.106400	0.133963
81.800000	167.334500	0.110298
81.600000	156.336400	0.093023
81.400000	145.645700	0.142774
81.200000	135.734500	0.089689
81.000000	126.573900	0.093550
80.800000	116.598700	0.062994
80.600000	107.590300	0.100611
80.400000	100.449200	0.075466
80.200000	93.802130	0.096927
80.000000	87.567060	0.100857
79.800000	81.813230	0.113578
79.600000	76.525440	0.080442
79.400000	71.604620	0.118818
79.200000	66.828400	0.088304
79.000000	62.513310	0.054152
78.800000	58.335990	0.098960
78.600000	54.204460	0.090105
78.400000	49.942720	0.088180
78.200000	45.868620	0.084930
78.000000	42.717510	0.060228
77.800000	39.680720	0.061876
77.600000	37.000700	0.058582
77.400000	33.950890	0.068172
77.200000	31.579510	0.064537
77.000000	29.539020	0.072697
76.800000	27.521520	0.061814
76.600000	25.689650	0.070907
76.400000	23.998240	0.044819
76.200000	22.320020	0.046486
76.000000	20.813830	0.052313
75.800000	18.542280	0.092298
75.600000	16.682610	0.057719
75.400000	15.458460	0.043440
75.200000	14.359280	0.044200
75.000000	13.236040	0.045112
74.800000	12.132910	0.034120
74.600000	11.252930	0.052891
74.400000	10.420190	0.059702
74.200000	9.693504	0.045170
74.000000	8.891458	0.041182
73.800000	8.122087	0.056395
73.600000	7.445174	0.055328
73.400000	6.657475	0.041126
73.200000	6.135432	0.041874
73.000000	5.673625	0.050663
72.800000	5.199416	0.045481
72.600000	4.816144	0.041764
72.400000	4.435314	0.056344
72.200000	4.132208	0.063283
72.000000	3.813023	0.059612
71.800000	3.496046	0.046286
71.600000	3.236530	0.060871
71.400000	2.960832	0.059042
71.200000	2.723272	0.045591
71.000000	2.492814	0.047838
70.800000	2.306929	0.026882
70.600000	2.129756	0.052724
70.400000	1.925015	0.054844
70.200000	1.779435	0.054259
70.000000	1.651414	0.038662
69.800000	1.548917	0.034946
69.600000	1.439549	0.040355
69.400000	1.323870	0.034609
69.200000	1.225101	0.050953
69.000000	1.138916	0.050570
68.800000	1.033257	0.037841
68.600000	0.962483	0.057735
68.400000	0.907617	0.047085
68.200000	0.817501	0.055593
68.000000	0.754043	0.048828
67.800000	0.692155	0.053330
