#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
0.000000	0.134242	0.094538
0.200000	0.129359	0.078089
0.400000	0.162149	0.058310
0.600000	0.186345	0.074882
0.800000	0.199741	0.055485
1.000000	0.206489	0.067900
1.200000	0.165644	0.095047
1.400000	0.133027	0.059713
1.600000	0.152290	0.066253
1.800000	0.177226	0.071550
2.000000	0.175006	0.084959
2.200000	0.189719	0.069658
2.400000	0.167843	0.091480
2.600000	0.157285	0.083095
2.800000	0.153931	0.065239
3.000000	0.140019	0.066825
3.200000	0.155958	0.062966
3.400000	0.154610	0.064553
3.600000	0.170468	0.059088
3.800000	0.171470	0.089434
4.000000	0.154306	0.058961
4.200000	0.173822	0.062524
4.400000	0.163070	0.069716
4.600000	0.176720	0.064207
4.800000	0.165847	0.056270
5.000000	0.177743	0.066292
5.200000	0.167924	0.075193
5.400000	0.145450	0.053330
5.600000	0.161146	0.070381
5.800000	0.161774	0.051951
6.000000	0.170519	0.049407
6.200000	0.187308	0.067370
6.400000	0.151681	0.071544
6.600000	0.155532	0.070982
6.800000	0.165675	0.053463
7.000000	0.174622	0.074790
7.200000	0.174105	0.057222
7.400000	0.167387	0.067688
7.600000	0.179840	0.084934
7.800000	0.175068	0.066388
8.000000	0.158602	0.064712
8.200000	0.169799	0.052190
8.400000	0.179658	0.053742
8.600000	0.181583	0.061067
8.800000	0.172585	0.075316
9.000000	0.172990	0.085578
9.200000	0.156707	0.065760
9.400000	0.159626	0.072119
9.600000	0.155076	0.067758
9.800000	0.144549	0.062361
10.000000	0.184714	0.058658
10.200000	0.193569	0.073851
10.400000	0.170296	0.063954
10.600000	0.172190	0.050181
10.800000	0.156272	0.070401
11.000000	0.181634	0.060888
11.200000	0.163081	0.065928
11.400000	0.156850	0.061096
11.600000	0.148175	0.075089
11.800000	0.166982	0.063916
12.000000	0.168724	0.080318
12.200000	0.149189	0.059883
12.400000	0.161034	0.057616
12.600000	0.187581	0.070782
12.800000	0.164530	0.068630
13.000000	0.165320	0.080346
13.200000	0.163121	0.063043
13.400000	0.169110	0.069249
13.600000	0.153637	0.070847
13.800000	0.151327	0.077620
14.000000	0.160396	0.073369
14.200000	0.181107	0.070272
14.400000	0.163668	0.076132
14.600000	0.146412	0.074064
14.800000	0.173791	0.068010
15.000000	0.148834	0.069696
15.200000	0.139036	0.071689
15.400000	0.174673	0.068996
15.600000	0.148318	0.053035
15.800000	0.155339	0.078929
16.000000	0.139725	0.077286
16.200000	0.164245	0.091691
16.400000	0.155825	0.095175
16.600000	0.158704	0.057093
16.800000	0.162605	0.072668
17.000000	0.163577	0.087875
17.200000	0.149401	0.084172
17.400000	0.159159	0.083242
17.600000	0.159534	0.097903
17.800000	0.164448	0.081039
18.000000	0.180469	0.072467
18.200000	0.174774	0.071368
18.400000	0.158551	0.082778
18.600000	0.156495	0.064266
18.800000	0.156657	0.081558
19.000000	0.158591	0.085295
19.200000	0.161226	0.092493
19.400000	0.164752	0.089555
19.600000	0.156595	0.086616
19.800000	0.161338	0.067240
20.000000	0.173061	0.074779
20.200000	0.162533	0.080952
20.400000	0.158490	0.078278
20.600000	0.147730	0.091655
20.800000	0.173294	0.076585
21.000000	0.178482	0.080587
21.200000	0.166607	0.085076
21.400000	0.179181	0.091027
21.600000	0.174520	0.078112
21.800000	0.177438	0.089085
22.000000	0.155035	0.079135
22.200000	0.153962	0.072849
22.400000	0.153343	0.087917
22.600000	0.174621	0.080973
22.800000	0.165472	0.069288
23.000000	0.151134	0.076465
23.200000	0.170872	0.085056
23.400000	0.151550	0.077629
23.600000	0.169220	0.109286
23.800000	0.171206	0.101996
24.000000	0.154762	0.075222
24.200000	0.155268	0.078867
24.400000	0.140626	0.078417
24.600000	0.177084	0.080722
24.800000	0.158500	0.112688
25.000000	0.154568	0.095383
25.200000	0.183781	0.084047
25.400000	0.162907	0.103849
25.600000	0.162280	0.086790
25.800000	0.167720	0.107014
26.000000	0.157040	0.109464
26.200000	0.152785	0.092802
26.400000	0.164245	0.106514
26.600000	0.168876	0.090680
26.800000	0.160141	0.102916
27.000000	0.167255	0.090096
27.200000	0.162199	0.086477
27.400000	0.144770	0.098002
27.600000	0.158926	0.089679
27.800000	0.147779	0.088315
28.000000	0.172179	0.088660
28.200000	0.153362	0.096602
28.400000	0.168359	0.105081
28.600000	0.169200	0.109857
28.800000	0.160982	0.111032
29.000000	0.168784	0.112770
29.200000	0.152936	0.124385
29.400000	0.166363	0.109369
29.600000	0.159472	0.117222
29.800000	0.180335	0.106478
30.000000	0.156391	0.119350
30.200000	0.166838	0.125050
30.400000	0.163778	0.119539
30.600000	0.137413	0.119970
30.800000	0.173314	0.095432
31.000000	0.127463	0.096725
31.200000	0.173881	0.104125
31.400000	0.166950	0.114906
31.600000	0.162805	0.124448
31.800000	0.161711	0.123044
32.000000	0.173313	0.129172
32.200000	0.187682	0.104679
32.400000	0.169980	0.112711
32.600000	0.187833	0.126458
32.800000	0.162927	0.129301
33.000000	0.155571	0.118196
33.200000	0.163808	0.133530
33.400000	0.148305	0.150787
33.600000	0.153220	0.108808
33.800000	0.147748	0.125895
34.000000	0.148853	0.127855
34.200000	0.151233	0.146139
34.400000	0.170424	0.148451
34.600000	0.154709	0.124696
34.800000	0.146542	0.134244
35.000000	0.180102	0.120557
35.200000	0.144162	0.100041
35.400000	0.146380	0.121362
35.600000	0.140543	0.138723
35.800000	0.145013	0.116474
36.000000	0.148883	0.120121
36.200000	0.161244	0.147257
36.400000	0.147383	0.125973
36.600000	0.147373	0.125964
36.800000	0.133775	0.107800
37.000000	0.176880	0.122051
37.200000	0.163909	0.133291
37.400000	0.153889	0.123888
37.600000	0.146248	0.131070
37.800000	0.152054	0.127174
38.000000	0.153838	0.117909
38.200000	0.162896	0.131611
38.400000	0.156047	0.128484
38.600000	0.145458	0.117439
38.800000	0.155549	0.138829
39.000000	0.137271	0.133336
39.200000	0.149268	0.131297
39.400000	0.163707	0.125134
39.600000	0.158043	0.124632
39.800000	0.159209	0.118533
40.000000	0.158448	0.121186
40.200000	0.167447	0.103122
40.400000	0.162623	0.126701
40.600000	0.171782	0.147837
40.800000	0.169766	0.132974
41.000000	0.175694	0.141392
41.200000	0.172998	0.139922
41.400000	0.145285	0.144845
41.600000	0.168105	0.141209
41.800000	0.157667	0.144181
42.000000	0.167972	0.138752
42.200000	0.158793	0.129948
42.400000	0.164435	0.163598
42.600000	0.179512	0.166433
42.800000	0.169493	0.129721
43.000000	0.175410	0.134779
43.200000	0.158286	0.127180
43.400000	0.163868	0.157422
43.600000	0.172582	0.163216
43.800000	0.154829	0.170557
44.000000	0.190549	0.150225
44.200000	0.163474	0.135285
44.400000	0.174052	0.141164
44.600000	0.147900	0.142814
44.800000	0.156096	0.148161
45.000000	0.172653	0.158925
45.200000	0.170576	0.155173
45.400000	0.167141	0.138492
45.600000	0.167375	0.139710
45.800000	0.156806	0.142265
46.000000	0.153574	0.136926
46.200000	0.165267	0.146815
46.400000	0.159004	0.147733
46.600000	0.157961	0.146471
46.800000	0.173606	0.145906
47.000000	0.137462	0.162806
47.200000	0.148314	0.149105
47.400000	0.152368	0.150825
47.600000	0.147748	0.142088
47.800000	0.169694	0.153241
48.000000	0.152661	0.144214
48.200000	0.170385	0.142790
48.400000	0.146004	0.162568
48.600000	0.164568	0.143909
48.800000	0.150513	0.156767
49.000000	0.165519	0.178241
49.200000	0.154708	0.144757
49.400000	0.163493	0.157753
49.600000	0.169937	0.150196
49.800000	0.149347	0.171747
50.000000	0.163878	0.157827
50.200000	0.145244	0.154659
50.400000	0.152235	0.162505
50.600000	0.154343	0.139650
50.800000	0.149307	0.168964
51.000000	0.187508	0.158059
51.200000	0.160989	0.171459
51.400000	0.161173	0.157401
51.600000	0.168163	0.183567
51.800000	0.148820	0.165735
52.000000	0.169968	0.152040
52.200000	0.131525	0.128473
52.400000	0.168214	0.179408
52.600000	0.149530	0.167427
52.800000	0.171619	0.171739
53.000000	0.158973	0.167647
53.200000	0.142043	0.138056
53.400000	0.164709	0.167217
53.600000	0.152691	0.152817
53.800000	0.167374	0.157923
54.000000	0.167707	0.182147
54.200000	0.152803	0.157457
54.400000	0.152428	0.160113
54.600000	0.153796	0.178859
54.800000	0.164283	0.177010
55.000000	0.157362	0.175222
55.200000	0.173818	0.181583
55.400000	0.153643	0.175643
55.600000	0.146500	0.159368
55.800000	0.187203	0.167495
56.000000	0.162438	0.164970
56.200000	0.163797	0.153817
56.400000	0.157301	0.173992
56.600000	0.175641	0.178169
