#lab INRiM
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 300 
#d 0.5
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
91.000000	-7.107185	4.080084
90.900000	-7.325630	3.255387
90.800000	-6.959627	2.866346
90.700000	-9.669346	3.687505
90.600000	-5.111789	2.145610
90.500000	-6.881607	4.787975
90.400000	-10.529950	11.343550
90.300000	-6.452745	3.108699
90.200000	-2.761304	0.529720
90.100000	-2.931886	0.583451
90.000000	-3.488668	3.387943
89.900000	-10.308970	8.054929
89.800000	-4.995828	2.893854
89.700000	-2.951688	0.925817
89.600000	-3.694070	2.636173
89.500000	-4.136199	3.145988
89.400000	-6.289531	2.873021
89.300000	-4.043535	1.551970
89.200000	-2.324082	1.082916
89.100000	-1.965963	1.099598
89.000000	-2.702883	2.286278
88.900000	-2.085380	1.455184
88.800000	-0.980592	0.290121
88.700000	-1.871658	1.321680
88.600000	-3.251791	1.860658
88.500000	-2.042118	1.819785
88.400000	-0.889155	0.612672
88.300000	-0.974380	1.094359
88.200000	-0.871056	1.161484
88.100000	-0.853950	0.992044
88.000000	-0.792863	0.234249
87.900000	-1.540556	0.886979
87.800000	-0.804842	0.347816
87.700000	-0.588941	0.618873
87.600000	-1.541518	0.806693
87.500000	-0.628990	0.314366
87.400000	-0.745761	0.345257
87.300000	-0.308711	0.103813
87.200000	-0.250462	0.113373
87.100000	-0.185697	0.128406
87.000000	-0.158974	0.122473
86.900000	-0.182890	0.124334
86.800000	-0.140469	0.111912
86.700000	-0.202428	0.135194
86.600000	-0.229667	0.119672
86.500000	-0.220131	0.110270
86.400000	-0.210869	0.113987
86.300000	-0.174215	0.122388
86.200000	-0.226597	0.169099
86.100000	-0.164294	0.112165
86.000000	-0.275715	0.162059
85.900000	-0.202438	0.141008
85.800000	-0.202245	0.146474
85.700000	-0.156065	0.122761
85.600000	-0.049002	0.123746
85.500000	-0.163321	0.175755
85.400000	-0.107221	0.121027
85.300000	-0.135990	0.116618
85.200000	-0.082920	0.116363
85.100000	-0.066726	0.113818
85.000000	-0.039061	0.116054
84.900000	-0.030701	0.146397
84.800000	-0.159926	0.113357
84.700000	-0.091604	0.110311
84.600000	-0.024924	0.118761
84.500000	0.017313	0.122355
84.400000	-0.010160	0.105225
84.300000	-0.082373	0.121136
84.200000	-0.072016	0.130178
84.100000	0.042140	0.106338
84.000000	0.057807	0.106376
83.900000	0.030851	0.109959
83.800000	0.056144	0.110753
83.700000	0.069693	0.104068
83.600000	0.066065	0.109627
83.500000	0.093425	0.113291
83.400000	0.086028	0.118442
83.300000	0.023768	0.117511
83.200000	0.080383	0.130537
83.100000	0.113945	0.115455
83.000000	0.116844	0.103920
82.900000	0.116388	0.111205
82.800000	0.113257	0.104119
82.700000	0.109253	0.115139
82.600000	0.107987	0.116055
82.500000	0.127595	0.113228
82.400000	0.107805	0.109425
82.300000	0.110540	0.119745
82.200000	0.109223	0.119982
82.100000	0.118495	0.104358
82.000000	0.107734	0.107458
81.900000	0.112719	0.119140
81.800000	0.117696	0.092415
81.700000	0.126804	0.111705
81.600000	0.121211	0.107338
81.500000	0.108292	0.104790
81.400000	0.125326	0.102082
81.300000	0.143768	0.109376
81.200000	0.138539	0.114239
81.100000	0.144112	0.101623
81.000000	0.126652	0.115795
80.900000	0.118871	0.107093
80.800000	0.145724	0.103962
80.700000	0.114776	0.116999
80.600000	0.134587	0.102101
80.500000	0.143190	0.104224
80.400000	0.131638	0.126291
80.300000	0.128537	0.106825
80.200000	0.121870	0.113798
80.100000	0.139684	0.109164
80.000000	0.134110	0.115597
79.900000	0.150790	0.105744
79.800000	0.139847	0.116920
79.700000	0.136675	0.104635
79.600000	0.157001	0.121467
79.500000	0.153162	0.102920
79.400000	0.136066	0.117126
79.300000	0.142419	0.122688
79.200000	0.141853	0.105528
79.100000	0.136593	0.112704
79.000000	0.139482	0.115156
78.900000	0.142664	0.111346
78.800000	0.128457	0.095649
78.700000	0.138164	0.097664
78.600000	0.153527	0.103691
78.500000	0.147872	0.097535
78.400000	0.141073	0.111074
78.300000	0.138235	0.109463
78.200000	0.142623	0.118098
78.100000	0.138530	0.085625
78.000000	0.153617	0.112643
77.900000	0.145085	0.112944
77.800000	0.143737	0.111400
77.700000	0.138427	0.112727
77.600000	0.136685	0.110910
77.500000	0.153334	0.109860
77.400000	0.149868	0.098727
77.300000	0.143109	0.113692
77.200000	0.148622	0.110298
77.100000	0.145490	0.111323
77.000000	0.155472	0.117784
76.900000	0.142897	0.105061
76.800000	0.140130	0.103806
76.700000	0.139248	0.123240
76.600000	0.158016	0.089943
76.500000	0.145400	0.111446
76.400000	0.145552	0.108573
76.300000	0.152755	0.113066
76.200000	0.149290	0.114011
76.100000	0.130433	0.098884
76.000000	0.148135	0.102772
75.900000	0.151591	0.109510
75.800000	0.155857	0.097936
75.700000	0.137171	0.106244
75.600000	0.147507	0.115153
75.500000	0.148247	0.108114
75.400000	0.144082	0.116209
75.300000	0.137182	0.093953
75.200000	0.132977	0.095091
75.100000	0.138529	0.124137
75.000000	0.141427	0.099781
74.900000	0.147193	0.107268
74.800000	0.149332	0.110567
74.700000	0.128669	0.105424
74.600000	0.139998	0.101981
74.500000	0.138175	0.104969
74.400000	0.143727	0.103348
74.300000	0.147649	0.095393
74.200000	0.153110	0.112990
74.100000	0.147528	0.097103
74.000000	0.133898	0.110906
73.900000	0.154165	0.115690
73.800000	0.153374	0.111164
73.700000	0.136037	0.106352
73.600000	0.130919	0.107447
73.500000	0.138255	0.120903
73.400000	0.143687	0.115295
73.300000	0.124950	0.098019
73.200000	0.133645	0.104929
73.100000	0.137556	0.110036
73.000000	0.157550	0.098900
72.900000	0.149220	0.108778
72.800000	0.138783	0.102802
72.700000	0.146625	0.112056
72.600000	0.151733	0.105108
72.500000	0.157813	0.097091
72.400000	0.150801	0.111488
72.300000	0.161339	0.099572
72.200000	0.149919	0.102784
72.100000	0.139420	0.108985
72.000000	0.141559	0.106222
71.900000	0.140819	0.104178
71.800000	0.139482	0.103406
71.700000	0.140211	0.102758
71.600000	0.152949	0.110566
71.500000	0.149169	0.103552
71.400000	0.149332	0.096894
71.300000	0.144751	0.106266
71.200000	0.146059	0.109268
71.100000	0.147862	0.100818
71.000000	0.150314	0.110821
70.900000	0.142715	0.101929
70.800000	0.146626	0.103036
70.700000	0.137810	0.092626
70.600000	0.145197	0.104407
70.500000	0.142724	0.104675
70.400000	0.143647	0.098959
70.300000	0.150466	0.102050
70.200000	0.168017	0.094260
70.100000	0.141985	0.105354
70.000000	0.141630	0.101533
69.900000	0.150416	0.106829
69.800000	0.150690	0.096726
69.700000	0.140323	0.109651
69.600000	0.148967	0.092073
69.500000	0.151661	0.112914
69.400000	0.160894	0.103334
69.300000	0.143150	0.097737
69.200000	0.146464	0.101133
69.100000	0.133493	0.108971
69.000000	0.147609	0.096013
68.900000	0.160153	0.107264
68.800000	0.156495	0.105676
68.700000	0.151064	0.104824
68.600000	0.147761	0.100584
68.500000	0.147954	0.101042
