#lab INRiM
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 300
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	pA	pA
20.000000	0.130309	0.118808
20.100000	0.139095	0.115098
20.200000	0.131405	0.109807
20.300000	0.141952	0.130867
20.400000	0.154579	0.111021
20.500000	0.143472	0.135214
20.600000	0.159574	0.100283
20.700000	0.137980	0.118468
20.800000	0.154112	0.134013
20.900000	0.140838	0.125175
21.000000	0.145184	0.126487
21.100000	0.144212	0.109417
21.200000	0.152764	0.124498
21.300000	0.142226	0.123002
21.400000	0.135325	0.135765
21.500000	0.152288	0.124316
21.600000	0.155692	0.134010
21.700000	0.156908	0.120663
21.800000	0.149967	0.124694
21.900000	0.157892	0.112946
22.000000	0.146269	0.116186
22.100000	0.153271	0.104327
22.200000	0.147749	0.120424
22.300000	0.151438	0.111396
22.400000	0.146917	0.124474
22.500000	0.149055	0.133829
22.600000	0.151102	0.125634
22.700000	0.157557	0.136668
22.800000	0.157942	0.103919
22.900000	0.150535	0.119409
23.000000	0.161215	0.127343
23.100000	0.148873	0.116538
23.200000	0.162998	0.126112
23.300000	0.153544	0.135265
23.400000	0.159270	0.113291
23.500000	0.150373	0.132636
23.600000	0.152288	0.126017
23.700000	0.143726	0.114632
23.800000	0.155277	0.116720
23.900000	0.150961	0.126990
24.000000	0.150302	0.118881
24.100000	0.155996	0.131724
24.200000	0.150251	0.125746
24.300000	0.159310	0.118773
24.400000	0.152480	0.126089
24.500000	0.156351	0.116429
24.600000	0.151184	0.125438
24.700000	0.155084	0.116183
24.800000	0.157598	0.129195
24.900000	0.157456	0.124638
25.000000	0.165004	0.123929
25.100000	0.158186	0.119684
25.200000	0.160840	0.116775
25.300000	0.143148	0.118617
25.400000	0.161731	0.120174
25.500000	0.163293	0.121967
25.600000	0.144526	0.115264
25.700000	0.152855	0.115398
25.800000	0.138163	0.111892
25.900000	0.165188	0.110906
26.000000	0.156381	0.117282
26.100000	0.165744	0.111856
26.200000	0.143766	0.116101
26.300000	0.150120	0.124906
26.400000	0.141132	0.119450
26.500000	0.163080	0.108792
26.600000	0.140979	0.121325
26.700000	0.168399	0.120925
26.800000	0.145307	0.116218
26.900000	0.135974	0.114525
27.000000	0.145975	0.123541
27.100000	0.153615	0.127939
27.200000	0.150433	0.125436
27.300000	0.147019	0.115994
27.400000	0.155753	0.131046
27.500000	0.145995	0.122145
27.600000	0.159341	0.100132
27.700000	0.163890	0.134521
27.800000	0.158743	0.106814
27.900000	0.154730	0.120427
28.000000	0.155844	0.113348
28.100000	0.146928	0.104473
28.200000	0.158925	0.123874
28.300000	0.156189	0.113733
28.400000	0.151892	0.115168
28.500000	0.161620	0.111374
28.600000	0.147374	0.112816
28.700000	0.165552	0.107382
28.800000	0.152318	0.119305
28.900000	0.158207	0.098157
29.000000	0.146057	0.109743
29.100000	0.162016	0.112602
29.200000	0.150514	0.118005
29.300000	0.165115	0.130050
29.400000	0.153230	0.131209
29.500000	0.153322	0.109624
