#lab INRiM MiCa 3K plate
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
260.000000	-1490.815000	0.905517
259.800000	-1469.664000	0.641707
259.600000	-1448.727000	0.675814
259.400000	-1428.903000	0.820495
259.200000	-1409.501000	0.684417
259.000000	-1390.337000	0.809320
258.800000	-1371.288000	0.850642
258.600000	-1352.509000	0.719939
258.400000	-1333.457000	0.734724
258.200000	-1314.065000	0.764575
258.000000	-1294.847000	0.707048
257.800000	-1276.276000	0.660285
257.600000	-1258.110000	0.889341
257.400000	-1239.909000	0.772250
257.200000	-1222.070000	0.499104
257.000000	-1204.622000	0.548160
256.800000	-1187.637000	0.754503
256.600000	-1170.226000	0.622335
256.400000	-1153.191000	0.812456
256.200000	-1137.547000	0.846396
256.000000	-1122.431000	0.527396
255.800000	-1107.528000	0.777797
255.600000	-1092.960000	0.739650
255.400000	-1078.366000	0.453302
255.200000	-1063.648000	0.633787
255.000000	-1047.609000	0.621942
254.800000	-1033.174000	0.784605
254.600000	-1019.411000	0.773160
254.400000	-1005.931000	0.639265
254.200000	-992.340800	0.606016
254.000000	-978.931000	0.898578
253.800000	-965.298000	0.739324
253.600000	-951.647400	0.514670
253.400000	-936.294400	0.826841
253.200000	-922.045800	0.809597
253.000000	-909.016100	0.737304
252.800000	-896.225600	0.924047
252.600000	-883.850700	0.609652
252.400000	-871.463200	0.697114
252.200000	-859.707100	0.737878
252.000000	-848.303100	0.578106
251.800000	-836.927200	0.687040
251.600000	-823.254600	0.894122
251.400000	-811.536600	0.800199
251.200000	-800.611100	0.662044
251.000000	-790.028300	0.934719
250.800000	-779.395300	0.802020
250.600000	-768.948000	0.567070
250.400000	-758.645600	1.071621
250.200000	-748.164800	0.921297
250.000000	-737.411200	1.087229
249.800000	-726.175900	1.018812
249.600000	-715.306500	0.923447
249.400000	-705.267700	0.563431
249.200000	-695.340000	0.903191
249.000000	-685.350700	0.642734
248.800000	-675.481700	0.617908
248.600000	-665.750100	0.655032
248.400000	-656.348000	0.677281
248.200000	-647.250700	0.461747
248.000000	-638.264700	0.749260
247.800000	-628.785600	0.903178
247.600000	-619.458200	0.769482
247.400000	-610.738100	0.643590
247.200000	-602.327600	0.429338
247.000000	-594.056600	0.648492
246.800000	-585.951500	0.641991
246.600000	-577.939600	0.505953
246.400000	-569.802100	0.691376
246.200000	-561.791400	0.708920
246.000000	-552.466200	0.694457
245.800000	-539.717800	0.618180
245.600000	-531.399800	0.692553
245.400000	-523.391700	0.717763
245.200000	-515.395800	0.711109
245.000000	-507.386800	0.965346
244.800000	-499.569600	0.661191
244.600000	-491.721200	0.540820
244.400000	-483.994100	0.730839
244.200000	-476.443600	0.771241
244.000000	-468.080200	0.726994
243.800000	-460.779600	0.758268
243.600000	-453.698000	0.782058
243.400000	-446.667200	0.473270
243.200000	-439.843700	0.785537
243.000000	-433.135800	0.922901
242.800000	-426.602600	0.761149
242.600000	-420.172700	0.744377
242.400000	-413.513300	0.894291
242.200000	-406.528000	0.815146
242.000000	-400.216600	0.584499
241.800000	-393.920700	0.733827
241.600000	-387.568500	0.643597
241.400000	-381.329200	0.728823
241.200000	-375.151300	0.728680
241.000000	-368.968700	0.671350
240.800000	-362.971300	0.825886
240.600000	-357.063200	1.140552
240.400000	-350.692500	0.679194
240.200000	-344.988000	0.721253
240.000000	-339.249200	0.754323
239.800000	-333.612900	0.700813
239.600000	-328.006300	0.756725
239.400000	-322.261700	0.873011
239.200000	-316.688000	0.981618
239.000000	-311.207900	0.752820
238.800000	-305.433900	0.801528
238.600000	-299.674500	1.138845
238.400000	-293.975600	1.102763
238.200000	-288.532900	0.733179
238.000000	-283.310000	0.910162
237.800000	-278.117900	0.896459
237.600000	-273.114100	0.820356
237.400000	-267.961900	1.123799
237.200000	-262.857300	0.811623
237.000000	-257.857000	0.601681
236.800000	-252.988700	0.727476
236.600000	-248.148800	0.804941
236.400000	-243.459700	0.661222
236.200000	-238.920700	0.700598
236.000000	-234.531900	0.385689
235.800000	-229.965600	0.654722
235.600000	-225.552700	0.793565
235.400000	-221.213400	0.662798
235.200000	-216.815700	0.976348
235.000000	-212.570700	0.638090
234.800000	-208.353700	0.658173
234.600000	-204.043000	0.905854
