#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7
#d 0.5
#V 120
#
#Time	Temp	Current
# s	K	pA	
0.000000	90.481000	391072.000000
1.999747	90.490000	435715.300000
4.001435	90.490000	385393.200000
6.000612	90.499000	249611.300000
8.002481	90.508000	260195.100000
10.001755	90.517000	195142.900000
12.002780	90.517000	175536.700000
14.002633	90.526000	167628.700000
16.004308	90.533000	158973.200000
18.003631	90.542000	157806.600000
20.004862	90.551000	221383.200000
22.004629	90.551000	346488.700000
24.005429	90.558000	303284.200000
26.005119	90.567000	228491.000000
28.006065	90.576000	149022.900000
30.005853	90.576000	141525.400000
32.007309	90.584000	206224.700000
34.008042	90.590000	199298.800000
36.009025	90.600000	239158.100000
38.008550	90.600000	134084.300000
40.008652	90.606000	129408.600000
42.009071	90.614000	67172.830000
44.009114	90.622000	128086.500000
46.008827	90.628000	71179.880000
48.008492	90.628000	64667.000000
50.008670	90.634000	53900.900000
52.009853	90.642000	72996.160000
54.010509	90.649000	81898.640000
56.010579	90.649000	66514.400000
58.010637	90.655000	69227.300000
60.012304	90.665000	55008.630000
62.011583	90.671000	50352.730000
64.011697	90.671000	82700.110000
66.012143	90.679000	70230.660000
68.012019	90.687000	69326.570000
70.012295	90.694000	73849.070000
72.012442	90.702000	41697.910000
74.011884	90.702000	371766.400000
76.011922	90.709000	138066.100000
78.012354	90.716000	118644.000000
80.012097	90.722000	75574.480000
82.012080	90.722000	87978.730000
84.012414	90.730000	74838.200000
86.011972	90.737000	67053.240000
88.011598	90.745000	66790.190000
90.012386	90.745000	45343.040000
92.012311	90.753000	45392.550000
94.011845	90.759000	59534.820000
96.013443	90.767000	74399.030000
98.013836	90.775000	79626.620000
100.015241	90.775000	89312.540000
102.015185	90.782000	141802.900000
104.016204	90.787000	157950.200000
106.015503	90.795000	128331.100000
108.016116	90.795000	120183.600000
110.016061	90.803000	96494.460000
112.016213	90.809000	214873.100000
114.016166	90.817000	139697.700000
116.016081	90.825000	205228.900000
118.016111	90.825000	98856.550000
120.015896	90.830000	95258.690000
122.015664	90.837000	478320.700000
124.015583	90.844000	336298.100000
126.015801	90.844000	387438.300000
128.015491	90.851000	276633.900000
130.015750	90.858000	118615.900000
132.016036	90.864000	281379.600000
134.015623	90.864000	132687.000000
136.015533	90.870000	148667.700000
138.015670	90.878000	125837.700000
140.015499	90.885000	133064.800000
142.016400	90.885000	179617.300000
144.016201	90.889000	167221.100000
146.016347	90.899000	177408.700000
148.015905	90.903000	132998.200000
150.015905	90.909000	82065.460000
152.016345	90.909000	100665.200000
154.016094	90.917000	106792.400000
156.015531	90.922000	90718.590000
158.017098	90.929000	142336.500000
160.018209	90.929000	198987.500000
162.019262	90.935000	156640.800000
164.019529	90.943000	148141.900000
166.020234	90.948000	235102.700000
168.020706	90.955000	244967.400000
170.020872	90.955000	311071.000000
172.021333	90.961000	275171.800000
174.021233	90.967000	355469.600000
176.022253	90.973000	295818.600000
178.021747	90.973000	422454.400000
180.022307	90.980000	350028.500000
182.022096	90.985000	296518.000000
184.021930	90.992000	301936.700000
186.021794	90.992000	209079.600000
188.022186	90.998000	217350.900000
190.021786	91.004000	183719.200000
192.021853	91.011000	176692.600000
