#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
90.000000	1270.440000	1.017027
89.800000	1229.439000	0.936067
89.600000	1184.473000	0.888757
89.400000	1145.050000	1.238152
89.200000	1102.137000	1.400528
89.000000	1055.755000	0.782433
88.800000	929.994000	3.681697
88.600000	835.336400	0.685426
88.400000	796.881100	0.632188
88.200000	770.297400	0.468937
88.000000	743.413200	0.469978
87.800000	713.183500	0.675041
87.600000	689.992600	0.430175
87.400000	664.801000	0.563878
87.200000	641.475900	0.348998
87.000000	618.014000	0.440264
86.800000	593.399700	0.436899
86.600000	570.116800	0.584707
86.400000	538.419300	1.690112
86.200000	469.159500	3.087405
86.000000	415.532700	0.435163
85.800000	395.428600	0.413317
85.600000	379.969600	0.424749
85.400000	363.268000	0.386430
85.200000	348.893400	0.502307
85.000000	335.005400	0.350417
84.800000	320.972500	0.297230
84.600000	308.532800	0.439516
84.400000	294.406600	0.281225
84.200000	281.639400	1.273075
84.000000	269.196100	1.072183
83.800000	257.460600	0.347296
83.600000	237.859400	0.369083
83.400000	194.484500	0.291797
83.200000	186.783200	0.257395
83.000000	178.596100	0.265056
82.800000	171.807800	0.263184
82.600000	163.895500	0.283608
82.400000	155.905700	1.092203
82.200000	149.011400	0.382486
82.000000	142.206500	0.274128
81.800000	136.663400	0.232519
81.600000	130.188200	0.264761
81.400000	123.069500	0.430828
81.200000	117.999400	0.251225
81.000000	110.611600	0.437569
80.800000	97.726740	0.477241
80.600000	77.665800	0.255748
80.400000	74.067500	0.252889
80.200000	70.012340	0.247888
80.000000	67.095920	0.240841
79.800000	64.434200	0.556311
79.600000	60.744480	0.317462
79.400000	58.551920	0.279777
79.200000	55.206430	0.263067
79.000000	52.983680	0.255471
78.800000	49.484710	0.259248
78.600000	46.509380	0.291990
78.400000	44.664620	0.283889
78.200000	42.194810	0.268827
78.000000	40.517490	0.219040
77.800000	28.634960	0.229774
77.600000	27.026400	0.240291
77.400000	25.615560	0.233087
77.200000	24.375060	0.262514
77.000000	23.127000	0.230413
76.800000	21.862100	0.231803
76.600000	20.543120	0.235912
76.400000	19.345540	0.197618
76.200000	18.412860	0.207887
76.000000	17.599060	0.217294
75.800000	16.579070	0.225507
75.600000	14.949610	0.247465
75.400000	13.571420	0.263706
75.200000	9.357697	0.244556
75.000000	8.012031	0.187594
74.800000	7.419509	0.221002
74.600000	6.907913	0.202335
74.400000	6.547280	0.182059
74.200000	6.212788	0.217354
74.000000	5.969326	0.218714
73.800000	5.594549	0.233967
73.600000	5.374190	0.209514
73.400000	5.019758	0.223366
73.200000	4.841377	0.217502
73.000000	4.638355	0.229124
72.800000	4.348659	0.200993
72.600000	4.130437	0.203999
72.400000	2.821036	0.215757
72.200000	2.651450	0.193320
72.000000	2.486444	0.226269
71.800000	2.385474	0.220777
