#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
170.000000	-937.403500	0.288959
169.800000	-920.318700	0.291961
169.600000	-904.728100	0.288379
169.400000	-884.484900	0.289371
169.200000	-864.375100	0.314905
169.000000	-842.541400	0.322347
168.800000	-818.078600	0.431405
168.600000	-787.642300	0.295870
168.400000	-759.453400	0.285757
168.200000	-733.481600	0.271366
168.000000	-711.925800	0.266560
167.800000	-694.003700	0.269775
167.600000	-673.869000	0.241698
167.400000	-653.735000	0.496222
167.200000	-636.024800	0.251602
167.000000	-619.085900	0.213941
166.800000	-606.936700	0.242385
166.600000	-594.600100	0.228137
166.400000	-581.775200	0.235857
166.200000	-570.415900	0.251904
166.000000	-555.078400	0.260275
165.800000	-538.108100	0.293282
165.600000	-517.809000	0.244733
165.400000	-500.955100	0.249985
165.200000	-488.008800	0.261589
165.000000	-477.132300	0.280999
164.800000	-464.770800	0.282381
164.600000	-456.182500	0.274429
164.400000	-447.568400	0.258909
164.200000	-437.888700	0.265296
164.000000	-428.339800	0.251645
163.800000	-417.619900	0.251742
163.600000	-409.762300	0.253033
163.400000	-402.183700	0.226853
163.200000	-394.798400	0.248327
163.000000	-387.277300	0.263539
162.800000	-377.817400	0.278224
162.600000	-368.206000	0.226102
162.400000	-353.386200	0.269626
162.200000	-338.283000	0.313528
162.000000	-328.564200	0.284575
161.800000	-320.242500	0.279580
161.600000	-313.188300	0.264377
161.400000	-307.790300	0.262581
161.200000	-301.918600	0.273353
161.000000	-296.488400	0.275250
160.800000	-291.482100	0.286429
160.600000	-283.782300	0.250100
160.400000	-278.890400	0.280300
160.200000	-273.329500	0.234787
160.000000	-268.376100	0.237945
159.800000	-262.310500	0.247976
159.600000	-254.741900	0.243762
159.400000	-247.027000	0.264356
159.200000	-238.434400	0.258039
159.000000	-229.089000	0.251867
158.800000	-223.551900	0.244267
158.600000	-218.370700	0.266819
158.400000	-213.162700	0.293467
158.200000	-209.262100	0.253252
158.000000	-204.017000	0.270823
157.800000	-198.670400	0.265217
157.600000	-194.005300	0.271856
157.400000	-189.672900	0.273035
157.200000	-185.534700	0.252653
157.000000	-181.245400	0.244564
156.800000	-176.734000	0.263346
156.600000	-171.387000	0.268715
156.400000	-166.241000	0.241352
156.200000	-160.423600	0.246403
156.000000	-151.521900	0.272034
155.800000	-141.405600	0.223033
155.600000	-135.075900	0.251797
155.400000	-127.343400	0.237008
155.200000	-120.910100	0.346838
155.000000	-116.836600	0.224482
154.800000	-111.203700	0.241862
154.600000	-105.706900	0.242297
154.400000	-97.461040	0.230563
154.200000	-89.133280	0.233305
154.000000	-83.488370	0.252432
153.800000	-76.580920	0.242755
153.600000	-71.813080	0.229847
153.400000	-65.902230	0.241097
153.200000	-61.476450	0.255597
153.000000	-56.424540	0.225347
152.800000	-50.459060	0.238247
152.600000	-47.059810	0.249638
152.400000	-45.000800	0.248778
152.200000	-43.851970	0.246686
152.000000	-42.090920	0.236430
151.800000	-40.815400	0.200770
151.600000	-38.785250	0.233940
151.400000	-37.616670	0.239876
151.200000	-35.656690	0.231257
151.000000	-34.757320	0.228518
150.800000	-33.535370	0.246572
150.600000	-32.414920	0.225745
150.400000	-31.652000	0.248710
150.200000	-30.504700	0.234216
150.000000	-29.714880	0.219032
149.800000	-28.086730	0.240931
149.600000	-26.148720	0.210110
149.400000	-24.545620	0.228536
149.200000	-23.325530	0.237760
149.000000	-22.607900	0.236025
148.800000	-21.994060	0.238991
