AsGrown (m),Mild (m),Strong (m)
2.37196239201015e-08,1.13697226785473e-08,1.39981681485982e-08
2.57819983015862e-08,1.14077546119156e-08,1.60662984130050e-08
2.73207252598076e-08,1.06736381323338e-08,1.77971677156640e-08
2.86612872363137e-08,1.05568317702741e-08,1.80706295351698e-08
3.03019950953081e-08,1.14296414341312e-08,1.97952417798671e-08
3.18629709989152e-08,1.17783803345350e-08,1.82731093448128e-08
3.30539886489366e-08,1.13921546967163e-08,1.79696594057548e-08
3.41577921705320e-08,1.09539982750663e-08,1.76162874515581e-08
3.47767707436749e-08,1.13680192772791e-08,1.70730783737879e-08
3.52692508878470e-08,1.11770056942628e-08,1.57452312716739e-08
3.53185165173194e-08,1.14382978120180e-08,1.45913718807602e-08
3.51783384396944e-08,1.04048805882314e-08,1.40291522776211e-08
3.45355451543897e-08,8.36368868191812e-09,1.48716642952554e-08
3.27443720153214e-08,8.30135914767086e-09,1.03891714335291e-08
2.74752717115985e-08,9.70558738352526e-09,9.38547617017467e-09
2.84055910857313e-08,9.59922196089883e-09,8.97372300903163e-09
2.98776093621949e-08,1.06337113536592e-08,9.19573103881957e-09
3.04816577944155e-08,1.03964090879086e-08,9.53050789301571e-09
2.98062231132744e-08,1.02756354743343e-08,9.46169005777003e-09
2.84252480702030e-08,1.06113645420062e-08,9.63011906800724e-09
2.48882329525918e-08,8.37950908911700e-09,1.03323868454668e-08
2.32186917294698e-08,8.69957842010865e-09,1.04776317157349e-08
2.22703191755736e-08,9.02248912644995e-09,9.15489418930358e-09
2.14706993787475e-08,9.39505891310612e-09,9.11025512762601e-09
2.12885844100231e-08,9.43424465596302e-09,8.76421967143792e-09
2.12820621588749e-08,9.34557446172889e-09,1.01571537406001e-08
1.73022468768579e-08,9.29153972811481e-09,1.01517843002483e-08
2.19959295832244e-08,9.48582371306667e-09,9.13867595027195e-09
2.22473911223199e-08,8.75174467203855e-09,8.83140626032945e-09
2.22954948963222e-08,8.91797033748870e-09,7.91524043954348e-09
2.22894367355318e-08,8.31367597961829e-09,7.11089677519332e-09
2.20661638255639e-08,9.01351797172021e-09,8.00757071682420e-09
2.16662928674314e-08,9.36464143075352e-09,9.31642520585398e-09
2.13387151524505e-08,8.60675788676707e-09,1.01919286899607e-08
2.13128472245580e-08,8.20027794772508e-09,1.03708741115428e-08
2.11958111272426e-08,7.68661010283687e-09,1.08247989243383e-08
2.08489577145087e-08,7.45896469954870e-09,9.41297799142530e-09
2.00144590930801e-08,7.24679408930314e-09,8.09336760682863e-09
1.94272805127223e-08,6.80579044343607e-09,8.15600168815387e-09
1.77730752619610e-08,6.44397439943824e-09,8.22455843138197e-09
1.77079349164957e-08,7.28439220986017e-09,7.85615664845911e-09
1.74650989686199e-08,9.39950995939409e-09,7.58445396337149e-09
1.70943326773621e-08,9.07740928054996e-09,8.17287551433369e-09
1.66940365949139e-08,8.83797662714491e-09,8.52576878795441e-09
1.63799364199039e-08,8.30145996797989e-09,9.33830507360128e-09
1.58787007268502e-08,9.01855474205624e-09,1.05729002815551e-08
1.54229296666519e-08,9.12399953713883e-09,1.29738456805360e-08
1.50939035751756e-08,8.90154704178333e-09,1.45532325160174e-08
1.48379371069259e-08,9.36750981115886e-09,1.49890957326801e-08
1.46503287578382e-08,1.03467391108501e-08,1.46489003518534e-08
1.46172459383128e-08,1.01470062750765e-08,1.40219999823939e-08
1.46468610542057e-08,1.10491055095563e-08,1.24861582608129e-08
1.45692591632504e-08,1.11433547211243e-08,1.44566717202921e-08
1.44209919842127e-08,1.04941401086676e-08,1.49349497553262e-08
1.43505303260827e-08,1.08199409578577e-08,1.38150804224356e-08
1.43301167745901e-08,1.11731826231517e-08,1.19123859927351e-08
1.45730841771213e-08,1.15220308743639e-08,1.17823571712353e-08
1.49274368643344e-08,1.08472208204732e-08,1.07236969993911e-08
1.47419206808911e-08,1.04006411402922e-08,1.02528539294936e-08
2.07016264780542e-08,1.06031046775629e-08,1.09150682173068e-08
2.11540910776850e-08,1.20960031468071e-08,1.39651453332805e-08
2.16428396123977e-08,1.12471385087271e-08,1.65839176040063e-08
2.19299527576122e-08,9.89285011368845e-09,1.79832548501920e-08
2.24791243316478e-08,9.65117967543878e-09,1.65597608441122e-08
2.24709204531358e-08,1.07717693309460e-08,1.57955954775192e-08
2.26229251038016e-08,1.14858681524755e-08,1.57508581892924e-08
2.28376378175063e-08,1.06538596040875e-08,1.41664366126214e-08
2.30437676650757e-08,9.90206354142660e-09,1.67950356523434e-08
2.33879348252147e-08,9.72748183410043e-09,1.68559102996916e-08
2.37301625583387e-08,9.89966636865061e-09,1.53564637111271e-08
2.42595601998841e-08,9.76636759872511e-09,1.58208880369508e-08
2.44529646093069e-08,1.01478938943140e-08,1.57345037332080e-08
2.46451589185772e-08,1.05636139686866e-08,1.54195846979974e-08
2.49648896793301e-08,1.04005333100181e-08,1.51335714716002e-08
2.52798043695135e-08,1.03641840289722e-08,1.33461486446331e-08
2.55471653930690e-08,1.01628882613436e-08,1.19046254594516e-08
2.56175572490132e-08,9.71409396477805e-09,1.22772888904243e-08
2.55063654184656e-08,1.03745238230663e-08,1.12040800943762e-08
2.53414481164532e-08,9.98260229232549e-09,1.38047561700881e-08
2.50753136002073e-08,8.92756306613826e-09,1.35945273755729e-08
2.51820903484038e-08,8.50118760855064e-09,1.27726000355806e-08
2.50489929566572e-08,9.39065386373952e-09,1.30266631728472e-08
2.50283202502152e-08,8.48340964527001e-09,1.20982715543148e-08
2.47873675061753e-08,8.53077109545377e-09,1.42842968655105e-08
2.46249529254149e-08,9.06619311012249e-09,1.61040680142755e-08
2.43625546184002e-08,8.21253240188605e-09,1.62097137145018e-08
2.42624697624286e-08,6.97314927174774e-09,1.74738436751605e-08
2.43161456102501e-08,6.23750845582631e-09,1.72821143897086e-08
2.46064117680363e-08,6.02651197748236e-09,1.71706797320654e-08
2.50827316702219e-08,6.69338145423038e-09,1.84508449410874e-08
2.53251032730788e-08,6.77532113449146e-09,2.12301363077872e-08
2.59200267248726e-08,7.35382454694963e-09,2.29294866978124e-08
2.56357284373831e-08,7.58652115922152e-09,1.96120889285184e-08
2.58775359086876e-08,7.87475838062226e-09,1.12491613830939e-08
2.62506317447260e-08,7.79591012372408e-09,1.26650041566311e-08
2.63035573883246e-08,7.58252469638757e-09,1.31163278601560e-08
2.64395513196478e-08,7.84568107310563e-09,1.40747117243331e-08
2.63315532251610e-08,8.02440923993684e-09,1.32760257899603e-08
2.61604959013197e-08,7.24441364265219e-09,1.38032714232572e-08
2.61981189745482e-08,6.01145219059279e-09,1.45210662820909e-08
2.57912165385362e-08,5.86407405833842e-09,1.14206382930185e-08
2.55756272736459e-08,6.03305256435305e-09,1.14542998104173e-08
2.51771920609677e-08,5.95762043743965e-09,1.23685163696731e-08
2.51905124457154e-08,5.69982152054557e-09,1.20868071855666e-08
2.45772522804832e-08,5.83870143104067e-09,1.11779553497992e-08
2.33846025957014e-08,5.56784913419858e-09,9.92741952602162e-09
2.72947663219129e-08,5.41282149944693e-09,8.88736949525990e-09
2.81622169299253e-08,5.28812121498087e-09,8.46881317319069e-09
2.84342982907955e-08,5.21175202118397e-09,8.08098931534524e-09
2.86456338583745e-08,5.25874928332006e-09,8.17707162290857e-09
2.85229374734254e-08,5.26704348024286e-09,8.28586705508025e-09
2.81483223430383e-08,4.94453605424800e-09,7.16298676910137e-09
2.75915393434569e-08,4.63510522669650e-09,6.93436137783408e-09
1.53834953187929e-08,4.36736051884597e-09,6.87128009313985e-09
1.67691668461938e-08,4.37286682479908e-09,7.55168386165456e-09
1.65584466716270e-08,4.25381620496900e-09,8.95530018658588e-09
1.65283532150904e-08,4.17615297175683e-09,1.07312774179449e-08
1.63438122309075e-08,4.25865401423550e-09,1.20020780969996e-08
1.66457327154042e-08,4.29294124433226e-09,1.03235594197487e-08
1.66530238705062e-08,4.30108073662204e-09,9.41482879620039e-09
1.58887711071472e-08,4.28182552425362e-09,8.79652713402556e-09
2.30695362564913e-08,4.14807307589511e-09,8.72424485688365e-09
2.28618250559427e-08,4.06049432883504e-09,8.49822959748303e-09
2.29065742540053e-08,4.07104655378697e-09,8.88841411011016e-09
2.19068919391560e-08,5.21683716746746e-09,9.65913451760112e-09
2.15181417798711e-08,5.43970510338436e-09,1.37620309989201e-08
2.17976387279029e-08,5.99403580052997e-09,1.42203862949798e-08
2.22883383233080e-08,7.13322812623956e-09,1.30223555484198e-08
2.25269020548665e-08,7.68750208053299e-09,1.30821541038347e-08
2.31714985958949e-08,7.76772730613110e-09,1.31068092808745e-08
2.36241920220261e-08,8.80846183547181e-09,1.29077354405832e-08
2.41387301002043e-08,9.22816888830129e-09,1.31001664122320e-08
2.46831073156796e-08,7.99979038378546e-09,1.42484778787161e-08
2.52366291812677e-08,5.67721573076465e-09,1.37489691737067e-08
2.58605147476587e-08,5.72074434399171e-09,1.17743458258912e-08
2.66368865801330e-08,5.81850267593342e-09,1.11843391911948e-08
2.71755860598426e-08,6.10953857857926e-09,1.07464422175410e-08
2.77298956171203e-08,6.13004036243169e-09,1.09766866195771e-08
2.82541625519892e-08,8.62319313918515e-09,1.00321401479259e-08
2.86844504815337e-08,8.38983224067376e-09,5.74902222658321e-09
2.94038009094751e-08,8.78875330296842e-09,6.03819004869683e-09
2.98607716593777e-08,8.53163712527262e-09,8.55332626419180e-09
3.03151113335631e-08,8.31557565738994e-09,9.42504890849767e-09
3.07307052393153e-08,8.45319964803353e-09,1.00069253340559e-08
3.10902940679327e-08,8.18997608993227e-09,9.99408653035656e-09
3.11935568058123e-08,7.68975653348936e-09,9.76188822286176e-09
