#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.7 
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
250.000000	-66.432620	2.742232
249.900000	-62.882820	1.329315
249.800000	-65.312220	1.803442
249.700000	-63.090240	1.662967
249.600000	-61.884190	1.257269
249.500000	-62.440030	0.969340
249.400000	-62.243330	1.070014
249.300000	-66.267910	9.579738
249.200000	-76.436550	10.349970
249.100000	-67.336980	2.909190
249.000000	-68.223290	1.502760
248.900000	-65.728710	2.216841
248.800000	-68.736500	1.767630
248.700000	-69.835260	7.891565
248.600000	-78.007970	2.057540
248.500000	-75.139670	2.563928
248.400000	-73.925970	1.506201
248.300000	-74.099050	2.307797
248.200000	-72.515040	2.176629
248.100000	-73.672690	2.139614
248.000000	-73.315760	2.511945
247.900000	-71.614250	2.343399
247.800000	-71.617020	1.617109
247.700000	-68.018480	2.758293
247.600000	-69.463750	2.553030
247.500000	-68.620230	1.730351
247.400000	-66.269920	1.460830
247.300000	-64.957290	1.494745
247.200000	-63.995160	1.187159
247.100000	-63.942390	2.434884
247.000000	-60.414640	2.632444
246.900000	-61.507720	2.059725
246.800000	-60.735250	2.645926
246.700000	-59.276310	2.919591
246.600000	-57.411770	2.871721
246.500000	-57.268740	2.131597
246.400000	-56.991710	2.016448
246.300000	-57.966290	1.587688
246.200000	-55.779170	2.585595
246.100000	-56.694580	2.178373
246.000000	-55.831010	2.830404
245.900000	-57.319490	1.647127
245.800000	-56.359990	2.042302
245.700000	-52.544750	1.991212
245.600000	-51.486830	1.811833
245.500000	-49.744750	2.473233
245.400000	-53.539120	2.356671
245.300000	-50.603180	2.978212
245.200000	-50.037200	2.364402
245.100000	-48.743870	1.573385
245.000000	-45.478940	1.874703
244.900000	-44.615600	2.003357
244.800000	-45.842430	1.823319
244.700000	-42.843340	1.959254
244.600000	-44.318380	1.667522
244.500000	-43.964040	2.144118
244.400000	-42.986170	1.884119
244.300000	-44.531230	2.098615
244.200000	-42.939020	1.993018
244.100000	-39.535240	2.036878
244.000000	-39.014290	1.555882
243.900000	-37.939690	1.564408
243.800000	-40.013930	1.920659
243.700000	-37.367500	1.891509
243.600000	-37.798620	2.153802
243.500000	-34.056940	1.343787
