#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.7 
#d 0.5
#N 20
#dbm 1
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
170.000000	3.017000	1.803318	48.999240
170.100000	3.012000	1.049428	47.573520
170.200000	3.000000	0.389263	45.132290
170.300000	2.985000	0.468451	42.258380
170.400000	2.973000	0.314203	41.071900
170.500000	2.964000	0.198651	38.633300
170.600000	2.959000	0.429269	38.840720
170.700000	3.012000	-0.219107	39.219370
170.800000	3.017000	-0.367640	37.817250
170.900000	3.014000	-0.342145	36.606220
171.000000	3.004000	-0.731964	35.380330
171.100000	2.990000	-0.623399	33.864850
171.200000	2.977000	0.005039	31.899250
171.300000	2.967000	-0.351222	31.854850
171.400000	2.961000	-0.199050	30.829650
171.500000	2.958000	0.063029	30.462920
171.600000	2.958000	-0.063903	30.586530
171.700000	3.016000	-0.227347	29.407760
171.800000	3.008000	-0.505215	27.264710
171.900000	3.016000	-0.266117	26.012550
172.000000	3.009000	-0.271571	26.068240
172.100000	2.996000	-0.360824	24.328440
172.200000	2.982000	-0.524125	23.732770
172.300000	2.970000	-0.154093	23.553500
172.400000	2.962000	-0.202900	23.454310
172.500000	2.958000	-0.386737	22.763490
172.600000	2.958000	-0.506315	22.018520
172.700000	2.963000	-0.319717	21.918240
172.800000	3.012000	-0.392626	21.118230
172.900000	2.999000	-0.478625	20.157420
173.000000	2.984000	-0.155781	19.637990
173.100000	2.971000	-0.349352	20.310960
173.200000	2.963000	-0.492619	19.269220
173.300000	2.958000	-0.247794	17.928040
173.400000	2.957000	-0.370374	17.349810
173.500000	2.962000	-0.589203	17.017830
173.600000	2.957000	-0.419730	16.758040
173.700000	2.962000	-0.479776	15.779080
173.800000	2.976000	-0.479243	15.040760
173.900000	2.994000	-0.554083	14.650540
174.000000	3.008000	-0.515212	13.471910
174.100000	2.973000	-0.640518	13.498470
174.200000	2.964000	-0.566487	13.876480
174.300000	2.959000	-0.456716	14.490660
174.400000	2.957000	-0.576846	13.310060
174.500000	2.960000	-0.756338	13.153920
174.600000	2.972000	-0.510266	13.407380
174.700000	2.990000	-0.600805	13.199940
174.800000	2.971000	-0.825032	12.349790
174.900000	2.989000	-0.532077	12.969500
175.000000	3.005000	-0.608276	12.522300
175.100000	3.014000	-0.807023	11.503320
175.200000	3.016000	-0.648326	11.565220
175.300000	2.960000	-0.838796	11.720250
175.400000	2.957000	-0.912233	11.599100
175.500000	2.958000	-0.600367	10.407570
175.600000	2.969000	-0.768989	10.527510
175.700000	2.958000	-0.829286	10.586950
175.800000	2.968000	-0.852620	10.252100
175.900000	2.985000	-0.853994	9.891444
176.000000	3.001000	-0.995910	9.843269
176.100000	3.012000	-0.908968	9.833067
176.200000	3.016000	-0.754522	9.329424
176.300000	3.014000	-0.716121	9.785804
176.400000	3.003000	-0.996273	10.111710
176.500000	2.990000	-1.241837	8.953062
176.600000	3.005000	-0.993605	9.583397
176.700000	2.990000	-0.948339	9.982322
176.800000	3.005000	-1.043920	9.048815
176.900000	2.958000	-1.260655	9.064213
177.000000	2.963000	-1.154649	10.399210
177.100000	2.978000	-1.090560	9.775487
177.200000	2.996000	-1.201990	8.901651
177.300000	3.009000	-1.061475	9.245090
177.400000	3.016000	-1.083618	8.887535
177.500000	3.015000	-1.430689	8.365923
177.600000	3.006000	-1.413717	8.921718
177.700000	2.993000	-1.273513	9.599238
177.800000	2.979000	-1.419869	9.214419
177.900000	2.993000	-1.515103	9.634526
178.000000	2.979000	-1.418728	9.374721
178.100000	2.969000	-1.442123	8.654340
178.200000	2.980000	-1.487128	9.636980
178.300000	2.969000	-1.507302	8.685714
178.400000	2.962000	-1.474004	8.325126
178.500000	2.958000	-1.491882	7.557432
178.600000	2.991000	-1.665758	6.768487
178.700000	3.006000	-1.502762	6.488695
178.800000	3.015000	-1.858534	7.163432
178.900000	3.006000	-1.889454	6.304241
179.000000	3.014000	-1.651503	5.516830
179.100000	3.016000	-2.059319	6.920982
179.200000	3.010000	-1.982801	7.141708
179.300000	2.997000	-1.536095	6.385344
179.400000	2.983000	-1.972147	6.542845
179.500000	2.999000	-2.134345	5.768907
179.600000	2.984000	-1.676841	4.950106
179.700000	2.972000	-1.847211	5.562498
179.800000	2.964000	-2.257481	4.737492
179.900000	2.959000	-1.980390	3.782118
180.000000	2.957000	-2.154415	4.551627
180.100000	2.962000	-2.345870	3.863659
180.200000	3.013000	-2.280785	3.431835
180.300000	3.002000	-2.548127	4.236523
180.400000	2.988000	-2.295235	4.213371
180.500000	2.975000	-2.254626	4.667458
180.600000	2.966000	-2.487433	4.282957
180.700000	2.960000	-2.624680	3.387274
180.800000	2.966000	-2.489862	4.538273
180.900000	2.959000	-2.515101	3.953120
181.000000	2.957000	-2.897989	2.693374
181.100000	2.959000	-2.592380	2.477373
181.200000	2.969000	-2.662650	2.436038
181.300000	3.006000	-2.804315	2.232844
181.400000	2.993000	-2.811042	2.775672
181.500000	2.978000	-3.068319	2.718423
181.600000	2.968000	-2.950834	2.332711
181.700000	2.961000	-3.065359	3.746648
181.800000	2.957000	-3.247126	3.081654
181.900000	2.958000	-3.397812	3.805910
182.000000	2.965000	-3.471945	4.404574
182.100000	2.981000	-3.388924	4.563107
182.200000	2.998000	-3.675388	5.939268
182.300000	3.010000	-3.508879	5.226660
182.400000	3.016000	-3.564913	5.489984
182.500000	2.962000	-3.922056	5.543657
182.600000	2.971000	-3.716317	5.615449
182.700000	2.963000	-4.044213	6.075275
182.800000	2.958000	-4.041088	5.034275
182.900000	2.957000	-4.007254	5.440784
183.000000	2.962000	-3.855182	4.461652
183.100000	2.975000	-4.215435	4.516817
183.200000	2.992000	-4.505975	3.369243
183.300000	3.007000	-4.273499	4.532287
183.400000	2.992000	-4.436714	4.753357
183.500000	3.007000	-4.514602	3.349349
183.600000	3.015000	-4.475771	3.695871
183.700000	3.016000	-4.486438	3.361183
