#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 3.0 
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
195.000000	0.997526	38.000830
195.500000	-3.341925	35.753810
196.000000	0.501154	36.126930
196.500000	-0.748391	33.768020
197.000000	-2.344525	31.497430
197.500000	0.091227	29.126010
198.000000	-3.285621	28.460460
198.500000	0.100150	25.066380
199.000000	-3.121025	26.004390
199.500000	0.214509	21.185880
200.000000	-2.884826	20.425570
200.500000	-0.985386	17.748260
201.000000	-3.071198	18.173280
201.500000	-2.508089	19.519490
202.000000	-2.613545	17.483820
202.500000	-1.982155	15.418480
203.000000	-2.951731	16.566330
203.500000	-3.000898	16.138530
204.000000	-3.003335	14.195090
204.500000	-3.364050	14.689250
205.000000	-4.259811	15.880150
205.500000	-3.475480	16.101700
206.000000	-5.396012	16.165930
206.500000	-3.829893	15.798650
207.000000	-6.009645	13.640160
207.500000	-5.255453	12.155170
208.000000	-6.177701	10.990110
208.500000	-6.664954	10.557050
209.000000	-6.441365	11.234220
209.500000	-7.939345	9.317438
210.000000	-8.393429	9.858499
210.500000	-8.144855	10.550780
211.000000	-9.147938	10.869370
211.500000	-10.206050	11.825500
212.000000	-10.084910	11.982230
212.500000	-10.364840	11.853730
213.000000	-11.636550	12.553620
213.500000	-13.384240	13.939260
214.000000	-13.943890	12.888070
214.500000	-14.897070	12.158510
215.000000	-15.735410	12.087410
215.500000	-17.565530	11.206220
216.000000	-19.887390	11.179430
216.500000	-21.493630	10.416230
217.000000	-22.728210	10.200620
217.500000	-24.361940	11.306980
218.000000	-27.220480	9.492200
218.500000	-29.105650	11.179590
219.000000	-33.857090	9.757634
219.500000	-36.589290	8.613752
220.000000	-40.999770	9.013814
220.500000	-44.112150	8.079416
221.000000	-49.036210	8.567553
221.500000	-53.401400	7.453153
222.000000	-54.094320	10.071080
222.500000	-55.719500	9.149820
223.000000	-58.941780	11.137570
223.500000	-62.115960	11.627440
224.000000	-66.327670	11.683310
224.500000	-74.445190	10.389800
225.000000	-74.488540	10.265270
225.500000	-84.670350	12.996150
226.000000	-88.966240	10.768750
226.500000	-96.106250	9.537588
227.000000	-100.897400	11.753220
227.500000	-106.538500	10.559380
228.000000	-110.712800	9.187037
228.500000	-116.426400	11.816960
229.000000	-122.807600	13.695310
229.500000	-129.923000	13.356120
230.000000	-132.562500	12.397440
230.000000	-135.323700	11.743250
229.500000	-127.615300	12.350090
229.000000	-122.257000	15.569370
