#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.( 
#d 0.5
#N 20
#dbm 3
#
#Voltage	Current	SD
#V	pA	pA
205.000000	0.052671	0.089795
205.200000	0.114098	0.099092
205.400000	0.144619	0.104339
205.600000	0.129537	0.199579
205.800000	0.143441	0.154498
206.000000	0.167932	0.174073
206.200000	0.137810	0.085948
206.400000	0.157224	0.115637
206.600000	0.139035	0.110363
206.800000	0.178261	0.061390
207.000000	0.122742	0.106812
207.200000	0.152836	0.103528
207.400000	0.158742	0.156860
207.600000	0.157984	0.095875
207.800000	0.147961	0.130366
208.000000	0.145173	0.185391
208.200000	0.172665	0.149528
208.400000	0.144110	0.148897
208.600000	0.152258	0.135460
208.800000	0.154598	0.159321
209.000000	0.116151	0.187071
209.200000	0.159684	0.196598
209.400000	0.141488	0.099895
209.600000	0.160335	0.090747
209.800000	0.170974	0.109030
210.000000	0.125577	0.152113
210.200000	0.170518	0.129768
210.400000	0.148751	0.132734
210.600000	0.157658	0.151987
210.800000	0.152613	0.118331
211.000000	0.170984	0.117988
211.200000	0.165906	0.160119
211.400000	0.161527	0.194193
211.600000	0.179939	0.212912
211.800000	0.116203	0.163012
212.000000	0.162905	0.181022
212.200000	0.130318	0.182475
212.400000	0.146606	0.073108
212.600000	0.159159	0.121382
212.800000	0.166484	0.151716
213.000000	0.143105	0.195704
213.200000	0.151213	0.165160
213.400000	0.164812	0.138028
213.600000	0.131284	0.094390
213.800000	0.165604	0.098068
214.000000	0.132285	0.154941
214.200000	0.160586	0.165375
214.400000	0.157161	0.149689
214.600000	0.170271	0.205835
214.800000	0.117380	0.130949
215.000000	0.182766	0.195062
215.200000	0.124514	0.115199
215.400000	0.155812	0.209950
215.600000	0.145833	0.154729
215.800000	0.169380	0.191660
216.000000	0.127077	0.138993
216.200000	0.171513	0.070423
216.400000	0.124211	0.109818
216.600000	0.162431	0.139708
216.800000	0.125730	0.126063
217.000000	0.176366	0.093333
217.200000	0.132780	0.182992
217.400000	0.147980	0.172444
217.600000	0.154951	0.172237
217.800000	0.142103	0.178853
218.000000	0.149267	0.177679
218.200000	0.148213	0.184932
218.400000	0.146381	0.121984
218.600000	0.134383	0.140630
218.800000	0.150476	0.092120
219.000000	0.138314	0.145308
219.200000	0.134566	0.131446
219.400000	0.154142	0.162287
219.600000	0.109006	0.223365
219.800000	0.140460	0.221523
220.000000	0.122234	0.134460
220.200000	0.146067	0.127850
220.400000	0.158126	0.094594
220.600000	0.130776	0.115339
220.800000	0.159309	0.183543
221.000000	0.097607	0.219722
221.200000	0.168075	0.153909
221.400000	0.103334	0.174732
221.600000	0.150628	0.080230
221.800000	0.109556	0.177589
222.000000	0.139569	0.195023
222.200000	0.117378	0.175875
222.400000	0.142633	0.077153
222.600000	0.114957	0.151983
222.800000	0.120806	0.111797
223.000000	0.127281	0.089345
223.200000	0.107633	0.114365
223.400000	0.100246	0.097612
223.600000	0.114918	0.115620
223.800000	0.121371	0.169661
224.000000	0.096486	0.112652
224.200000	0.096455	0.137301
224.400000	0.122945	0.082149
224.600000	0.094612	0.101995
224.800000	0.106428	0.087903
225.000000	0.091844	0.144427
225.200000	0.106347	0.080396
225.400000	0.106914	0.080791
225.600000	0.092695	0.136264
225.800000	0.105493	0.141887
226.000000	0.106192	0.149116
226.200000	0.075541	0.104625
226.400000	0.082701	0.216669
226.600000	0.086240	0.140651
