#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.9 
#d 0.5
#N 20
#dbm 3
#
#Voltage	Current	SD
#V	pA	pA
265.000000	-22.009460	0.288261
264.800000	-21.643760	0.154269
264.600000	-21.030240	0.171533
264.400000	-20.695580	0.223519
264.200000	-20.096650	0.188407
264.000000	-19.676850	0.186239
263.800000	-19.225680	0.159553
263.600000	-18.875170	0.182371
263.400000	-18.328780	0.235210
263.200000	-18.029660	0.206186
263.000000	-17.477630	0.217040
262.800000	-17.244370	0.205569
262.600000	-16.728980	0.193637
262.400000	-16.390850	0.172273
262.200000	-15.908400	0.214416
262.000000	-15.661440	0.165056
261.800000	-15.264600	0.237006
261.600000	-14.969330	0.198479
261.400000	-14.505170	0.202657
261.200000	-14.326130	0.135748
261.000000	-13.852560	0.195540
260.800000	-13.614330	0.217021
260.600000	-13.357720	0.117091
260.400000	-12.862020	0.177652
260.200000	-12.720520	0.221973
260.000000	-12.269460	0.162826
259.800000	-12.158050	0.185582
259.600000	-11.681750	0.118945
259.400000	-11.583460	0.229667
259.200000	-11.109600	0.209436
259.000000	-11.026000	0.174012
258.800000	-10.624040	0.211167
258.600000	-10.519000	0.223093
258.400000	-10.095810	0.270563
258.200000	-10.040930	0.163243
258.000000	-9.647899	0.245833
257.800000	-9.515252	0.203787
257.600000	-9.188084	0.282559
257.400000	-9.118562	0.148145
257.200000	-8.737373	0.167357
257.000000	-8.666388	0.197647
256.800000	-8.381270	0.125536
256.600000	-8.247448	0.265321
256.400000	-7.992368	0.256784
256.200000	-7.872559	0.283599
256.000000	-7.528068	0.188291
255.800000	-7.506517	0.244384
255.600000	-7.159047	0.299186
255.400000	-7.143423	0.159227
255.200000	-6.851375	0.216944
255.000000	-6.747686	0.204489
254.800000	-6.466801	0.252338
254.600000	-6.383881	0.158230
254.400000	-6.238906	0.175911
254.200000	-6.110972	0.191745
254.000000	-5.832449	0.287420
253.800000	-5.849034	0.247446
253.600000	-5.554137	0.181960
253.400000	-5.581007	0.231377
253.200000	-5.234794	0.142748
253.000000	-5.288037	0.168349
252.800000	-4.984944	0.236415
252.600000	-5.002835	0.208195
252.400000	-4.759066	0.276264
252.200000	-4.746633	0.181699
252.000000	-4.535082	0.301624
251.800000	-4.493541	0.184006
251.600000	-4.356843	0.198110
251.400000	-4.219031	0.151078
251.200000	-4.100438	0.223330
251.000000	-3.952727	0.219705
250.800000	-3.875026	0.203360
250.600000	-3.783140	0.092629
250.400000	-3.747983	0.168480
250.200000	-3.508579	0.271390
250.000000	-3.553281	0.163743
249.800000	-3.311547	0.248987
249.600000	-3.390534	0.202215
249.400000	-3.171718	0.145818
249.200000	-3.167645	0.220359
249.000000	-2.979560	0.179660
248.800000	-3.023845	0.142408
248.600000	-2.802963	0.198792
248.400000	-2.881717	0.217592
248.200000	-2.654067	0.212054
248.000000	-2.744047	0.220930
247.800000	-2.508473	0.147639
247.600000	-2.546751	0.148106
247.400000	-2.383883	0.168964
247.200000	-2.330500	0.193250
247.000000	-2.276496	0.222320
246.800000	-2.247388	0.165780
246.600000	-2.206212	0.159145
246.400000	-2.125148	0.176081
246.200000	-2.010984	0.201889
246.000000	-1.972564	0.150151
245.800000	-1.899919	0.207002
245.600000	-1.906100	0.178459
245.400000	-1.789514	0.183619
245.200000	-1.787224	0.203293
245.000000	-1.714255	0.130341
244.800000	-1.718864	0.091934
244.600000	-1.584497	0.108304
244.400000	-1.619897	0.186701
244.200000	-1.539786	0.202880
244.000000	-1.470566	0.181114
243.800000	-1.390951	0.141113
243.600000	-1.442694	0.154632
243.400000	-1.255419	0.159842
243.200000	-1.394598	0.182101
243.000000	-1.191133	0.142709
242.800000	-1.308519	0.199579
242.600000	-1.110059	0.157342
242.400000	-1.230981	0.187514
242.200000	-1.017252	0.257481
242.000000	-1.174851	0.120848
241.800000	-1.073625	0.130868
241.600000	-0.996684	0.118963
241.400000	-0.960200	0.203120
241.200000	-0.861385	0.204877
241.000000	-1.023655	0.182731
240.800000	-0.838437	0.175695
240.600000	-0.927069	0.092442
240.400000	-0.803169	0.210580
240.200000	-0.861882	0.171811
240.000000	-0.775225	0.137312
239.800000	-0.865256	0.129953
239.600000	-0.719065	0.129025
239.400000	-0.697201	0.161705
239.200000	-0.768487	0.169525
239.000000	-0.623847	0.182525
238.800000	-0.759207	0.152617
238.600000	-0.575478	0.181281
238.400000	-0.708082	0.114777
238.200000	-0.518730	0.162935
238.000000	-0.642175	0.169844
237.800000	-0.513533	0.173037
237.600000	-0.640929	0.139214
237.400000	-0.467920	0.155668
237.200000	-0.584455	0.121728
237.000000	-0.419308	0.177675
236.800000	-0.538923	0.189642
236.600000	-0.396643	0.110421
236.400000	-0.525620	0.128020
236.200000	-0.372175	0.104852
