#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.91 
#d 0.5
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
290.000000	-0.769776	0.304327
290.100000	-0.338124	0.322955
290.200000	-1.133286	0.211484
290.300000	-1.199152	0.276177
290.400000	-1.661183	0.406127
290.500000	-0.959977	0.493157
290.600000	-2.168347	0.314248
290.700000	-0.992316	0.179574
290.800000	-1.689260	0.314734
290.900000	-1.466126	0.205821
291.000000	-0.976497	0.191835
291.100000	-1.418048	0.115601
291.200000	-1.327935	0.238171
291.300000	-1.445563	0.162736
291.400000	-1.228834	0.297670
291.500000	-1.441913	0.243628
291.600000	-1.497585	0.165241
291.700000	-1.321485	0.476014
291.800000	-1.908636	0.130655
291.900000	-1.008404	0.331934
292.000000	-1.874814	0.292833
292.100000	-0.680978	0.127923
292.200000	-2.031539	0.201877
292.300000	-1.081613	0.147812
292.400000	-1.868832	0.443176
292.500000	-1.686329	0.606034
292.600000	-1.655346	0.552991
292.700000	-1.226240	0.392560
292.800000	-1.851726	0.421230
292.900000	-1.741574	0.302175
293.000000	-1.762242	0.327790
293.100000	-1.076604	0.112626
293.200000	-1.773983	0.417931
293.300000	-1.624116	0.364374
293.400000	-1.382122	0.294442
293.500000	-1.150523	0.338373
293.600000	-1.372111	0.118421
293.700000	-1.274422	0.300723
293.800000	-2.446242	0.187147
293.900000	-1.373417	0.241701
294.000000	-1.300986	0.503329
294.100000	-0.500701	0.428762
294.200000	-2.718981	0.240918
294.300000	-1.203762	0.271076
294.400000	-2.554504	0.411362
294.500000	-1.170226	0.144586
294.600000	-2.267739	0.088599
294.700000	-1.520251	0.127756
294.800000	-2.408719	0.279463
294.900000	-1.979434	0.290482
295.000000	-2.109087	0.152892
295.100000	-2.062735	0.302460
295.200000	-1.957984	0.250229
295.300000	-2.181000	0.309438
295.400000	-2.112540	0.277567
295.500000	-2.000060	0.260185
295.600000	-1.117246	0.307622
295.700000	-2.435472	0.187036
295.800000	-2.026796	0.428184
295.900000	-1.343889	0.267931
296.000000	-2.462442	0.251524
296.100000	-1.706395	0.309218
296.200000	-2.566117	0.405977
296.300000	-2.297276	0.216233
296.400000	-2.907509	0.473929
296.500000	-1.602748	0.326757
296.600000	-2.469360	0.465942
296.700000	-2.006784	0.429015
